Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Status,prolif_check,discuss_1,read_1,age,gender,gender_4_TEXT,edu,condition,ID,arg_ID,Position,Arg_Position
1,1659975488196,08/08/2022 16:18:08,1659975485867,1,08/08/2022 17:18:05,94826,3,task-j4ag,NA,23527440,6895725,NA,complete,NA,62f13728e7b41fb89ee357a8,mobile,Samsung SM-G973F,Android 12,Samsung Browser 17.0,869x412,778x340,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1659975489651,08/08/2022 16:18:09,1659975487395,1,08/08/2022 17:18:07,94826,3,task-j4ag,NA,23527440,6895725,NA,complete,NA,62f13728e7b41fb89ee357a8,mobile,Samsung SM-G973F,Android 12,Samsung Browser 17.0,869x412,778x340,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,batch5pro,1,1,1,Screen 1,advancementZone,continue_button,1457.0999999046326,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1659975497002,08/08/2022 16:18:17,1659975494761,1,08/08/2022 17:18:14,94826,3,task-j4ag,NA,23527440,6895725,NA,complete,NA,62f13728e7b41fb89ee357a8,mobile,Samsung SM-G973F,Android 12,Samsung Browser 17.0,869x412,778x340,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,batch5pro,62,1,1,Screen 1,continueButton,response_rating_scale_likert_active,7331.899999976158,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,The vaccine is helping to het the Country back to a nee normal,1,17/06/2021 12:52,17/06/2021 12:57,IP Address,For (I feel positively about the vaccines),Most months,Most months,29,Female,NA,"Undergraduate degree (BSc, BA)",control,50,2,For,For
4,1659975502326,08/08/2022 16:18:22,1659975500081,1,08/08/2022 17:18:20,94826,3,task-j4ag,NA,23527440,6895725,NA,complete,NA,62f13728e7b41fb89ee357a8,mobile,Samsung SM-G973F,Android 12,Samsung Browser 17.0,869x412,778x340,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,batch5pro,6,2,1,Screen 1,continueButton,response_rating_scale_likert_active,5275.399999976158,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't believe in vaccines as I believe it alters my DNA which will effect my children.,1,17/06/2021 12:39,17/06/2021 12:54,IP Address,For (I feel positively about the vaccines),Rarely,Most months,38,Male,NA,"Undergraduate degree (BSc, BA)",choice,41,3,For,Against
5,1659975505297,08/08/2022 16:18:25,1659975503067,1,08/08/2022 17:18:23,94826,3,task-j4ag,NA,23527440,6895725,NA,complete,NA,62f13728e7b41fb89ee357a8,mobile,Samsung SM-G973F,Android 12,Samsung Browser 17.0,869x412,778x340,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,batch5pro,46,3,1,Screen 1,continueButton,response_rating_scale_likert_active,2944.7999999523163,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't trust what's in the vaccine.,1,17/06/2021 12:48,17/06/2021 12:57,IP Address,For (I feel positively about the vaccines),Rarely,Most months,25,Female,NA,A levels,choice,48,1,For,Against
6,1659975508031,08/08/2022 16:18:28,1659975505747,1,08/08/2022 17:18:25,94826,3,task-j4ag,NA,23527440,6895725,NA,complete,NA,62f13728e7b41fb89ee357a8,mobile,Samsung SM-G973F,Android 12,Samsung Browser 17.0,869x412,778x340,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,batch5pro,49,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2637.899999976158,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to be safe against covid,1,17/06/2021 12:48,17/06/2021 12:57,IP Address,For (I feel positively about the vaccines),Rarely,Most months,25,Female,NA,A levels,choice,48,1,For,For
7,1659975510695,08/08/2022 16:18:30,1659975508450,1,08/08/2022 17:18:28,94826,3,task-j4ag,NA,23527440,6895725,NA,complete,NA,62f13728e7b41fb89ee357a8,mobile,Samsung SM-G973F,Android 12,Samsung Browser 17.0,869x412,778x340,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,batch5pro,15,5,1,Screen 1,continueButton,response_rating_scale_likert_active,2663.7000000476837,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I could meet my family again,1,17/06/2021 12:31,17/06/2021 12:55,IP Address,For (I feel positively about the vaccines),Most days,Most weeks,23,Female,NA,"Undergraduate degree (BSc, BA)",choice,42,3,For,For
8,1659975514841,08/08/2022 16:18:34,1659975512596,1,08/08/2022 17:18:32,94826,3,task-j4ag,NA,23527440,6895725,NA,complete,NA,62f13728e7b41fb89ee357a8,mobile,Samsung SM-G973F,Android 12,Samsung Browser 17.0,869x412,778x340,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,batch5pro,12,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4098.399999976158,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I could become more ill,1,17/06/2021 12:31,17/06/2021 12:55,IP Address,For (I feel positively about the vaccines),Most days,Most weeks,23,Female,NA,"Undergraduate degree (BSc, BA)",choice,42,3,For,Against
9,1659975520038,08/08/2022 16:18:40,1659975517787,1,08/08/2022 17:18:37,94826,3,task-j4ag,NA,23527440,6895725,NA,complete,NA,62f13728e7b41fb89ee357a8,mobile,Samsung SM-G973F,Android 12,Samsung Browser 17.0,869x412,778x340,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,batch5pro,22,7,1,Screen 1,continueButton,response_rating_scale_likert_active,5149.100000023842,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"The vaccines were rushed into distribution, and as a result of that, they may be dangerous or ineffective.",1,17/06/2021 12:41,17/06/2021 12:56,IP Address,For (I feel positively about the vaccines),Most weeks,Most weeks,23,Male,NA,"Undergraduate degree (BSc, BA)",control,44,1,For,Against
10,1659975525055,08/08/2022 16:18:45,1659975522791,1,08/08/2022 17:18:42,94826,3,task-j4ag,NA,23527440,6895725,NA,complete,NA,62f13728e7b41fb89ee357a8,mobile,Samsung SM-G973F,Android 12,Samsung Browser 17.0,869x412,778x340,NA,ITT Ratings,2,for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5pro,batch5pro,13,8,1,Screen 1,continueButton,response_rating_scale_likert_active,4963.5,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It could protect others around me as well as myself,1,17/06/2021 12:31,17/06/2021 12:55,IP Address,For (I feel positively about the vaccines),Most days,Most weeks,23,Female,NA,"Undergraduate degree (BSc, BA)",choice,42,1,For,For
