Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Status,prolif_check,discuss_1,read_1,age,gender,gender_4_TEXT,edu,condition,ID,arg_ID,Position,Arg_Position
1,1659975645249,08/08/2022 16:20:45,1659975645090,1,08/08/2022 17:20:45,94826,3,task-k2dt,NA,23527482,6895740,NA,complete,NA,62f13783e8f29773d3e9c2df,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.5,834x1112,1112x731,NA,ITT Ratings,2,for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1659975655100,08/08/2022 16:20:55,1659975654982,1,08/08/2022 17:20:54,94826,3,task-k2dt,NA,23527482,6895740,NA,complete,NA,62f13783e8f29773d3e9c2df,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.5,834x1112,1112x731,NA,ITT Ratings,2,for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,batch7pro,1,1,1,Screen 1,advancementZone,continue_button,9856,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1659975663696,08/08/2022 16:21:03,1659975663562,1,08/08/2022 17:21:03,94826,3,task-k2dt,NA,23527482,6895740,NA,complete,NA,62f13783e8f29773d3e9c2df,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.5,834x1112,1112x731,NA,ITT Ratings,2,for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,batch7pro,2,1,1,Screen 1,continueButton,response_rating_scale_likert_active,8562.999999999998,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Agree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check1,NA,NA
4,1659975696116,08/08/2022 16:21:36,1659975695972,1,08/08/2022 17:21:35,94826,3,task-k2dt,NA,23527482,6895740,NA,complete,NA,62f13783e8f29773d3e9c2df,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.5,834x1112,1112x731,NA,ITT Ratings,2,for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,batch7pro,51,2,1,Screen 1,continueButton,response_rating_scale_likert_active,32398.000000000007,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,social presser to get one,1,17/06/2021 12:49,17/06/2021 13:02,IP Address,For (I feel positively about the vaccines),Most months,A few times a year,35,Male,NA,Vocational Training / Apprenticeship,control,68,3,For,For
5,1659975700744,08/08/2022 16:21:40,1659975700594,1,08/08/2022 17:21:40,94826,3,task-k2dt,NA,23527482,6895740,NA,complete,NA,62f13783e8f29773d3e9c2df,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.5,834x1112,1112x731,NA,ITT Ratings,2,for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,batch7pro,32,3,1,Screen 1,continueButton,response_rating_scale_likert_active,4608.999999999993,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to protect vulnerable family members,1,17/06/2021 12:55,17/06/2021 13:01,IP Address,For (I feel positively about the vaccines),Never,A few times a year,36,Male,NA,GCSEs,choice,65,2,For,For
6,1659975703846,08/08/2022 16:21:43,1659975703684,1,08/08/2022 17:21:43,94826,3,task-k2dt,NA,23527482,6895740,NA,complete,NA,62f13783e8f29773d3e9c2df,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.5,834x1112,1112x731,NA,ITT Ratings,2,for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,batch7pro,56,4,1,Screen 1,continueButton,response_rating_scale_likert_active,3069,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It will mean our lives can start to get back to normal,1,17/06/2021 12:50,17/06/2021 13:02,IP Address,For (I feel positively about the vaccines),Rarely,Once or twice a year,42,Female,NA,"Undergraduate degree (BSc, BA)",choice,69,2,For,For
7,1659975706377,08/08/2022 16:21:46,1659975706246,1,08/08/2022 17:21:46,94826,3,task-k2dt,NA,23527482,6895740,NA,complete,NA,62f13783e8f29773d3e9c2df,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.5,834x1112,1112x731,NA,ITT Ratings,2,for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,batch7pro,20,5,1,Screen 1,continueButton,response_rating_scale_likert_active,2545,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to have more freedoms again,1,17/06/2021 12:48,17/06/2021 13:00,IP Address,For (I feel positively about the vaccines),Rarely,A few times a year,38,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",control,63,2,For,For
8,1659975711399,08/08/2022 16:21:51,1659975711265,1,08/08/2022 17:21:51,94826,3,task-k2dt,NA,23527482,6895740,NA,complete,NA,62f13783e8f29773d3e9c2df,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.5,834x1112,1112x731,NA,ITT Ratings,2,for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,batch7pro,52,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4999.000000000015,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It was developed too quickly so doesnât work well,1,17/06/2021 12:50,17/06/2021 13:02,IP Address,For (I feel positively about the vaccines),Rarely,Once or twice a year,42,Female,NA,"Undergraduate degree (BSc, BA)",choice,69,1,For,Against
9,1659975720698,08/08/2022 16:22:00,1659975720577,1,08/08/2022 17:22:00,94826,3,task-k2dt,NA,23527482,6895740,NA,complete,NA,62f13783e8f29773d3e9c2df,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.5,834x1112,1112x731,NA,ITT Ratings,2,for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,batch7pro,37,7,1,Screen 1,continueButton,response_rating_scale_likert_active,9298,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I'm classed in a vulnerable category so getting the vaccine would help reduce the risk f me catching it and getting serious symptoms,1,17/06/2021 12:47,17/06/2021 13:01,IP Address,For (I feel positively about the vaccines),Most months,Most weeks,18,Male,NA,A levels,choice,66,1,For,For
10,1659975723436,08/08/2022 16:22:03,1659975723311,1,08/08/2022 17:22:03,94826,3,task-k2dt,NA,23527482,6895740,NA,complete,NA,62f13783e8f29773d3e9c2df,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.5,834x1112,1112x731,NA,ITT Ratings,2,for,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7pro,batch7pro,13,8,1,Screen 1,continueButton,response_rating_scale_likert_active,2718,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to protect myself from covid,1,17/06/2021 12:55,17/06/2021 13:00,IP Address,For (I feel positively about the vaccines),A few times a year,Most months,26,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",control,62,1,For,For
