Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Status,prolif_check,discuss_1,read_1,age,gender,gender_4_TEXT,edu,condition,ID,arg_ID,Position,Arg_Position
1,1659975401683,08/08/2022 16:16:41,1659975406929,1,08/08/2022 17:16:46,94826,3,task-lkrz,NA,23527420,6895718,NA,complete,NA,62f136b06586187809416a75,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x601,NA,ITT Ratings,2,for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2pro,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1659975404676,08/08/2022 16:16:44,1659975409919,1,08/08/2022 17:16:49,94826,3,task-lkrz,NA,23527420,6895718,NA,complete,NA,62f136b06586187809416a75,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x601,NA,ITT Ratings,2,for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2pro,batch2pro,1,1,1,Screen 1,advancementZone,continue_button,2907.7999997138977,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1659975408058,08/08/2022 16:16:48,1659975413333,1,08/08/2022 17:16:53,94826,3,task-lkrz,NA,23527420,6895718,NA,complete,NA,62f136b06586187809416a75,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x601,NA,ITT Ratings,2,for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2pro,batch2pro,41,1,1,Screen 1,continueButton,response_rating_scale_likert_active,3320.900000095367,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The government might impact a chip in me through the needle or change my dna,1,17/06/2021 12:32,17/06/2021 12:45,IP Address,For (I feel positively about the vaccines),A few times a year,A few times a year,20,Female,NA,A levels,choice,17,2,For,Against
4,1659975409657,08/08/2022 16:16:49,1659975414931,1,08/08/2022 17:16:54,94826,3,task-lkrz,NA,23527420,6895718,NA,complete,NA,62f136b06586187809416a75,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x601,NA,ITT Ratings,2,for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2pro,batch2pro,23,2,1,Screen 1,continueButton,response_rating_scale_likert_active,1547,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Affects my fertility,1,17/06/2021 12:37,17/06/2021 12:45,IP Address,For (I feel positively about the vaccines),Most months,Most days,51,Female,NA,"Undergraduate degree (BSc, BA)",control,14,2,For,Against
5,1659975412746,08/08/2022 16:16:52,1659975417990,1,08/08/2022 17:16:57,94826,3,task-lkrz,NA,23527420,6895718,NA,complete,NA,62f136b06586187809416a75,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x601,NA,ITT Ratings,2,for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2pro,batch2pro,50,3,1,Screen 1,continueButton,response_rating_scale_likert_active,3016.400000095367,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"By getting the vaccine it means I'm contributing to achieving herd immunity, which keeps everyone safe",1,17/06/2021 12:39,17/06/2021 12:46,IP Address,For (I feel positively about the vaccines),A few times a year,Most weeks,22,Female,NA,"GCSEs,A levels,Undergraduate degree (BSc, BA)",choice,18,2,For,For
6,1659975415256,08/08/2022 16:16:55,1659975420519,1,08/08/2022 17:17:00,94826,3,task-lkrz,NA,23527420,6895718,NA,complete,NA,62f136b06586187809416a75,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x601,NA,ITT Ratings,2,for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2pro,batch2pro,4,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2481,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It was developed too quickly,1,17/06/2021 12:39,17/06/2021 12:44,IP Address,For (I feel positively about the vaccines),Most weeks,Once or twice a year,25,Female,NA,"Undergraduate degree (BSc, BA)",control,11,1,For,Against
7,1659975420473,08/08/2022 16:17:00,1659975425747,1,08/08/2022 17:17:05,94826,3,task-lkrz,NA,23527420,6895718,NA,complete,NA,62f136b06586187809416a75,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x601,NA,ITT Ratings,2,for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2pro,batch2pro,24,5,1,Screen 1,continueButton,response_rating_scale_likert_active,5175.800000190735,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It is painful and makes you feel unwell,1,17/06/2021 12:37,17/06/2021 12:45,IP Address,For (I feel positively about the vaccines),Most months,Most days,51,Female,NA,"Undergraduate degree (BSc, BA)",control,14,3,For,Against
8,1659975422867,08/08/2022 16:17:02,1659975428103,1,08/08/2022 17:17:08,94826,3,task-lkrz,NA,23527420,6895718,NA,complete,NA,62f136b06586187809416a75,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x601,NA,ITT Ratings,2,for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2pro,batch2pro,26,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2287.099999904633,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It will help to keep others safe,1,17/06/2021 12:37,17/06/2021 12:45,IP Address,For (I feel positively about the vaccines),Most months,Most days,51,Female,NA,"Undergraduate degree (BSc, BA)",control,14,2,For,For
9,1659975424060,08/08/2022 16:17:04,1659975429337,1,08/08/2022 17:17:09,94826,3,task-lkrz,NA,23527420,6895718,NA,complete,NA,62f136b06586187809416a75,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x601,NA,ITT Ratings,2,for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2pro,batch2pro,32,7,1,Screen 1,continueButton,response_rating_scale_likert_active,1192.3000001907349,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Protect those around by reducing transmission,1,17/06/2021 12:39,17/06/2021 12:45,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,35,Female,NA,"Undergraduate degree (BSc, BA)",choice,15,2,For,For
10,1659975430795,08/08/2022 16:17:10,1659975436044,1,08/08/2022 17:17:16,94826,3,task-lkrz,NA,23527420,6895718,NA,complete,NA,62f136b06586187809416a75,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1280x720,1280x601,NA,ITT Ratings,2,for,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2pro,batch2pro,21,8,1,Screen 1,continueButton,response_rating_scale_likert_active,6652.800000190735,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,iv had all vaccines iv been offered previously so why is this different?,1,17/06/2021 12:37,17/06/2021 12:44,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,33,Female,NA,A levels,choice,13,3,For,For
