Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Status,prolif_check,discuss_1,read_1,age,gender,gender_4_TEXT,edu,condition,ID,arg_ID,Position,Arg_Position
1,1659975749535,08/08/2022 16:22:29,1659975749480,1,08/08/2022 17:22:29,94826,3,task-mn1e,NA,23527520,6895753,NA,complete,NA,62f13825cb3422889bafe90a,computer,Desktop or Laptop,Linux x86_64,Firefox 103.0,1920x1080,1266x808,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1659975754313,08/08/2022 16:22:34,1659975754278,1,08/08/2022 17:22:34,94826,3,task-mn1e,NA,23527520,6895753,NA,complete,NA,62f13825cb3422889bafe90a,computer,Desktop or Laptop,Linux x86_64,Firefox 103.0,1920x1080,1266x808,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,1,1,1,Screen 1,advancementZone,continue_button,4773,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1659975764284,08/08/2022 16:22:44,1659975764264,1,08/08/2022 17:22:44,94826,3,task-mn1e,NA,23527520,6895753,NA,complete,NA,62f13825cb3422889bafe90a,computer,Desktop or Laptop,Linux x86_64,Firefox 103.0,1920x1080,1266x808,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,12,1,1,Screen 1,continueButton,response_rating_scale_likert_active,9967,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I might get covid anyway so what's the point,1,17/06/2021 12:43,17/06/2021 12:52,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,25,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",choice,32,3,For,Against
4,1659975773655,08/08/2022 16:22:53,1659975773628,1,08/08/2022 17:22:53,94826,3,task-mn1e,NA,23527520,6895753,NA,complete,NA,62f13825cb3422889bafe90a,computer,Desktop or Laptop,Linux x86_64,Firefox 103.0,1920x1080,1266x808,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,55,2,1,Screen 1,continueButton,response_rating_scale_likert_active,9351,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We need to get back to normal life,1,17/06/2021 12:47,17/06/2021 12:54,IP Address,For (I feel positively about the vaccines),Rarely,A few times a year,31,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",choice,39,1,For,For
5,1659975776555,08/08/2022 16:22:56,1659975776544,1,08/08/2022 17:22:56,94826,3,task-mn1e,NA,23527520,6895753,NA,complete,NA,62f13825cb3422889bafe90a,computer,Desktop or Laptop,Linux x86_64,Firefox 103.0,1920x1080,1266x808,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,48,3,1,Screen 1,continueButton,response_rating_scale_likert_active,2904,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,You will most likely need it to travel,1,17/06/2021 12:49,17/06/2021 12:54,IP Address,For (I feel positively about the vaccines),Rarely,Once or twice a year,20,Female,NA,Vocational Training / Apprenticeship,control,38,3,For,Against
6,1659975798832,08/08/2022 16:23:18,1659975798788,1,08/08/2022 17:23:18,94826,3,task-mn1e,NA,23527520,6895753,NA,complete,NA,62f13825cb3422889bafe90a,computer,Desktop or Laptop,Linux x86_64,Firefox 103.0,1920x1080,1266x808,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,36,4,1,Screen 1,continueButton,response_rating_scale_likert_active,22232,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,They think Covid-19 is a media hoax,1,17/06/2021 12:46,17/06/2021 12:53,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,22,Non-binary,NA,"Undergraduate degree (BSc, BA)",control,36,3,For,Against
7,1659975801937,08/08/2022 16:23:21,1659975801912,1,08/08/2022 17:23:21,94826,3,task-mn1e,NA,23527520,6895753,NA,complete,NA,62f13825cb3422889bafe90a,computer,Desktop or Laptop,Linux x86_64,Firefox 103.0,1920x1080,1266x808,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,34,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3104,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The government is denying our right to say no,1,17/06/2021 12:46,17/06/2021 12:53,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,22,Non-binary,NA,"Undergraduate degree (BSc, BA)",control,36,1,For,Against
8,1659975809328,08/08/2022 16:23:29,1659975809297,1,08/08/2022 17:23:29,94826,3,task-mn1e,NA,23527520,6895753,NA,complete,NA,62f13825cb3422889bafe90a,computer,Desktop or Laptop,Linux x86_64,Firefox 103.0,1920x1080,1266x808,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,19,6,1,Screen 1,continueButton,response_rating_scale_likert_active,7373,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To be safe and healthy,1,17/06/2021 12:41,17/06/2021 12:53,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,45,Female,NA,"Undergraduate degree (BSc, BA)",choice,33,1,For,For
9,1659975813902,08/08/2022 16:23:33,1659975813886,1,08/08/2022 17:23:33,94826,3,task-mn1e,NA,23527520,6895753,NA,complete,NA,62f13825cb3422889bafe90a,computer,Desktop or Laptop,Linux x86_64,Firefox 103.0,1920x1080,1266x808,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,8,7,1,Screen 1,continueButton,response_rating_scale_likert_active,4578,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It helps me to protect myself and others from becoming seriously ill.,1,17/06/2021 12:43,17/06/2021 12:52,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,34,Male,NA,Doctorate (PhD),control,31,2,For,For
10,1659975817957,08/08/2022 16:23:37,1659975817939,1,08/08/2022 17:23:37,94826,3,task-mn1e,NA,23527520,6895753,NA,complete,NA,62f13825cb3422889bafe90a,computer,Desktop or Laptop,Linux x86_64,Firefox 103.0,1920x1080,1266x808,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,39,8,1,Screen 1,continueButton,response_rating_scale_likert_active,4041,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't want to risk being affected by the symptoms of 'long covid' for the rest of my life,1,17/06/2021 12:46,17/06/2021 12:53,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,22,Non-binary,NA,"Undergraduate degree (BSc, BA)",control,36,3,For,For
11,1659975821233,08/08/2022 16:23:41,1659975821217,1,08/08/2022 17:23:41,94826,3,task-mn1e,NA,23527520,6895753,NA,complete,NA,62f13825cb3422889bafe90a,computer,Desktop or Laptop,Linux x86_64,Firefox 103.0,1920x1080,1266x808,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,30,9,1,Screen 1,continueButton,response_rating_scale_likert_active,3267,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't need a vaccine - I'm young and healthy.,1,17/06/2021 12:45,17/06/2021 12:53,IP Address,For (I feel positively about the vaccines),Rarely,Once or twice a year,30,Female,NA,"Undergraduate degree (BSc, BA)",choice,35,3,For,Against
12,1659975823766,08/08/2022 16:23:43,1659975823748,1,08/08/2022 17:23:43,94826,3,task-mn1e,NA,23527520,6895753,NA,complete,NA,62f13825cb3422889bafe90a,computer,Desktop or Laptop,Linux x86_64,Firefox 103.0,1920x1080,1266x808,NA,ITT Ratings,2,for,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4pro,batch4pro,38,10,1,Screen 1,continueButton,response_rating_scale_likert_active,2524,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to protect elderly relatives and friends,1,17/06/2021 12:46,17/06/2021 12:53,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,22,Non-binary,NA,"Undergraduate degree (BSc, BA)",control,36,2,For,For
