Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Status,prolif_check,discuss_1,read_1,age,gender,gender_4_TEXT,edu,condition,ID,arg_ID,Position,Arg_Position
1,1659975409858,08/08/2022 16:16:49,1659975409765,1,08/08/2022 17:16:49,94826,3,task-net4,NA,23527423,6895719,NA,complete,NA,62f136b584c5aa26a162c6c1,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.47,1536x864,1536x722,NA,ITT Ratings,2,for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1659975412494,08/08/2022 16:16:52,1659975412451,1,08/08/2022 17:16:52,94826,3,task-net4,NA,23527423,6895719,NA,complete,NA,62f136b584c5aa26a162c6c1,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.47,1536x864,1519x722,NA,ITT Ratings,2,for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,1,1,1,Screen 1,advancementZone,continue_button,2594.5,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1659975418626,08/08/2022 16:16:58,1659975418595,1,08/08/2022 17:16:58,94826,3,task-net4,NA,23527423,6895719,NA,complete,NA,62f136b584c5aa26a162c6c1,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.47,1536x864,1519x722,NA,ITT Ratings,2,for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,10,1,1,Screen 1,continueButton,response_rating_scale_likert_active,6108.199999999255,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,There isn't enough research on the vaccine.,1,17/06/2021 12:51,17/06/2021 13:03,IP Address,For (I feel positively about the vaccines),A few times a year,Most weeks,29,Female,NA,"Undergraduate degree (BSc, BA)",control,72,1,For,Against
4,1659975421448,08/08/2022 16:17:01,1659975421417,1,08/08/2022 17:17:01,94826,3,task-net4,NA,23527423,6895719,NA,complete,NA,62f136b584c5aa26a162c6c1,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.47,1536x864,1519x722,NA,ITT Ratings,2,for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,31,2,1,Screen 1,continueButton,response_rating_scale_likert_active,2789.0999999996275,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,The positive effects of the vaccine outweigh the negative effects.,1,17/06/2021 12:53,17/06/2021 13:03,IP Address,For (I feel positively about the vaccines),Rarely,A few times a year,22,Female,NA,"Undergraduate degree (BSc, BA)",choice,75,1,For,For
5,1659975426877,08/08/2022 16:17:06,1659975426849,1,08/08/2022 17:17:06,94826,3,task-net4,NA,23527423,6895719,NA,complete,NA,62f136b584c5aa26a162c6c1,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.47,1536x864,1519x722,NA,ITT Ratings,2,for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,2,3,1,Screen 1,continueButton,response_rating_scale_likert_active,5401.799999999814,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Agree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check1,NA,NA
6,1659975433232,08/08/2022 16:17:13,1659975433201,1,08/08/2022 17:17:13,94826,3,task-net4,NA,23527423,6895719,NA,complete,NA,62f136b584c5aa26a162c6c1,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.47,1536x864,1519x722,NA,ITT Ratings,2,for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,54,4,1,Screen 1,continueButton,response_rating_scale_likert_active,6323.700000000186,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Covid 19 is a conspiracy to make us go to a cashless society and a distraction while 5g was being rolled out.,1,17/06/2021 12:51,17/06/2021 13:05,IP Address,For (I feel positively about the vaccines),Rarely,Most months,37,Female,NA,"Undergraduate degree (BSc, BA)",control,79,3,For,Against
7,1659975437666,08/08/2022 16:17:17,1659975437625,1,08/08/2022 17:17:17,94826,3,task-net4,NA,23527423,6895719,NA,complete,NA,62f136b584c5aa26a162c6c1,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.47,1536x864,1519x722,NA,ITT Ratings,2,for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,16,5,1,Screen 1,continueButton,response_rating_scale_likert_active,4398.0999999996275,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It hasn't been tested enough.,1,17/06/2021 12:46,17/06/2021 13:03,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,49,Other,"my SEX (protected characteristic, please see EA 2010) is female. I don't have a gender",A levels,choice,73,1,For,Against
8,1659975439339,08/08/2022 16:17:19,1659975439297,1,08/08/2022 17:17:19,94826,3,task-net4,NA,23527423,6895719,NA,complete,NA,62f136b584c5aa26a162c6c1,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.47,1536x864,1519x722,NA,ITT Ratings,2,for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,52,6,1,Screen 1,continueButton,response_rating_scale_likert_active,1646.7999999998135,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Vaccines cause autism.,1,17/06/2021 12:51,17/06/2021 13:05,IP Address,For (I feel positively about the vaccines),Rarely,Most months,37,Female,NA,"Undergraduate degree (BSc, BA)",control,79,1,For,Against
9,1659975445531,08/08/2022 16:17:25,1659975445489,1,08/08/2022 17:17:25,94826,3,task-net4,NA,23527423,6895719,NA,complete,NA,62f136b584c5aa26a162c6c1,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.47,1536x864,1519x722,NA,ITT Ratings,2,for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,9,7,1,Screen 1,continueButton,response_rating_scale_likert_active,6154.199999999255,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Mass vaccination eventually means the ending of lockdowns and the return to normal life,1,17/06/2021 12:51,17/06/2021 13:02,IP Address,For (I feel positively about the vaccines),Most weeks,Most months,20,Male,NA,A levels,choice,71,3,For,For
10,1659975449666,08/08/2022 16:17:29,1659975449617,1,08/08/2022 17:17:29,94826,3,task-net4,NA,23527423,6895719,NA,complete,NA,62f136b584c5aa26a162c6c1,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.47,1536x864,1519x722,NA,ITT Ratings,2,for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,45,8,1,Screen 1,continueButton,response_rating_scale_likert_active,4102.399999999441,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It's the right thing to do,1,17/06/2021 13:00,17/06/2021 13:04,IP Address,For (I feel positively about the vaccines),Most weeks,Most months,28,Female,NA,"Undergraduate degree (BSc, BA)",control,77,3,For,For
11,1659975451522,08/08/2022 16:17:31,1659975451457,1,08/08/2022 17:17:31,94826,3,task-net4,NA,23527423,6895719,NA,complete,NA,62f136b584c5aa26a162c6c1,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.47,1536x864,1519x722,NA,ITT Ratings,2,for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,17,9,1,Screen 1,continueButton,response_rating_scale_likert_active,1811.5,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The side effects are too risky.,1,17/06/2021 12:46,17/06/2021 13:03,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,49,Other,"my SEX (protected characteristic, please see EA 2010) is female. I don't have a gender",A levels,choice,73,2,For,Against
12,1659975454458,08/08/2022 16:17:34,1659975454417,1,08/08/2022 17:17:34,94826,3,task-net4,NA,23527423,6895719,NA,complete,NA,62f136b584c5aa26a162c6c1,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.47,1536x864,1519x722,NA,ITT Ratings,2,for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,11,10,1,Screen 1,continueButton,response_rating_scale_likert_active,2935.7999999998137,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"I'll trust my immune system, that's what it is there for.",1,17/06/2021 12:51,17/06/2021 13:03,IP Address,For (I feel positively about the vaccines),A few times a year,Most weeks,29,Female,NA,"Undergraduate degree (BSc, BA)",control,72,2,For,Against
13,1659975457586,08/08/2022 16:17:37,1659975457545,1,08/08/2022 17:17:37,94826,3,task-net4,NA,23527423,6895719,NA,complete,NA,62f136b584c5aa26a162c6c1,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.47,1536x864,1519x722,NA,ITT Ratings,2,for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,15,11,1,Screen 1,continueButton,response_rating_scale_likert_active,3103.899999999441,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I just want life to get back to somewhat normal.,1,17/06/2021 12:51,17/06/2021 13:03,IP Address,For (I feel positively about the vaccines),A few times a year,Most weeks,29,Female,NA,"Undergraduate degree (BSc, BA)",control,72,3,For,For
14,1659975461112,08/08/2022 16:17:41,1659975461073,1,08/08/2022 17:17:41,94826,3,task-net4,NA,23527423,6895719,NA,complete,NA,62f136b584c5aa26a162c6c1,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.47,1536x864,1519x722,NA,ITT Ratings,2,for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,34,12,1,Screen 1,continueButton,response_rating_scale_likert_active,3499.5999999996275,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't trust whats in the vaccine,1,17/06/2021 12:57,17/06/2021 13:04,IP Address,For (I feel positively about the vaccines),Rarely,Most months,26,Male,NA,"Undergraduate degree (BSc, BA)",control,76,1,For,Against
15,1659975463030,08/08/2022 16:17:43,1659975462977,1,08/08/2022 17:17:42,94826,3,task-net4,NA,23527423,6895719,NA,complete,NA,62f136b584c5aa26a162c6c1,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.47,1536x864,1519x722,NA,ITT Ratings,2,for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,55,13,1,Screen 1,continueButton,response_rating_scale_likert_active,1880,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to be as protected as possible.,1,17/06/2021 12:51,17/06/2021 13:05,IP Address,For (I feel positively about the vaccines),Rarely,Most months,37,Female,NA,"Undergraduate degree (BSc, BA)",control,79,1,For,For
16,1659975465809,08/08/2022 16:17:45,1659975465769,1,08/08/2022 17:17:45,94826,3,task-net4,NA,23527423,6895719,NA,complete,NA,62f136b584c5aa26a162c6c1,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.47,1536x864,1519x722,NA,ITT Ratings,2,for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,56,14,1,Screen 1,continueButton,response_rating_scale_likert_active,2766.699999999255,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to protect my loved ones and vulnerable people.,1,17/06/2021 12:51,17/06/2021 13:05,IP Address,For (I feel positively about the vaccines),Rarely,Most months,37,Female,NA,"Undergraduate degree (BSc, BA)",control,79,2,For,For
17,1659975471498,08/08/2022 16:17:51,1659975471457,1,08/08/2022 17:17:51,94826,3,task-net4,NA,23527423,6895719,NA,complete,NA,62f136b584c5aa26a162c6c1,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.47,1536x864,1519x722,NA,ITT Ratings,2,for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,58,15,1,Screen 1,continueButton,response_rating_scale_likert_active,5660.600000000559,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,There has not been enough time to safely develop vaccines as others take years and years to develop and test safely.,1,17/06/2021 12:58,17/06/2021 13:05,IP Address,For (I feel positively about the vaccines),Once or twice a year,A few times a year,21,Male,NA,A levels,control,80,1,For,Against
18,1659975473811,08/08/2022 16:17:53,1659975473777,1,08/08/2022 17:17:53,94826,3,task-net4,NA,23527423,6895719,NA,complete,NA,62f136b584c5aa26a162c6c1,computer,Desktop or Laptop,Windows 10,Edge 104.0.1293.47,1536x864,1519x722,NA,ITT Ratings,2,for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8pro,batch8pro,28,16,1,Screen 1,continueButton,response_rating_scale_likert_active,2297.0999999996275,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It is a device for the government to monitor us.,1,17/06/2021 12:53,17/06/2021 13:03,IP Address,For (I feel positively about the vaccines),Rarely,A few times a year,22,Female,NA,"Undergraduate degree (BSc, BA)",choice,75,1,For,Against
