Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Status,prolif_check,discuss_1,read_1,age,gender,gender_4_TEXT,edu,condition,ID,arg_ID,Position,Arg_Position
1,1659975297403,08/08/2022 16:14:57,1659975297343,1,08/08/2022 17:14:57,94826,3,task-s8ki,NA,23527384,6895708,NA,complete,NA,62f1357ba2156f7df98c1d21,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1920x1080,1920x927,NA,ITT Ratings,2,for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1659975304927,08/08/2022 16:15:04,1659975304915,1,08/08/2022 17:15:04,94826,3,task-s8ki,NA,23527384,6895708,NA,complete,NA,62f1357ba2156f7df98c1d21,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1920x1080,1920x927,NA,ITT Ratings,2,for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,batch6pro,1,1,1,Screen 1,advancementZone,continue_button,7549,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1659975312251,08/08/2022 16:15:12,1659975312209,1,08/08/2022 17:15:12,94826,3,task-s8ki,NA,23527384,6895708,NA,complete,NA,62f1357ba2156f7df98c1d21,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1920x1080,1920x927,NA,ITT Ratings,2,for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,batch6pro,7,1,1,Screen 1,continueButton,response_rating_scale_likert_active,7279,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,if everyone gets vaccinated we can slow/stop the mutations which takes away a lot of its power,1,17/06/2021 12:51,17/06/2021 12:57,IP Address,For (I feel positively about the vaccines),A few times a year,Most months,30,Female,NA,"Undergraduate degree (BSc, BA)",choice,51,1,For,For
4,1659975315868,08/08/2022 16:15:15,1659975315858,1,08/08/2022 17:15:15,94826,3,task-s8ki,NA,23527384,6895708,NA,complete,NA,62f1357ba2156f7df98c1d21,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1920x1080,1920x927,NA,ITT Ratings,2,for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,batch6pro,40,2,1,Screen 1,continueButton,response_rating_scale_likert_active,3638,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,it was produced too quickly to be effective,1,17/06/2021 12:44,17/06/2021 12:58,IP Address,For (I feel positively about the vaccines),A few times a year,Most months,49,Female,NA,"Undergraduate degree (BSc, BA)",control,57,1,For,Against
5,1659975318975,08/08/2022 16:15:18,1659975318959,1,08/08/2022 17:15:18,94826,3,task-s8ki,NA,23527384,6895708,NA,complete,NA,62f1357ba2156f7df98c1d21,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1920x1080,1920x927,NA,ITT Ratings,2,for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,batch6pro,54,3,1,Screen 1,continueButton,response_rating_scale_likert_active,3090,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,my own medical conditions,1,17/06/2021 12:55,17/06/2021 12:59,IP Address,For (I feel positively about the vaccines),Most weeks,Most months,41,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",control,59,3,For,Against
6,1659975321186,08/08/2022 16:15:21,1659975321016,1,08/08/2022 17:15:21,94826,3,task-s8ki,NA,23527384,6895708,NA,complete,NA,62f1357ba2156f7df98c1d21,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1920x1080,1920x927,NA,ITT Ratings,2,for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,batch6pro,60,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2048,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Don't believe in covid,1,17/06/2021 12:54,17/06/2021 12:59,IP Address,For (I feel positively about the vaccines),Most months,Most months,31,Female,NA,"Undergraduate degree (BSc, BA)",choice,60,3,For,Against
7,1659975324688,08/08/2022 16:15:24,1659975324660,1,08/08/2022 17:15:24,94826,3,task-s8ki,NA,23527384,6895708,NA,complete,NA,62f1357ba2156f7df98c1d21,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1920x1080,1920x927,NA,ITT Ratings,2,for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,batch6pro,33,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3634,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We need to return to pre Covid status and normality and the vaccine will help to acheive that.,1,17/06/2021 12:48,17/06/2021 12:58,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,54,Female,NA,GCSEs,control,55,3,For,For
8,1659975326054,08/08/2022 16:15:26,1659975326036,1,08/08/2022 17:15:26,94826,3,task-s8ki,NA,23527384,6895708,NA,complete,NA,62f1357ba2156f7df98c1d21,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1920x1080,1920x927,NA,ITT Ratings,2,for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,batch6pro,51,6,1,Screen 1,continueButton,response_rating_scale_likert_active,1367,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Good for the community.,1,17/06/2021 12:49,17/06/2021 12:59,IP Address,For (I feel positively about the vaccines),Most months,A few times a year,45,Male,NA,Vocational Training / Apprenticeship,control,58,3,For,For
9,1659975328316,08/08/2022 16:15:28,1659975328309,1,08/08/2022 17:15:28,94826,3,task-s8ki,NA,23527384,6895708,NA,complete,NA,62f1357ba2156f7df98c1d21,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1920x1080,1920x927,NA,ITT Ratings,2,for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,batch6pro,10,7,1,Screen 1,continueButton,response_rating_scale_likert_active,2258,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"It affects my DNA, i don't want anything that will change my DNA",1,17/06/2021 12:51,17/06/2021 12:58,IP Address,For (I feel positively about the vaccines),Most weeks,Most days,33,Male,NA,"Undergraduate degree (BSc, BA)",choice,52,1,For,Against
10,1659975329722,08/08/2022 16:15:29,1659975329712,1,08/08/2022 17:15:29,94826,3,task-s8ki,NA,23527384,6895708,NA,complete,NA,62f1357ba2156f7df98c1d21,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1920x1080,1920x927,NA,ITT Ratings,2,for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6pro,batch6pro,4,8,1,Screen 1,continueButton,response_rating_scale_likert_active,1392,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,it has not been tested enough so i don't know its safe,1,17/06/2021 12:51,17/06/2021 12:57,IP Address,For (I feel positively about the vaccines),A few times a year,Most months,30,Female,NA,"Undergraduate degree (BSc, BA)",choice,51,1,For,Against
