Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Status,prolif_check,discuss_1,read_1,age,gender,gender_4_TEXT,edu,condition,ID,arg_ID,Position,Arg_Position
1,1659975841852,08/08/2022 16:24:01,1659975841278,1,08/08/2022 17:24:01,94826,3,task-xidh,NA,23527566,6895773,NA,complete,NA,62f1386f0b24dc130bf0d8e2,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,2560x1440,2560x1335,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1659975847176,08/08/2022 16:24:07,1659975846633,1,08/08/2022 17:24:06,94826,3,task-xidh,NA,23527566,6895773,NA,complete,NA,62f1386f0b24dc130bf0d8e2,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,2560x1440,2560x1335,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,batch9pro,1,1,1,Screen 1,advancementZone,continue_button,5322.699999988079,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1659975851598,08/08/2022 16:24:11,1659975851060,1,08/08/2022 17:24:11,94826,3,task-xidh,NA,23527566,6895773,NA,complete,NA,62f1386f0b24dc130bf0d8e2,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,2560x1440,2560x1335,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,batch9pro,34,1,1,Screen 1,continueButton,response_rating_scale_likert_active,4417.399999976158,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,it was produced fast,1,17/06/2021 12:55,17/06/2021 13:06,IP Address,For (I feel positively about the vaccines),Rarely,Most days,19,Female,NA,A levels,control,86,1,For,Against
4,1659975855156,08/08/2022 16:24:15,1659975854648,1,08/08/2022 17:24:14,94826,3,task-xidh,NA,23527566,6895773,NA,complete,NA,62f1386f0b24dc130bf0d8e2,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,2560x1440,2560x1335,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,batch9pro,47,2,1,Screen 1,continueButton,response_rating_scale_likert_active,3578.399999976158,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't trust the government/pharmaceutical industry to have produced a (safe) vaccine in the timeframe.,1,17/06/2021 13:00,17/06/2021 13:07,IP Address,For (I feel positively about the vaccines),A few times a year,Most months,31,Female,NA,"Undergraduate degree (BSc, BA)",choice,88,2,For,Against
5,1659975863066,08/08/2022 16:24:23,1659975862546,1,08/08/2022 17:24:22,94826,3,task-xidh,NA,23527566,6895773,NA,complete,NA,62f1386f0b24dc130bf0d8e2,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,2560x1440,2560x1335,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,batch9pro,63,3,1,Screen 1,continueButton,response_rating_scale_likert_active,7890.800000011921,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to help with group immunity for those who are unable to have vaccines,1,17/06/2021 12:53,17/06/2021 13:08,IP Address,For (I feel positively about the vaccines),Most weeks,Most months,25,Female,NA,"Undergraduate degree (BSc, BA)",control,90,3,For,For
6,1659975867362,08/08/2022 16:24:27,1659975866440,1,08/08/2022 17:24:26,94826,3,task-xidh,NA,23527566,6895773,NA,complete,NA,62f1386f0b24dc130bf0d8e2,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,2560x1440,2560x1335,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,batch9pro,6,4,1,Screen 1,continueButton,response_rating_scale_likert_active,3885.799999952316,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Don't believe that any vaccines are effective,1,17/06/2021 12:57,17/06/2021 13:05,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,31,Male,NA,"Undergraduate degree (BSc, BA)",choice,81,3,For,Against
7,1659975871949,08/08/2022 16:24:31,1659975871433,1,08/08/2022 17:24:31,94826,3,task-xidh,NA,23527566,6895773,NA,complete,NA,62f1386f0b24dc130bf0d8e2,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,2560x1440,2560x1335,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,batch9pro,31,5,1,Screen 1,continueButton,response_rating_scale_likert_active,4985.300000011921,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It's the only way to conquer and get rid of the virus,1,17/06/2021 12:58,17/06/2021 13:06,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,57,Female,NA,"Undergraduate degree (BSc, BA)",control,85,1,For,For
8,1659975875798,08/08/2022 16:24:35,1659975875264,1,08/08/2022 17:24:35,94826,3,task-xidh,NA,23527566,6895773,NA,complete,NA,62f1386f0b24dc130bf0d8e2,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,2560x1440,2560x1335,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,batch9pro,36,6,1,Screen 1,continueButton,response_rating_scale_likert_active,3823.900000035763,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,the effectiveness hasn't really been proven,1,17/06/2021 12:55,17/06/2021 13:06,IP Address,For (I feel positively about the vaccines),Rarely,Most days,19,Female,NA,A levels,control,86,3,For,Against
9,1659975904414,08/08/2022 16:25:04,1659975903884,1,08/08/2022 17:25:03,94826,3,task-xidh,NA,23527566,6895773,NA,complete,NA,62f1386f0b24dc130bf0d8e2,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,2560x1440,2560x1335,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,batch9pro,54,7,1,Screen 1,continueButton,response_rating_scale_likert_active,28610,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,There's not been enough time to make the vaccine work properly,1,17/06/2021 12:53,17/06/2021 13:08,IP Address,For (I feel positively about the vaccines),A few times a year,Rarely,33,Female,NA,"Undergraduate degree (BSc, BA)",control,89,3,For,Against
10,1659975911373,08/08/2022 16:25:11,1659975910846,1,08/08/2022 17:25:10,94826,3,task-xidh,NA,23527566,6895773,NA,complete,NA,62f1386f0b24dc130bf0d8e2,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,2560x1440,2560x1335,NA,ITT Ratings,2,for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9pro,batch9pro,25,8,1,Screen 1,continueButton,response_rating_scale_likert_active,6955.600000023842,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,protecting yourself; making yourself immune,1,17/06/2021 12:58,17/06/2021 13:06,IP Address,For (I feel positively about the vaccines),Rarely,Rarely,19,Male,NA,A levels,choice,84,1,For,For
