Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,Status,prolif_check,discuss_1,read_1,age,gender,gender_4_TEXT,edu,condition,ID,arg_ID,Position,Arg_Position
1,1660063795442,09/08/2022 16:49:55,1660063795703,1,09/08/2022 17:49:55,94826,4,task-ig1e,NA,23543932,6899837,NA,complete,NA,62f28fb6ed34b8a3055e180f,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1920x1080,1920x969,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1660063806324,09/08/2022 16:50:06,1660063806657,1,09/08/2022 17:50:06,94826,4,task-ig1e,NA,23543932,6899837,NA,complete,NA,62f28fb6ed34b8a3055e180f,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1920x1080,1920x969,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,batch3pro,1,1,1,Screen 1,advancementZone,continue_button,10923.30000001192,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1660063821821,09/08/2022 16:50:21,1660063822175,1,09/08/2022 17:50:22,94826,4,task-ig1e,NA,23543932,6899837,NA,complete,NA,62f28fb6ed34b8a3055e180f,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1920x1080,1920x969,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,batch3pro,46,1,1,Screen 1,continueButton,response_rating_scale_likert_active,15503.80000001192,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The vaccine has been developed too quickly and has not been properly tested over a long period of time.,1,17/06/2021 12:28,17/06/2021 12:51,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,41,Male,NA,Doctorate (PhD),control,28,1,For,Against
4,1660063860946,09/08/2022 16:51:00,1660063861283,1,09/08/2022 17:51:01,94826,4,task-ig1e,NA,23543932,6899837,NA,complete,NA,62f28fb6ed34b8a3055e180f,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1920x1080,1920x969,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,batch3pro,32,2,1,Screen 1,continueButton,response_rating_scale_likert_active,39099.10000000894,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To try to help go back to a normal way of life,1,17/06/2021 12:27,17/06/2021 12:49,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,22,Male,NA,"GCSEs,Vocational Training / Apprenticeship",choice,25,2,For,For
5,1660063869357,09/08/2022 16:51:09,1660063869713,1,09/08/2022 17:51:09,94826,4,task-ig1e,NA,23543932,6899837,NA,complete,NA,62f28fb6ed34b8a3055e180f,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1920x1080,1920x969,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,batch3pro,19,3,1,Screen 1,continueButton,response_rating_scale_likert_active,8421.5,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I believe the vaccine will provide the best protection against Covid-19 for myself and my families/friends.,1,17/06/2021 12:31,17/06/2021 12:47,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,36,Male,NA,"Undergraduate degree (BSc, BA)",control,23,1,For,For
6,1660063873007,09/08/2022 16:51:13,1660063873349,1,09/08/2022 17:51:13,94826,4,task-ig1e,NA,23543932,6899837,NA,complete,NA,62f28fb6ed34b8a3055e180f,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1920x1080,1920x969,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,batch3pro,31,4,1,Screen 1,continueButton,response_rating_scale_likert_active,3628.29999999702,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"To keep myself, friends and families safe",1,17/06/2021 12:27,17/06/2021 12:49,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,22,Male,NA,"GCSEs,Vocational Training / Apprenticeship",choice,25,1,For,For
7,1660063893089,09/08/2022 16:51:33,1660063893416,1,09/08/2022 17:51:33,94826,4,task-ig1e,NA,23543932,6899837,NA,complete,NA,62f28fb6ed34b8a3055e180f,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1920x1080,1920x969,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,batch3pro,47,5,1,Screen 1,continueButton,response_rating_scale_likert_active,20060.30000001192,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,There are other ways to mitigate the impact of the disease and vaccination isn't necessary,1,17/06/2021 12:28,17/06/2021 12:51,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,41,Male,NA,Doctorate (PhD),control,28,2,For,Against
8,1660063912343,09/08/2022 16:51:52,1660063912631,1,09/08/2022 17:51:52,94826,4,task-ig1e,NA,23543932,6899837,NA,complete,NA,62f28fb6ed34b8a3055e180f,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1920x1080,1920x969,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,batch3pro,28,6,1,Screen 1,continueButton,response_rating_scale_likert_active,19206.79999999702,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It can cause long term damage like blood clots,1,17/06/2021 12:27,17/06/2021 12:49,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,22,Male,NA,"GCSEs,Vocational Training / Apprenticeship",choice,25,1,For,Against
9,1660063919930,09/08/2022 16:51:59,1660063920251,1,09/08/2022 17:52:00,94826,4,task-ig1e,NA,23543932,6899837,NA,complete,NA,62f28fb6ed34b8a3055e180f,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1920x1080,1920x969,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,batch3pro,30,7,1,Screen 1,continueButton,response_rating_scale_likert_active,7612.90000000596,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"They were rushed, it usually takes year for vaccines to be developed safely",1,17/06/2021 12:27,17/06/2021 12:49,IP Address,For (I feel positively about the vaccines),Rarely,Most weeks,22,Male,NA,"GCSEs,Vocational Training / Apprenticeship",choice,25,3,For,Against
10,1660063951962,09/08/2022 16:52:31,1660063952301,1,09/08/2022 17:52:32,94826,4,task-ig1e,NA,23543932,6899837,NA,complete,NA,62f28fb6ed34b8a3055e180f,computer,Desktop or Laptop,Windows 10,Chrome 104.0.0.0,1920x1080,1920x969,NA,ITT Ratings,2,for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3pro,batch3pro,5,8,1,Screen 1,continueButton,response_rating_scale_likert_active,32043.59999999404,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I am concerned about side effects and other health risks that might develop from having the vaccine,1,17/06/2021 12:39,17/06/2021 12:46,IP Address,For (I feel positively about the vaccines),Most months,Rarely,34,Female,NA,"Undergraduate degree (BSc, BA)",control,21,2,For,Against
