Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1652090179919,09/05/2022 09:56:19,1652090180460,1,09/05/2022 10:56:20,87571,5,task-39lm,NA,21755400,6431758,NA,complete,NA,6278e5149c9c4544d2389bc8,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1536x864,767x744,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1652090188079,09/05/2022 09:56:28,1652090188486,1,09/05/2022 10:56:28,87571,5,task-39lm,NA,21755400,6431758,NA,complete,NA,6278e5149c9c4544d2389bc8,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1536x864,767x744,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,batch5_REM,1,1,1,Screen 1,advancementZone,continue_button,7931.09999999404,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1652090200092,09/05/2022 09:56:40,1652090200673,1,09/05/2022 10:56:40,87571,5,task-39lm,NA,21755400,6431758,NA,complete,NA,6278e5149c9c4544d2389bc8,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1536x864,767x744,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,batch5_REM,19,1,1,Screen 1,continueButton,response_rating_scale_likert_active,12147.20000001788,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Independence from European decisions,1,5/4/22,5/4/22,R_11Y0Ua8MWcGpcYP,YES,Remain (Against Brexit),Confident,NA,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Disagree,Never,Rarely,30,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,43,1,Remain,Leave
4,1652090206491,09/05/2022 09:56:46,1652090207089,1,09/05/2022 10:56:47,87571,5,task-39lm,NA,21755400,6431758,NA,complete,NA,6278e5149c9c4544d2389bc8,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1536x864,767x744,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,batch5_REM,31,2,1,Screen 1,continueButton,response_rating_scale_likert_active,6366.5,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I wanted the UK to have more control over its own affairs,1,5/4/22,5/4/22,R_1etaBZleKRYNeVh,YES,Remain (Against Brexit),Confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Rarely,Rarely,28,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,45,1,Remain,Leave
5,1652090211357,09/05/2022 09:56:51,1652090211863,1,09/05/2022 10:56:51,87571,5,task-39lm,NA,21755400,6431758,NA,complete,NA,6278e5149c9c4544d2389bc8,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1536x864,767x744,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,batch5_REM,40,3,1,Screen 1,continueButton,response_rating_scale_likert_active,4747.799999982119,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Better for our economy and trade within Europe.,1,5/4/22,5/4/22,R_5nkz1BlowolfJol,YES,Remain (Against Brexit),Undecided,NA,Disagree,NA,NA,NA,Strongly Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Rarely,A few times a year,21,Female,NA,"Undergraduate degree (BSc, BA)",NA,47,1,Remain,Remain
6,1652090214218,09/05/2022 09:56:54,1652090214822,1,09/05/2022 10:56:54,87571,5,task-39lm,NA,21755400,6431758,NA,complete,NA,6278e5149c9c4544d2389bc8,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1536x864,767x744,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,batch5_REM,20,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2937.5999999940395,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Freedom to trade with other countries,1,5/4/22,5/4/22,R_11Y0Ua8MWcGpcYP,YES,Remain (Against Brexit),Confident,NA,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Disagree,Never,Rarely,30,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,43,2,Remain,Leave
7,1652090219509,09/05/2022 09:56:59,1652090220032,1,09/05/2022 10:57:00,87571,5,task-39lm,NA,21755400,6431758,NA,complete,NA,6278e5149c9c4544d2389bc8,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1536x864,767x744,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,batch5_REM,46,5,1,Screen 1,continueButton,response_rating_scale_likert_active,5164.600000023842,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To maintain our European identity.,1,5/4/22,5/4/22,R_2YxoWL19PyHfcHi,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Once or twice a year,Once or twice a year,63,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",None - thank you.,48,1,Remain,Remain
8,1652090222454,09/05/2022 09:57:02,1652090223027,1,09/05/2022 10:57:03,87571,5,task-39lm,NA,21755400,6431758,NA,complete,NA,6278e5149c9c4544d2389bc8,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1536x864,767x744,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,batch5_REM,61,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2974.399999976158,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The UK pays too much to the EU - not financially profitable,1,5/4/22,5/4/22,R_D0RxpgPvJO2T9yF,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Rarely,58,Female,NA,"Undergraduate degree (BSc, BA)",NA,50,1,Remain,Leave
9,1652090227828,09/05/2022 09:57:07,1652090228428,1,09/05/2022 10:57:08,87571,5,task-39lm,NA,21755400,6431758,NA,complete,NA,6278e5149c9c4544d2389bc8,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1536x864,767x744,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,batch5_REM,2,7,1,Screen 1,continueButton,response_rating_scale_likert_active,5379.299999982119,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Agree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check1,NA,NA
10,1652090232241,09/05/2022 09:57:12,1652090232844,1,09/05/2022 10:57:12,87571,5,task-39lm,NA,21755400,6431758,NA,complete,NA,6278e5149c9c4544d2389bc8,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1536x864,767x744,NA,ITT Ratings,4,Remain,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,batch5_REM,43,8,1,Screen 1,continueButton,response_rating_scale_likert_active,4396.799999982119,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It will be better for our economy. We can run our own businesses etc.,1,5/4/22,5/4/22,R_5nkz1BlowolfJol,YES,Remain (Against Brexit),Undecided,NA,Disagree,NA,NA,NA,Strongly Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Rarely,A few times a year,21,Female,NA,"Undergraduate degree (BSc, BA)",NA,47,1,Remain,Leave
