Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1652090144845,09/05/2022 09:55:44,1652090144738,1,09/05/2022 10:55:44,87571,5,task-7ecc,NA,21755374,6431740,NA,complete,NA,6278e4f8014b891514f5db25,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.54,1920x1080,1920x946,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1652090160160,09/05/2022 09:56:00,1652090160114,1,09/05/2022 10:56:00,87571,5,task-7ecc,NA,21755374,6431740,NA,complete,NA,6278e4f8014b891514f5db25,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.54,1920x1080,1920x946,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,batch7_REM,1,1,1,Screen 1,advancementZone,continue_button,15243.5,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1652090165417,09/05/2022 09:56:05,1652090165369,1,09/05/2022 10:56:05,87571,5,task-7ecc,NA,21755374,6431740,NA,complete,NA,6278e4f8014b891514f5db25,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.54,1920x1080,1920x946,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,batch7_REM,61,1,1,Screen 1,continueButton,response_rating_scale_likert_active,5231.700000001118,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To 'take control of our own borders',1,5/4/22,5/4/22,R_2Y9qUdf3gYq7bDw,YES,Remain (Against Brexit),Confident,NA,Strongly Agree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,Rarely,Most weeks,37,Female,NA,"Undergraduate degree (BSc, BA)","I'm confused by the wording of the question ""what gender do you most identify with', yet it gives male/female as an option. You cannot identify as either male or female; these are biological sexes. I was born - and therefore am - female.",70,1,Remain,Leave
4,1652090167917,09/05/2022 09:56:07,1652090167857,1,09/05/2022 10:56:07,87571,5,task-7ecc,NA,21755374,6431740,NA,complete,NA,6278e4f8014b891514f5db25,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.54,1920x1080,1920x946,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,batch7_REM,41,2,1,Screen 1,continueButton,response_rating_scale_likert_active,2467.5999999996275,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,freedom of movement throughout EU,1,5/4/22,5/4/22,R_8wujUu7Z5DFFqwx,YES,Remain (Against Brexit),Very confident,NA,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once or twice a year,Most months,57,Female,NA,"Undergraduate degree (BSc, BA)",NA,67,2,Remain,Remain
5,1652090170648,09/05/2022 09:56:10,1652090170588,1,09/05/2022 10:56:10,87571,5,task-7ecc,NA,21755374,6431740,NA,complete,NA,6278e4f8014b891514f5db25,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.54,1920x1080,1920x946,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,batch7_REM,62,3,1,Screen 1,continueButton,response_rating_scale_likert_active,2714.2000000011176,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To reduce immigration,1,5/4/22,5/4/22,R_2Y9qUdf3gYq7bDw,YES,Remain (Against Brexit),Confident,NA,Strongly Agree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,Rarely,Most weeks,37,Female,NA,"Undergraduate degree (BSc, BA)","I'm confused by the wording of the question ""what gender do you most identify with', yet it gives male/female as an option. You cannot identify as either male or female; these are biological sexes. I was born - and therefore am - female.",70,2,Remain,Leave
6,1652090175229,09/05/2022 09:56:15,1652090175183,1,09/05/2022 10:56:15,87571,5,task-7ecc,NA,21755374,6431740,NA,complete,NA,6278e4f8014b891514f5db25,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.54,1920x1080,1920x946,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,batch7_REM,12,4,1,Screen 1,continueButton,response_rating_scale_likert_active,4575,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Solving trade restrictions for food and other perishable.,1,5/4/22,5/4/22,R_2ZCukTyfnX83O3P,YES,Remain (Against Brexit),Very confident,NA,Strongly Disagree,NA,NA,NA,Somewhat Agree,Strongly Agree,Agree,NA,NA,NA,Somewhat Agree,Agree,Neither Agree nor Disagree,Once or twice a year,Most weeks,30,Male,NA,"Undergraduate degree (BSc, BA)",NA,62,3,Remain,Remain
7,1652090270963,09/05/2022 09:57:50,1652090270932,1,09/05/2022 10:57:50,87571,5,task-7ecc,NA,21755374,6431740,NA,complete,NA,6278e4f8014b891514f5db25,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.54,1920x1080,1919x875,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,batch7_REM,4,5,1,Screen 1,continueButton,response_rating_scale_likert_active,95732.09999999964,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,More jobs in Finance Law etc being part Europe,1,5/4/22,5/4/22,R_6DwRS9JdRagwnU5,YES,Remain (Against Brexit),Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,Once or twice a year,Rarely,63,Female,NA,"Undergraduate degree (BSc, BA)",Interesting study,61,1,Remain,Remain
8,1652090272909,09/05/2022 09:57:52,1652090272837,1,09/05/2022 10:57:52,87571,5,task-7ecc,NA,21755374,6431740,NA,complete,NA,6278e4f8014b891514f5db25,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.54,1920x1080,1919x875,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,batch7_REM,11,6,1,Screen 1,continueButton,response_rating_scale_likert_active,1884.300000000745,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Solving trade restrictions for food and other perishable.,1,5/4/22,5/4/22,R_2ZCukTyfnX83O3P,YES,Remain (Against Brexit),Very confident,NA,Strongly Disagree,NA,NA,NA,Somewhat Agree,Strongly Agree,Agree,NA,NA,NA,Somewhat Agree,Agree,Neither Agree nor Disagree,Once or twice a year,Most weeks,30,Male,NA,"Undergraduate degree (BSc, BA)",NA,62,2,Remain,Remain
9,1652090275359,09/05/2022 09:57:55,1652090275321,1,09/05/2022 10:57:55,87571,5,task-7ecc,NA,21755374,6431740,NA,complete,NA,6278e4f8014b891514f5db25,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.54,1920x1080,1919x875,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,batch7_REM,36,7,1,Screen 1,continueButton,response_rating_scale_likert_active,2467.4000000003725,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Economic benefits for multiple ventures made available through central funding,1,5/4/22,5/4/22,R_1gb9bkjgobMzZDf,YES,Remain (Against Brexit),Somewhat Confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,Never,A few times a year,41,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",Thank you for the opportunity.,66,3,Remain,Remain
10,1652090277992,09/05/2022 09:57:57,1652090277890,1,09/05/2022 10:57:57,87571,5,task-7ecc,NA,21755374,6431740,NA,complete,NA,6278e4f8014b891514f5db25,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.54,1920x1080,1919x875,NA,ITT Ratings,4,Remain,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,batch7_REM,53,8,1,Screen 1,continueButton,response_rating_scale_likert_active,2550,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Keep our trading relationships.,1,5/4/22,5/4/22,R_2bOEsesMKDbKzBM,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Rarely,Most months,26,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,69,2,Remain,Remain
