Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1652089672690,09/05/2022 09:47:52,1652089672810,1,09/05/2022 10:47:52,87571,5,task-8jq2,NA,21754943,6431593,NA,complete,NA,6278e30acd54dea1470d6243,mobile,Samsung SM-A715F,Android 11,Samsung Browser 16.2,915x412,832x340,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1652089680036,09/05/2022 09:48:00,1652089680122,1,09/05/2022 10:48:00,87571,5,task-8jq2,NA,21754943,6431593,NA,complete,NA,6278e30acd54dea1470d6243,mobile,Samsung SM-A715F,Android 11,Samsung Browser 16.2,915x412,832x340,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,batch3_REM,1,1,1,Screen 1,advancementZone,continue_button,7116.399999976158,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1652089683227,09/05/2022 09:48:03,1652089683400,1,09/05/2022 10:48:03,87571,5,task-8jq2,NA,21754943,6431593,NA,complete,NA,6278e30acd54dea1470d6243,mobile,Samsung SM-A715F,Android 11,Samsung Browser 16.2,915x412,832x340,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,batch3_REM,26,1,1,Screen 1,continueButton,response_rating_scale_likert_active,3219.5,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"We will be able to control our borders better, preventing immigration.",1,5/4/22,5/4/22,R_1rCguf9JxXa5SxK,YES,Remain (Against Brexit),Confident,NA,Disagree,NA,NA,NA,Disagree,Agree,Agree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Rarely,A few times a year,24,Male,NA,A levels,NA,24,2,Remain,Leave
4,1652089688717,09/05/2022 09:48:08,1652089688884,1,09/05/2022 10:48:08,87571,5,task-8jq2,NA,21754943,6431593,NA,complete,NA,6278e30acd54dea1470d6243,mobile,Samsung SM-A715F,Android 11,Samsung Browser 16.2,915x412,832x340,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,batch3_REM,31,2,1,Screen 1,continueButton,response_rating_scale_likert_active,5422.899999976158,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Against immigration/Xenophobic,1,5/4/22,5/4/22,R_2CHOyH4GACr4d2P,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,Most months,27,Female,NA,"Undergraduate degree (BSc, BA)",NA,25,1,Remain,Leave
5,1652089691852,09/05/2022 09:48:11,1652089691999,1,09/05/2022 10:48:11,87571,5,task-8jq2,NA,21754943,6431593,NA,complete,NA,6278e30acd54dea1470d6243,mobile,Samsung SM-A715F,Android 11,Samsung Browser 16.2,915x412,832x340,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,batch3_REM,33,3,1,Screen 1,continueButton,response_rating_scale_likert_active,3066,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Due to claims of saving money usually paid to the EU,1,5/4/22,5/4/22,R_2CHOyH4GACr4d2P,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,Most months,27,Female,NA,"Undergraduate degree (BSc, BA)",NA,25,3,Remain,Leave
6,1652089694534,09/05/2022 09:48:14,1652089694680,1,09/05/2022 10:48:14,87571,5,task-8jq2,NA,21754943,6431593,NA,complete,NA,6278e30acd54dea1470d6243,mobile,Samsung SM-A715F,Android 11,Samsung Browser 16.2,915x412,832x340,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,batch3_REM,34,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2631.399999976158,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Unsure what to vote in the election,1,5/4/22,5/4/22,R_Td4BlQQ7SAXKNVv,YES,Remain (Against Brexit),Very Doubtful,NA,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Never,Never,35,Female,NA,A levels,NA,26,1,Remain,Remain
7,1652089697152,09/05/2022 09:48:17,1652089697312,1,09/05/2022 10:48:17,87571,5,task-8jq2,NA,21754943,6431593,NA,complete,NA,6278e30acd54dea1470d6243,mobile,Samsung SM-A715F,Android 11,Samsung Browser 16.2,915x412,832x340,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,batch3_REM,43,5,1,Screen 1,continueButton,response_rating_scale_likert_active,2585.2000000476837,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We will not be overruled,1,5/4/22,5/4/22,R_vrDw6MOCqqc8ead,YES,Remain (Against Brexit),Confident,NA,Agree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,Never,Rarely,52,Female,NA,A levels,NA,27,1,Remain,Leave
8,1652089702759,09/05/2022 09:48:22,1652089702923,1,09/05/2022 10:48:22,87571,5,task-8jq2,NA,21754943,6431593,NA,complete,NA,6278e30acd54dea1470d6243,mobile,Samsung SM-A715F,Android 11,Samsung Browser 16.2,915x412,832x340,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,batch3_REM,5,6,1,Screen 1,continueButton,response_rating_scale_likert_active,5541.700000047684,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Being part of a massive economic block and the resulting benefits,1,5/4/22,5/4/22,R_1rxKxzAHtwrzYT0,YES,Remain (Against Brexit),Very confident,NA,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Most weeks,62,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,21,2,Remain,Remain
9,1652089704736,09/05/2022 09:48:24,1652089704887,1,09/05/2022 10:48:24,87571,5,task-8jq2,NA,21754943,6431593,NA,complete,NA,6278e30acd54dea1470d6243,mobile,Samsung SM-A715F,Android 11,Samsung Browser 16.2,915x412,832x340,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,batch3_REM,59,7,1,Screen 1,continueButton,response_rating_scale_likert_active,1916.100000023842,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Free movement of people.,1,5/4/22,5/4/22,R_p62SjLtAhpp9nfb,YES,Remain (Against Brexit),Confident,NA,Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Rarely,Most months,40,Male,NA,"Undergraduate degree (BSc, BA)",NA,30,2,Remain,Remain
10,1652089706316,09/05/2022 09:48:26,1652089706479,1,09/05/2022 10:48:26,87571,5,task-8jq2,NA,21754943,6431593,NA,complete,NA,6278e30acd54dea1470d6243,mobile,Samsung SM-A715F,Android 11,Samsung Browser 16.2,915x412,832x340,NA,ITT Ratings,4,Remain,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,batch3_REM,56,8,1,Screen 1,continueButton,response_rating_scale_likert_active,1540.5999999046326,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We don't have to pay lots of money to Europe,1,5/4/22,5/4/22,R_XtBrye5FUEVn9Jf,YES,Remain (Against Brexit),Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,A few times a year,26,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,29,2,Remain,Leave
