Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1652089553928,09/05/2022 09:45:53,1652089553799,1,09/05/2022 10:45:53,87571,5,task-au9x,NA,21754866,6431576,NA,complete,NA,6278e2bbbd9bbfeeb9e537a7,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1366x768,1366x657,NA,ITT Ratings,4,Remain,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1652089557138,09/05/2022 09:45:57,1652089557004,1,09/05/2022 10:45:57,87571,5,task-au9x,NA,21754866,6431576,NA,complete,NA,6278e2bbbd9bbfeeb9e537a7,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1366x768,1366x657,NA,ITT Ratings,4,Remain,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,batch9_REM,1,1,1,Screen 1,advancementZone,continue_button,3149.8999996185303,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1652089564095,09/05/2022 09:46:04,1652089564016,1,09/05/2022 10:46:04,87571,5,task-au9x,NA,21754866,6431576,NA,complete,NA,6278e2bbbd9bbfeeb9e537a7,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1366x768,1366x657,NA,ITT Ratings,4,Remain,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,batch9_REM,9,1,1,Screen 1,continueButton,response_rating_scale_likert_active,6983.60000038147,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The cost of membership outweighed benefits to Britain,1,5/4/22,5/4/22,R_1QopDeSjaW82ESW,YES,Remain (Against Brexit),Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Somewhat Agree,Disagree,NA,NA,NA,Somewhat Disagree,Strongly Disagree,Disagree,Most months,Most weeks,51,Female,NA,"Undergraduate degree (BSc, BA)",None,81,3,Remain,Leave
4,1652089568163,09/05/2022 09:46:08,1652089568095,1,09/05/2022 10:46:08,87571,5,task-au9x,NA,21754866,6431576,NA,complete,NA,6278e2bbbd9bbfeeb9e537a7,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1366x768,1366x657,NA,ITT Ratings,4,Remain,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,batch9_REM,35,2,1,Screen 1,continueButton,response_rating_scale_likert_active,4043.099998474121,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,UK trade position would be better by remaining,1,5/4/22,5/4/22,R_2tES04rqdQSKXny,YES,Remain (Against Brexit),Confident,NA,Neither Agree nor Disagree,NA,NA,NA,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,Rarely,A few times a year,62,Female,NA,"Undergraduate degree (BSc, BA)",NA,86,2,Remain,Remain
5,1652089570697,09/05/2022 09:46:10,1652089570610,1,09/05/2022 10:46:10,87571,5,task-au9x,NA,21754866,6431576,NA,complete,NA,6278e2bbbd9bbfeeb9e537a7,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1366x768,1366x657,NA,ITT Ratings,4,Remain,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,batch9_REM,29,3,1,Screen 1,continueButton,response_rating_scale_likert_active,2489.699998855591,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,free movement of people,1,5/4/22,5/4/22,R_2rC95kB4JfmT9CG,YES,Remain (Against Brexit),Confident,NA,Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,A few times a year,A few times a year,65,Female,NA,"Undergraduate degree (BSc, BA)",NA,85,2,Remain,Remain
6,1652089573145,09/05/2022 09:46:13,1652089573042,1,09/05/2022 10:46:13,87571,5,task-au9x,NA,21754866,6431576,NA,complete,NA,6278e2bbbd9bbfeeb9e537a7,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1366x768,1366x657,NA,ITT Ratings,4,Remain,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,batch9_REM,42,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2411.300001144409,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,didn't want things to change,1,5/4/22,5/4/22,R_BEcNbWLIIYHhY3v,YES,Remain (Against Brexit),Confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Rarely,Rarely,32,Female,NA,"GCSEs,Vocational Training / Apprenticeship",NA,87,3,Remain,Remain
7,1652089577135,09/05/2022 09:46:17,1652089577070,1,09/05/2022 10:46:17,87571,5,task-au9x,NA,21754866,6431576,NA,complete,NA,6278e2bbbd9bbfeeb9e537a7,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1366x768,1366x657,NA,ITT Ratings,4,Remain,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,batch9_REM,47,5,1,Screen 1,continueButton,response_rating_scale_likert_active,4007.200000762939,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"Remaining allows us to feel part of Europe to strive towards solidarity and understanding, there is less conflict when people understand each other.",1,5/4/22,5/4/22,R_2QyyIwaX17wYzDo,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,A few times a year,56,Female,NA,"Undergraduate degree (BSc, BA)",NA,88,2,Remain,Remain
8,1652089580277,09/05/2022 09:46:20,1652089580215,1,09/05/2022 10:46:20,87571,5,task-au9x,NA,21754866,6431576,NA,complete,NA,6278e2bbbd9bbfeeb9e537a7,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1366x768,1366x657,NA,ITT Ratings,4,Remain,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,batch9_REM,15,6,1,Screen 1,continueButton,response_rating_scale_likert_active,3129.3999996185303,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I can't think of a third reason.,1,5/4/22,5/4/22,R_2urNYsMXwGOE6Mc,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Disagree,Neither Agree nor Disagree,Disagree,Rarely,Once or twice a year,41,Female,NA,A levels,NA,82,3,Remain,Leave
9,1652089583720,09/05/2022 09:46:23,1652089583639,1,09/05/2022 10:46:23,87571,5,task-au9x,NA,21754866,6431576,NA,complete,NA,6278e2bbbd9bbfeeb9e537a7,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1366x768,1366x657,NA,ITT Ratings,4,Remain,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,batch9_REM,40,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3391.8999996185303,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Prices of things could increase if we are no longer in the EU,1,5/4/22,5/4/22,R_BEcNbWLIIYHhY3v,YES,Remain (Against Brexit),Confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Rarely,Rarely,32,Female,NA,"GCSEs,Vocational Training / Apprenticeship",NA,87,1,Remain,Remain
10,1652089587960,09/05/2022 09:46:27,1652089587904,1,09/05/2022 10:46:27,87571,5,task-au9x,NA,21754866,6431576,NA,complete,NA,6278e2bbbd9bbfeeb9e537a7,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1366x768,1366x657,NA,ITT Ratings,4,Remain,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,batch9_REM,27,8,1,Screen 1,continueButton,response_rating_scale_likert_active,4244.2000007629395,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We want better fishing rights.,1,5/4/22,5/4/22,R_2abovKN49NpAGES,YES,Remain (Against Brexit),Very confident,NA,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Most weeks,59,Non-binary,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,84,3,Remain,Leave
