Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
10,1652090000000,09/05/2022 09:48,1652090000000,1,09/05/2022 10:48,87571,5,task-l3ey,NA,21754912,6431586,NA,complete,NA,6278e2eb4b75242c49a3ef0c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.54,1440x900,1314x701,NA,ITT Ratings,4,Remain,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,batch10_REM,9,8,1,Screen 1,continueButton,response_rating_scale_likert_active,10069.4,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Economic control over country's finances and jobs,1,05/04/2022,05/04/2022,R_2rDDppxPgHGQAEp,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Rarely,31,Female,NA,"Undergraduate degree (BSc, BA)",NA,91,3,Remain,Leave
19,1652090000000,09/05/2022 09:49,1652090000000,1,09/05/2022 10:49,87571,5,task-l3ey,NA,21754912,6431586,NA,complete,NA,6278e2eb4b75242c49a3ef0c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.54,1440x900,1314x701,NA,ITT Ratings,4,Remain,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,batch10_REM,7,17,1,Screen 1,continueButton,response_rating_scale_likert_active,4201.9,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Political control over direction of country,1,05/04/2022,05/04/2022,R_2rDDppxPgHGQAEp,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Rarely,31,Female,NA,"Undergraduate degree (BSc, BA)",NA,91,1,Remain,Leave
21,1652090000000,09/05/2022 09:49,1652090000000,1,09/05/2022 10:49,87571,5,task-l3ey,NA,21754912,6431586,NA,complete,NA,6278e2eb4b75242c49a3ef0c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.54,1440x900,1314x701,NA,ITT Ratings,4,Remain,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,batch10_REM,8,19,1,Screen 1,continueButton,response_rating_scale_likert_active,7036.6,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Control of borders and immigration,1,05/04/2022,05/04/2022,R_2rDDppxPgHGQAEp,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Rarely,31,Female,NA,"Undergraduate degree (BSc, BA)",NA,91,2,Remain,Leave
30,1652090000000,09/05/2022 09:50,1652090000000,1,09/05/2022 10:50,87571,5,task-l3ey,NA,21754912,6431586,NA,complete,NA,6278e2eb4b75242c49a3ef0c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.54,1440x900,1314x701,NA,ITT Ratings,4,Remain,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,batch10_REM,6,28,1,Screen 1,continueButton,response_rating_scale_likert_active,3186.7,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,International influence and political sway,1,05/04/2022,05/04/2022,R_2rDDppxPgHGQAEp,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Rarely,31,Female,NA,"Undergraduate degree (BSc, BA)",NA,91,3,Remain,Remain
34,1652090000000,09/05/2022 09:50,1652090000000,1,09/05/2022 10:50,87571,5,task-l3ey,NA,21754912,6431586,NA,complete,NA,6278e2eb4b75242c49a3ef0c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.54,1440x900,1314x701,NA,ITT Ratings,4,Remain,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,batch10_REM,4,32,1,Screen 1,continueButton,response_rating_scale_likert_active,3252.2,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,economic benefits such as trade.,1,05/04/2022,05/04/2022,R_2rDDppxPgHGQAEp,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Rarely,31,Female,NA,"Undergraduate degree (BSc, BA)",NA,91,1,Remain,Remain
58,1652090000000,09/05/2022 09:52,1652090000000,1,09/05/2022 10:52,87571,5,task-l3ey,NA,21754912,6431586,NA,complete,NA,6278e2eb4b75242c49a3ef0c,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 101.0.4951.54,1440x900,1314x701,NA,ITT Ratings,4,Remain,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,batch10_REM,5,56,1,Screen 1,continueButton,response_rating_scale_likert_active,3557.4,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Freedom of movement between European countries and immigration,1,05/04/2022,05/04/2022,R_2rDDppxPgHGQAEp,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Rarely,31,Female,NA,"Undergraduate degree (BSc, BA)",NA,91,2,Remain,Remain
4,1652090000000,09/05/2022 09:57,1652090000000,1,09/05/2022 10:57,87571,5,task-l3ey,NA,21755419,6431751,NA,complete,NA,6278e5083fbfee41ff8e8a45,tablet,Apple iPad,iOS 12.5.5,Mobile Safari 12.1.2,768x1024,1024x666,NA,ITT Ratings,4,Remain,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,batch10_REM,7,2,1,Screen 1,continueButton,response_rating_scale_likert_active,8176,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Political control over direction of country,1,05/04/2022,05/04/2022,R_2rDDppxPgHGQAEp,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Rarely,31,Female,NA,"Undergraduate degree (BSc, BA)",NA,91,1,Remain,Leave
5,1652090000000,09/05/2022 09:57,1652090000000,1,09/05/2022 10:57,87571,5,task-l3ey,NA,21755419,6431751,NA,complete,NA,6278e5083fbfee41ff8e8a45,tablet,Apple iPad,iOS 12.5.5,Mobile Safari 12.1.2,768x1024,1024x666,NA,ITT Ratings,4,Remain,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,batch10_REM,5,3,1,Screen 1,continueButton,response_rating_scale_likert_active,12586,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Freedom of movement between European countries and immigration,1,05/04/2022,05/04/2022,R_2rDDppxPgHGQAEp,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Rarely,31,Female,NA,"Undergraduate degree (BSc, BA)",NA,91,2,Remain,Remain
8,1652090000000,09/05/2022 09:58,1652090000000,1,09/05/2022 10:58,87571,5,task-l3ey,NA,21755419,6431751,NA,complete,NA,6278e5083fbfee41ff8e8a45,tablet,Apple iPad,iOS 12.5.5,Mobile Safari 12.1.2,768x1024,1024x666,NA,ITT Ratings,4,Remain,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,batch10_REM,4,6,1,Screen 1,continueButton,response_rating_scale_likert_active,8000,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,economic benefits such as trade.,1,05/04/2022,05/04/2022,R_2rDDppxPgHGQAEp,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Rarely,31,Female,NA,"Undergraduate degree (BSc, BA)",NA,91,1,Remain,Remain
33,1652090000000,09/05/2022 10:01,1652090000000,1,09/05/2022 11:01,87571,5,task-l3ey,NA,21755419,6431751,NA,complete,NA,6278e5083fbfee41ff8e8a45,tablet,Apple iPad,iOS 12.5.5,Mobile Safari 12.1.2,768x1024,1024x666,NA,ITT Ratings,4,Remain,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,batch10_REM,9,31,1,Screen 1,continueButton,response_rating_scale_likert_active,6469,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Economic control over country's finances and jobs,1,05/04/2022,05/04/2022,R_2rDDppxPgHGQAEp,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Rarely,31,Female,NA,"Undergraduate degree (BSc, BA)",NA,91,3,Remain,Leave
