Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1652089739886,09/05/2022 09:48:59,1652089739683,1,09/05/2022 10:48:59,87571,5,task-octl,NA,21755014,6431608,NA,complete,NA,6278e341803931d7cb9d774b,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.3,834x1112,1112x708,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1652089748121,09/05/2022 09:49:08,1652089747954,1,09/05/2022 10:49:07,87571,5,task-octl,NA,21755014,6431608,NA,complete,NA,6278e341803931d7cb9d774b,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.3,834x1112,1112x708,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,batch4_REM,1,1,1,Screen 1,advancementZone,continue_button,8237,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1652089759586,09/05/2022 09:49:19,1652089759430,1,09/05/2022 10:49:19,87571,5,task-octl,NA,21755014,6431608,NA,complete,NA,6278e341803931d7cb9d774b,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.3,834x1112,1112x708,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,batch4_REM,10,1,1,Screen 1,continueButton,response_rating_scale_likert_active,11458,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"Strength in numbers, supporting and support from other countries",1,5/4/22,5/4/22,R_2zMS7pL1N1BiutM,YES,Remain (Against Brexit),Very confident,NA,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,A few times a year,28,Male,NA,A levels,NA,32,1,Remain,Remain
4,1652089775370,09/05/2022 09:49:35,1652089775220,1,09/05/2022 10:49:35,87571,5,task-octl,NA,21755014,6431608,NA,complete,NA,6278e341803931d7cb9d774b,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.3,834x1112,1112x708,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,batch4_REM,19,2,1,Screen 1,continueButton,response_rating_scale_likert_active,15774,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To be able to govern ourselves without interference from the EU,1,5/4/22,5/4/22,R_3QVpGNOYJ21RAkc,YES,Remain (Against Brexit),Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Rarely,A few times a year,32,Male,NA,"Undergraduate degree (BSc, BA)",NA,33,1,Remain,Leave
5,1652089786743,09/05/2022 09:49:46,1652089786609,1,09/05/2022 10:49:46,87571,5,task-octl,NA,21755014,6431608,NA,complete,NA,6278e341803931d7cb9d774b,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.3,834x1112,1112x708,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,batch4_REM,45,3,1,Screen 1,continueButton,response_rating_scale_likert_active,11372,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We want to start living using British food and produce more and importing less.,1,5/4/22,5/4/22,R_DHxVoHi5NtSqUwx,YES,Remain (Against Brexit),Somewhat Confident,NA,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Rarely,Rarely,35,Female,NA,Vocational Training / Apprenticeship,NA,37,3,Remain,Leave
6,1652089790087,09/05/2022 09:49:50,1652089789932,1,09/05/2022 10:49:49,87571,5,task-octl,NA,21755014,6431608,NA,complete,NA,6278e341803931d7cb9d774b,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.3,834x1112,1112x708,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,batch4_REM,46,4,1,Screen 1,continueButton,response_rating_scale_likert_active,3313,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,we are stronger as a block,1,5/4/22,5/4/22,R_1CmhAL8dxAFABLS,YES,Remain (Against Brexit),Somewhat Confident,NA,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,A few times a year,Once or twice a year,48,Female,NA,"Undergraduate degree (BSc, BA)",NA,38,1,Remain,Remain
7,1652089805722,09/05/2022 09:50:05,1652089805587,1,09/05/2022 10:50:05,87571,5,task-octl,NA,21755014,6431608,NA,complete,NA,6278e341803931d7cb9d774b,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.3,834x1112,1112x708,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,batch4_REM,59,5,1,Screen 1,continueButton,response_rating_scale_likert_active,15642,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,lose eu subsidies and additional funding,1,5/4/22,5/4/22,R_29caUpmklEbZx7a,YES,Remain (Against Brexit),Confident,NA,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,A few times a year,Most months,34,Non-binary,NA,"Undergraduate degree (BSc, BA)",NA,40,2,Remain,Remain
8,1652089812794,09/05/2022 09:50:12,1652089812635,1,09/05/2022 10:50:12,87571,5,task-octl,NA,21755014,6431608,NA,complete,NA,6278e341803931d7cb9d774b,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.3,834x1112,1112x708,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,batch4_REM,6,6,1,Screen 1,continueButton,response_rating_scale_likert_active,7029,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Makes it easier for the general public,1,5/4/22,5/4/22,R_3DhB02rzFvv9lLq,YES,Remain (Against Brexit),Confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Agree,Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Once or twice a year,Rarely,19,Female,NA,A levels,NA,31,3,Remain,Remain
9,1652089820266,09/05/2022 09:50:20,1652089820132,1,09/05/2022 10:50:20,87571,5,task-octl,NA,21755014,6431608,NA,complete,NA,6278e341803931d7cb9d774b,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.3,834x1112,1112x708,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,batch4_REM,42,7,1,Screen 1,continueButton,response_rating_scale_likert_active,7483,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Well no longer have access to the same trade deals and therefore the cost of goods will increase,1,5/4/22,5/4/22,R_DHxVoHi5NtSqUwx,YES,Remain (Against Brexit),Somewhat Confident,NA,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Rarely,Rarely,35,Female,NA,Vocational Training / Apprenticeship,NA,37,3,Remain,Remain
10,1652089822207,09/05/2022 09:50:22,1652089822066,1,09/05/2022 10:50:22,87571,5,task-octl,NA,21755014,6431608,NA,complete,NA,6278e341803931d7cb9d774b,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 15.3,834x1112,1112x708,NA,ITT Ratings,4,Remain,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,batch4_REM,29,8,1,Screen 1,continueButton,response_rating_scale_likert_active,1918,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,The potential loss of jobs,1,5/4/22,5/4/22,R_3I4uNT2YYb8Lu3Y,YES,Remain (Against Brexit),Somewhat Confident,NA,Neither Agree nor Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Never,Never,21,Female,NA,"GCSEs,A levels",NA,35,2,Remain,Remain
