Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1652090000000,09/05/2022 09:45,1652090000000,1,09/05/2022 10:45,87571,5,task-ogmx,NA,21754871,6431569,NA,complete,NA,6278e2ae0fdd97911870cb72,computer,Desktop or Laptop,Windows 10,Firefox 91.0,1280x720,1280x567,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1652090000000,09/05/2022 09:46,1652090000000,1,09/05/2022 10:46,87571,5,task-ogmx,NA,21754871,6431569,NA,complete,NA,6278e2ae0fdd97911870cb72,computer,Desktop or Laptop,Windows 10,Firefox 91.0,1280x720,1280x567,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,batch8__REM,1,1,1,Screen 1,advancementZone,continue_button,7250,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1652090000000,09/05/2022 09:46,1652090000000,1,09/05/2022 10:46,87571,5,task-ogmx,NA,21754871,6431569,NA,complete,NA,6278e2ae0fdd97911870cb72,computer,Desktop or Laptop,Windows 10,Firefox 91.0,1280x720,1280x567,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,batch8__REM,53,1,1,Screen 1,continueButton,response_rating_scale_likert_active,6415,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,travelling will be more difficult,1,05/04/2022,05/04/2022,R_3Rz6L8l6KvNvrbT,YES,Remain (Against Brexit),Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Most months,A few times a year,NA,Female,NA,"Undergraduate degree (BSc, BA)",NA,79,2,Remain,Remain
4,1652090000000,09/05/2022 09:46,1652090000000,1,09/05/2022 10:46,87571,5,task-ogmx,NA,21754871,6431569,NA,complete,NA,6278e2ae0fdd97911870cb72,computer,Desktop or Laptop,Windows 10,Firefox 91.0,1280x720,1280x567,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,batch8__REM,9,2,1,Screen 1,continueButton,response_rating_scale_likert_active,4806,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It means we will get back to being British and stop relying on Foreign trade,1,05/04/2022,05/04/2022,R_3O1GYbeNCWPy6RT,YES,Remain (Against Brexit),Very confident,NA,Strongly Disagree,NA,NA,NA,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Once or twice a year,Most months,35,Female,NA,"Undergraduate degree (BSc, BA)",NA,71,3,Remain,Leave
5,1652090000000,09/05/2022 09:46,1652090000000,1,09/05/2022 10:46,87571,5,task-ogmx,NA,21754871,6431569,NA,complete,NA,6278e2ae0fdd97911870cb72,computer,Desktop or Laptop,Windows 10,Firefox 91.0,1280x720,1280x567,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,batch8__REM,49,3,1,Screen 1,continueButton,response_rating_scale_likert_active,4414,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Look after and prioritise own interests,1,05/04/2022,05/04/2022,R_1ODjpeXZT2x8dHs,YES,Remain (Against Brexit),Confident,NA,Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Rarely,49,Other,I don't identify with a gender. I am female,"Undergraduate degree (BSc, BA)",NA,78,1,Remain,Leave
6,1652090000000,09/05/2022 09:46,1652090000000,1,09/05/2022 10:46,87571,5,task-ogmx,NA,21754871,6431569,NA,complete,NA,6278e2ae0fdd97911870cb72,computer,Desktop or Laptop,Windows 10,Firefox 91.0,1280x720,1280x567,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,batch8__REM,15,4,1,Screen 1,continueButton,response_rating_scale_likert_active,5701,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,They think that there would be less 'red tape' or regulations.,1,05/04/2022,05/04/2022,R_SWeN7xPGVK3qNEt,YES,Remain (Against Brexit),Confident,NA,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,Rarely,Rarely,32,Female,NA,"Postgraduate degree (MSc, MA, MPhil)","Perhaps have a reference to time on the questions about how much you talk about it/read about it - for instance, since COVID it has not really been on my radar, whereas around the referendum it was more on my mind/part of discussions.",72,3,Remain,Leave
7,1652090000000,09/05/2022 09:46,1652090000000,1,09/05/2022 10:46,87571,5,task-ogmx,NA,21754871,6431569,NA,complete,NA,6278e2ae0fdd97911870cb72,computer,Desktop or Laptop,Windows 10,Firefox 91.0,1280x720,1280x567,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,batch8__REM,46,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3292,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Strength of union - stronger together,1,05/04/2022,05/04/2022,R_1ODjpeXZT2x8dHs,YES,Remain (Against Brexit),Confident,NA,Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Rarely,49,Other,I don't identify with a gender. I am female,"Undergraduate degree (BSc, BA)",NA,78,1,Remain,Remain
8,1652090000000,09/05/2022 09:46,1652090000000,1,09/05/2022 10:46,87571,5,task-ogmx,NA,21754871,6431569,NA,complete,NA,6278e2ae0fdd97911870cb72,computer,Desktop or Laptop,Windows 10,Firefox 91.0,1280x720,1280x567,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,batch8__REM,6,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4654,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Don't divide Britain. We are a multi cultural kingdom that welcomes everyone,1,05/04/2022,05/04/2022,R_3O1GYbeNCWPy6RT,YES,Remain (Against Brexit),Very confident,NA,Strongly Disagree,NA,NA,NA,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Once or twice a year,Most months,35,Female,NA,"Undergraduate degree (BSc, BA)",NA,71,3,Remain,Remain
9,1652090000000,09/05/2022 09:46,1652090000000,1,09/05/2022 10:46,87571,5,task-ogmx,NA,21754871,6431569,NA,complete,NA,6278e2ae0fdd97911870cb72,computer,Desktop or Laptop,Windows 10,Firefox 91.0,1280x720,1280x567,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,batch8__REM,41,7,1,Screen 1,continueButton,response_rating_scale_likert_active,2015,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,better trade deals and easier travel,1,05/04/2022,05/04/2022,R_2SJ1sFgfejqsqiQ,YES,Remain (Against Brexit),Very confident,NA,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Most months,57,Female,NA,Vocational Training / Apprenticeship,NA,77,2,Remain,Remain
10,1652090000000,09/05/2022 09:46,1652090000000,1,09/05/2022 10:46,87571,5,task-ogmx,NA,21754871,6431569,NA,complete,NA,6278e2ae0fdd97911870cb72,computer,Desktop or Laptop,Windows 10,Firefox 91.0,1280x720,1280x567,NA,ITT Ratings,4,Remain,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,batch8__REM,17,8,1,Screen 1,continueButton,response_rating_scale_likert_active,3807,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,European Union rules are better thought out and considered and therefore benefit us as a whole.,1,05/04/2022,05/04/2022,R_1dzzVp5jsORg8gm,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,Most weeks,Most months,56,Female,NA,"Undergraduate degree (BSc, BA)",NA,73,2,Remain,Remain
