Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1652089622029,09/05/2022 09:47:02,1652089621919,1,09/05/2022 10:47:01,87571,5,task-t3d4,NA,21754913,6431588,NA,complete,NA,6278e2f134a2770e510f683b,mobile,Apple iPhone,iOS 14.8.1,Mobile Safari 14.1.2,414x896,800x331,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1652089630002,09/05/2022 09:47:10,1652089629922,1,09/05/2022 10:47:09,87571,5,task-t3d4,NA,21754913,6431588,NA,complete,NA,6278e2f134a2770e510f683b,mobile,Apple iPhone,iOS 14.8.1,Mobile Safari 14.1.2,414x896,800x331,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,batch2_REM,1,1,1,Screen 1,advancementZone,continue_button,7936,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1652089636400,09/05/2022 09:47:16,1652089636329,1,09/05/2022 10:47:16,87571,5,task-t3d4,NA,21754913,6431588,NA,complete,NA,6278e2f134a2770e510f683b,mobile,Apple iPhone,iOS 14.8.1,Mobile Safari 14.1.2,414x896,800x331,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,batch2_REM,18,1,1,Screen 1,continueButton,response_rating_scale_likert_active,6380,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,it is what I want,1,5/4/22,5/4/22,R_1Kd11Mq7B1ETcyW,YES,Remain (Against Brexit),Undecided,NA,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Never,Never,31,Female,NA,"Undergraduate degree (BSc, BA)",Why are the boxes for reasons different sizes? Make them the same,13,3,Remain,Remain
4,1652089642772,09/05/2022 09:47:22,1652089642717,1,09/05/2022 10:47:22,87571,5,task-t3d4,NA,21754913,6431588,NA,complete,NA,6278e2f134a2770e510f683b,mobile,Apple iPhone,iOS 14.8.1,Mobile Safari 14.1.2,414x896,800x331,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,batch2_REM,17,2,1,Screen 1,continueButton,response_rating_scale_likert_active,6359,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I have done research and think it's the better option,1,5/4/22,5/4/22,R_1Kd11Mq7B1ETcyW,YES,Remain (Against Brexit),Undecided,NA,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Never,Never,31,Female,NA,"Undergraduate degree (BSc, BA)",Why are the boxes for reasons different sizes? Make them the same,13,2,Remain,Remain
5,1652089650167,09/05/2022 09:47:30,1652089650117,1,09/05/2022 10:47:30,87571,5,task-t3d4,NA,21754913,6431588,NA,complete,NA,6278e2f134a2770e510f683b,mobile,Apple iPhone,iOS 14.8.1,Mobile Safari 14.1.2,414x896,800x331,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,batch2_REM,28,3,1,Screen 1,continueButton,response_rating_scale_likert_active,7374.000000000004,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To feel I identify as a European citizen,1,5/4/22,5/4/22,R_3MT34OTdAyEDULi,YES,Remain (Against Brexit),Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Rarely,Most months,38,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,15,1,Remain,Remain
6,1652089656235,09/05/2022 09:47:36,1652089656177,1,09/05/2022 10:47:36,87571,5,task-t3d4,NA,21754913,6431588,NA,complete,NA,6278e2f134a2770e510f683b,mobile,Apple iPhone,iOS 14.8.1,Mobile Safari 14.1.2,414x896,800x331,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,batch2_REM,31,4,1,Screen 1,continueButton,response_rating_scale_likert_active,6029.000000000004,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To save the money spent on being part of the EU and use on British resources,1,5/4/22,5/4/22,R_3MT34OTdAyEDULi,YES,Remain (Against Brexit),Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Rarely,Most months,38,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,15,1,Remain,Leave
7,1652089658924,09/05/2022 09:47:38,1652089658867,1,09/05/2022 10:47:38,87571,5,task-t3d4,NA,21754913,6431588,NA,complete,NA,6278e2f134a2770e510f683b,mobile,Apple iPhone,iOS 14.8.1,Mobile Safari 14.1.2,414x896,800x331,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,batch2_REM,22,5,1,Screen 1,continueButton,response_rating_scale_likert_active,2661.9999999999927,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We benefit from exchange of ideas with the EU.,1,5/4/22,5/4/22,R_2B2uQToBOV24wnA,YES,Remain (Against Brexit),Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Rarely,Most months,46,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,14,1,Remain,Remain
8,1652089661660,09/05/2022 09:47:41,1652089661607,1,09/05/2022 10:47:41,87571,5,task-t3d4,NA,21754913,6431588,NA,complete,NA,6278e2f134a2770e510f683b,mobile,Apple iPhone,iOS 14.8.1,Mobile Safari 14.1.2,414x896,800x331,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,batch2_REM,11,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2711.9999999999927,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Security / Defence - more secure as part of a block,1,5/4/22,5/4/22,R_2TGiUxLHyY7kCmA,YES,Remain (Against Brexit),Confident,NA,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Rarely,Rarely,37,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,12,2,Remain,Remain
9,1652089663528,09/05/2022 09:47:43,1652089663475,1,09/05/2022 10:47:43,87571,5,task-t3d4,NA,21754913,6431588,NA,complete,NA,6278e2f134a2770e510f683b,mobile,Apple iPhone,iOS 14.8.1,Mobile Safari 14.1.2,414x896,800x331,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,batch2_REM,10,7,1,Screen 1,continueButton,response_rating_scale_likert_active,1845,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Economic reasons - stronger economically,1,5/4/22,5/4/22,R_2TGiUxLHyY7kCmA,YES,Remain (Against Brexit),Confident,NA,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Rarely,Rarely,37,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,12,1,Remain,Remain
10,1652089665517,09/05/2022 09:47:45,1652089665433,1,09/05/2022 10:47:45,87571,5,task-t3d4,NA,21754913,6431588,NA,complete,NA,6278e2f134a2770e510f683b,mobile,Apple iPhone,iOS 14.8.1,Mobile Safari 14.1.2,414x896,800x331,NA,ITT Ratings,4,Remain,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,batch2_REM,49,8,1,Screen 1,continueButton,response_rating_scale_likert_active,1931,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Independence for the country,1,5/4/22,5/4/22,R_3iziUhb2rETabdC,YES,Remain (Against Brexit),Undecided,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Strongly Disagree,Strongly Disagree,Never,Never,39,Female,NA,"Undergraduate degree (BSc, BA)",NA,18,1,Remain,Leave
