Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1652090000000,09/05/2022 09:49,1652090000000,1,09/05/2022 10:49,87571,5,task-x1lq,NA,21755019,6431618,NA,complete,NA,6278e37ded69d8aed051f1f9,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1280x609,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1652090000000,09/05/2022 09:49,1652090000000,1,09/05/2022 10:49,87571,5,task-x1lq,NA,21755019,6431618,NA,complete,NA,6278e37ded69d8aed051f1f9,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1280x609,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,batch1_REM,1,1,1,Screen 1,advancementZone,continue_button,3348.4,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1652090000000,09/05/2022 09:49,1652090000000,1,09/05/2022 10:49,87571,5,task-x1lq,NA,21755019,6431618,NA,complete,NA,6278e37ded69d8aed051f1f9,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1280x609,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,batch1_REM,31,1,1,Screen 1,continueButton,response_rating_scale_likert_active,3788.8,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The NHS would get more funding,1,05/04/2022,05/04/2022,R_126dmhcRNmzGJx8,YES,Remain (Against Brexit),Very confident,NA,Neither Agree nor Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Rarely,Most months,43,Female,NA,"Undergraduate degree (BSc, BA)",NA,5,1,Remain,Leave
4,1652090000000,09/05/2022 09:49,1652090000000,1,09/05/2022 10:49,87571,5,task-x1lq,NA,21755019,6431618,NA,complete,NA,6278e37ded69d8aed051f1f9,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1280x609,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,batch1_REM,27,2,1,Screen 1,continueButton,response_rating_scale_likert_active,2396.5,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Think of all the money saved in benefits given to europeans,1,05/04/2022,05/04/2022,R_1ih3syVtJQ7SHSR,YES,Remain (Against Brexit),Somewhat Confident,NA,Strongly Disagree,NA,NA,NA,Agree,Agree,Strongly Agree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Agree,Once or twice a year,A few times a year,NA,Female,NA,"Undergraduate degree (BSc, BA)",NA,4,3,Remain,Leave
5,1652090000000,09/05/2022 09:49,1652090000000,1,09/05/2022 10:49,87571,5,task-x1lq,NA,21755019,6431618,NA,complete,NA,6278e37ded69d8aed051f1f9,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1280x609,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,batch1_REM,29,3,1,Screen 1,continueButton,response_rating_scale_likert_active,3178.5,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I was made to think immigrants are evil and we would 'shut our borders',1,05/04/2022,05/04/2022,R_126dmhcRNmzGJx8,YES,Remain (Against Brexit),Very confident,NA,Neither Agree nor Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Rarely,Most months,43,Female,NA,"Undergraduate degree (BSc, BA)",NA,5,2,Remain,Remain
6,1652090000000,09/05/2022 09:49,1652090000000,1,09/05/2022 10:49,87571,5,task-x1lq,NA,21755019,6431618,NA,complete,NA,6278e37ded69d8aed051f1f9,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1280x609,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,batch1_REM,13,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2081.7,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Immigration- blaming EU for higher levels,1,05/04/2022,05/04/2022,R_2WZFhtYrYb5Ccig,YES,Remain (Against Brexit),Somewhat Confident,NA,Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Rarely,Once or twice a year,32,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,2,1,Remain,Leave
7,1652090000000,09/05/2022 09:49,1652090000000,1,09/05/2022 10:49,87571,5,task-x1lq,NA,21755019,6431618,NA,complete,NA,6278e37ded69d8aed051f1f9,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1280x609,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,batch1_REM,26,5,1,Screen 1,continueButton,response_rating_scale_likert_active,2473.4,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We were fine back then we'll survive again,1,05/04/2022,05/04/2022,R_1ih3syVtJQ7SHSR,YES,Remain (Against Brexit),Somewhat Confident,NA,Strongly Disagree,NA,NA,NA,Agree,Agree,Strongly Agree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Agree,Once or twice a year,A few times a year,NA,Female,NA,"Undergraduate degree (BSc, BA)",NA,4,2,Remain,Leave
8,1652090000000,09/05/2022 09:49,1652090000000,1,09/05/2022 10:49,87571,5,task-x1lq,NA,21755019,6431618,NA,complete,NA,6278e37ded69d8aed051f1f9,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1280x609,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,batch1_REM,52,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2129.7,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It will keep imports affordable.,1,05/04/2022,05/04/2022,R_qK4XIBXNRw5svAd,YES,Remain (Against Brexit),Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,Rarely,38,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,9,1,Remain,Remain
9,1652090000000,09/05/2022 09:49,1652090000000,1,09/05/2022 10:49,87571,5,task-x1lq,NA,21755019,6431618,NA,complete,NA,6278e37ded69d8aed051f1f9,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1280x609,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,batch1_REM,57,7,1,Screen 1,continueButton,response_rating_scale_likert_active,2715.1,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It is expensive to belong to the EU.,1,05/04/2022,05/04/2022,R_qK4XIBXNRw5svAd,YES,Remain (Against Brexit),Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,Rarely,38,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,9,3,Remain,Leave
10,1652090000000,09/05/2022 09:49,1652090000000,1,09/05/2022 10:49,87571,5,task-x1lq,NA,21755019,6431618,NA,complete,NA,6278e37ded69d8aed051f1f9,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1280x609,NA,ITT Ratings,4,Remain,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,batch1_REM,15,8,1,Screen 1,continueButton,response_rating_scale_likert_active,2835.6,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Cost of items. Believe it will be lower.,1,05/04/2022,05/04/2022,R_2WZFhtYrYb5Ccig,YES,Remain (Against Brexit),Somewhat Confident,NA,Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Rarely,Once or twice a year,32,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,2,3,Remain,Leave
