Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651853740398,06/05/2022 16:15:40,1651853739209,1,06/05/2022 17:15:39,87571,2,task-39lm,NA,21719439,6421461,NA,complete,NA,62754980ab008b2f983fad45,mobile,Huawei POT-L01,Android 10,Android Browser 4.0,780x360,714x288,NA,ITT Ratings,3,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651853742610,06/05/2022 16:15:42,1651853741477,1,06/05/2022 17:15:41,87571,2,task-39lm,NA,21719439,6421461,NA,complete,NA,62754980ab008b2f983fad45,mobile,Huawei POT-L01,Android 10,Android Browser 4.0,780x360,714x288,NA,ITT Ratings,3,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,batch5_REM,1,1,1,Screen 1,advancementZone,continue_button,2091,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651853762670,06/05/2022 16:16:02,1651853761549,1,06/05/2022 17:16:01,87571,2,task-39lm,NA,21719439,6421461,NA,complete,NA,62754980ab008b2f983fad45,mobile,Huawei POT-L01,Android 10,Android Browser 4.0,780x360,714x288,NA,ITT Ratings,3,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,batch5_REM,10,1,1,Screen 1,continueButton,response_rating_scale_likert_active,20010,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I had personal reasons,1,5/4/22,5/4/22,R_1cY2f8b495jEyst,YES,Remain (Against Brexit),Undecided,NA,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Never,Never,35,Female,NA,"Undergraduate degree (BSc, BA)",NA,42,1,Remain,Remain
4,1651853768783,06/05/2022 16:16:08,1651853767653,1,06/05/2022 17:16:07,87571,2,task-39lm,NA,21719439,6421461,NA,complete,NA,62754980ab008b2f983fad45,mobile,Huawei POT-L01,Android 10,Android Browser 4.0,780x360,714x288,NA,ITT Ratings,3,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,batch5_REM,38,2,1,Screen 1,continueButton,response_rating_scale_likert_active,6021.099999904633,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,to remove EU input from our legal system,1,5/4/22,5/4/22,R_2cnrY5mNhD3MwkK,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Agree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Once or twice a year,A few times a year,27,Other,genderqueer,"Postgraduate degree (MSc, MA, MPhil)","after what has happened in the last few years, people who voted leave don't mention Brexit or the referendum at all. I suspect that nowadays some will even lie about how they voted. It's very frustrating.",46,2,Remain,Leave
5,1651853772928,06/05/2022 16:16:12,1651853771792,1,06/05/2022 17:16:11,87571,2,task-39lm,NA,21719439,6421461,NA,complete,NA,62754980ab008b2f983fad45,mobile,Huawei POT-L01,Android 10,Android Browser 4.0,780x360,714x288,NA,ITT Ratings,3,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,batch5_REM,29,3,1,Screen 1,continueButton,response_rating_scale_likert_active,4060.800000190735,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I like the EU and want to continue being in it,1,5/4/22,5/4/22,R_1etaBZleKRYNeVh,YES,Remain (Against Brexit),Confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Rarely,Rarely,28,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,45,2,Remain,Remain
6,1651853775222,06/05/2022 16:16:15,1651853774103,1,06/05/2022 17:16:14,87571,2,task-39lm,NA,21719439,6421461,NA,complete,NA,62754980ab008b2f983fad45,mobile,Huawei POT-L01,Android 10,Android Browser 4.0,780x360,714x288,NA,ITT Ratings,3,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,batch5_REM,49,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2222.199999809265,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To regain our pride and sovereignty.,1,5/4/22,5/4/22,R_2YxoWL19PyHfcHi,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Once or twice a year,Once or twice a year,63,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",None - thank you.,48,1,Remain,Leave
7,1651853778803,06/05/2022 16:16:18,1651853777690,1,06/05/2022 17:16:17,87571,2,task-39lm,NA,21719439,6421461,NA,complete,NA,62754980ab008b2f983fad45,mobile,Huawei POT-L01,Android 10,Android Browser 4.0,780x360,714x288,NA,ITT Ratings,3,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,batch5_REM,32,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3497.3999996185303,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I did not like the EU and wanted to restore the UK to its previous power,1,5/4/22,5/4/22,R_1etaBZleKRYNeVh,YES,Remain (Against Brexit),Confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Rarely,Rarely,28,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,45,2,Remain,Leave
8,1651853782763,06/05/2022 16:16:22,1651853781635,1,06/05/2022 17:16:21,87571,2,task-39lm,NA,21719439,6421461,NA,complete,NA,62754980ab008b2f983fad45,mobile,Huawei POT-L01,Android 10,Android Browser 4.0,780x360,714x288,NA,ITT Ratings,3,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,batch5_REM,48,6,1,Screen 1,continueButton,response_rating_scale_likert_active,3876.400000095367,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"Ease of trade, travel, migration for work and education.",1,5/4/22,5/4/22,R_2YxoWL19PyHfcHi,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Once or twice a year,Once or twice a year,63,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",None - thank you.,48,3,Remain,Remain
9,1651853787746,06/05/2022 16:16:27,1651853786636,1,06/05/2022 17:16:26,87571,2,task-39lm,NA,21719439,6421461,NA,complete,NA,62754980ab008b2f983fad45,mobile,Huawei POT-L01,Android 10,Android Browser 4.0,780x360,714x288,NA,ITT Ratings,3,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,batch5_REM,43,7,1,Screen 1,continueButton,response_rating_scale_likert_active,4886.700000286102,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It will be better for our economy. We can run our own businesses etc.,1,5/4/22,5/4/22,R_5nkz1BlowolfJol,YES,Remain (Against Brexit),Undecided,NA,Disagree,NA,NA,NA,Strongly Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Rarely,A few times a year,21,Female,NA,"Undergraduate degree (BSc, BA)",NA,47,1,Remain,Leave
10,1651853793769,06/05/2022 16:16:33,1651853792654,1,06/05/2022 17:16:32,87571,2,task-39lm,NA,21719439,6421461,NA,complete,NA,62754980ab008b2f983fad45,mobile,Huawei POT-L01,Android 10,Android Browser 4.0,780x360,714x288,NA,ITT Ratings,3,Leave,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,batch5_REM,batch5_REM,34,8,1,Screen 1,continueButton,response_rating_scale_likert_active,5947.799999713898,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,to keep our status as EU citizens allowing freedom of movement,1,5/4/22,5/4/22,R_2cnrY5mNhD3MwkK,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Agree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Once or twice a year,A few times a year,27,Other,genderqueer,"Postgraduate degree (MSc, MA, MPhil)","after what has happened in the last few years, people who voted leave don't mention Brexit or the referendum at all. I suspect that nowadays some will even lie about how they voted. It's very frustrating.",46,1,Remain,Remain
