Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651854064265,06/05/2022 16:21:04,1651854064911,1,06/05/2022 17:21:04,87571,2,task-7ecc,NA,21719634,6421509,NA,complete,NA,62754aafd99a0c6f7b8a3e8b,computer,Desktop or Laptop,Windows 10,Firefox 99.0,1525x858,1525x687,NA,ITT Ratings,3,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651854069593,06/05/2022 16:21:09,1651854070259,1,06/05/2022 17:21:10,87571,2,task-7ecc,NA,21719634,6421509,NA,complete,NA,62754aafd99a0c6f7b8a3e8b,computer,Desktop or Laptop,Windows 10,Firefox 99.0,1525x858,1525x687,NA,ITT Ratings,3,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,batch7_REM,1,1,1,Screen 1,advancementZone,continue_button,5204,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651854075767,06/05/2022 16:21:15,1651854076436,1,06/05/2022 17:21:16,87571,2,task-7ecc,NA,21719634,6421509,NA,complete,NA,62754aafd99a0c6f7b8a3e8b,computer,Desktop or Laptop,Windows 10,Firefox 99.0,1525x858,1525x687,NA,ITT Ratings,3,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,batch7_REM,50,1,1,Screen 1,continueButton,response_rating_scale_likert_active,6149,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,law changes can't be easily made,1,5/4/22,5/4/22,R_3NUodxsQqoRZIih,YES,Remain (Against Brexit),Somewhat Confident,NA,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Rarely,Rarely,25,Female,NA,"Undergraduate degree (BSc, BA)",NA,68,2,Remain,Leave
4,1651854078212,06/05/2022 16:21:18,1651854078898,1,06/05/2022 17:21:18,87571,2,task-7ecc,NA,21719634,6421509,NA,complete,NA,62754aafd99a0c6f7b8a3e8b,computer,Desktop or Laptop,Windows 10,Firefox 99.0,1525x858,1525x687,NA,ITT Ratings,3,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,batch7_REM,44,2,1,Screen 1,continueButton,response_rating_scale_likert_active,2421,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Too much immigration through free movement,1,5/4/22,5/4/22,R_8wujUu7Z5DFFqwx,YES,Remain (Against Brexit),Very confident,NA,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once or twice a year,Most months,57,Female,NA,"Undergraduate degree (BSc, BA)",NA,67,2,Remain,Leave
5,1651854081964,06/05/2022 16:21:21,1651854082644,1,06/05/2022 17:21:22,87571,2,task-7ecc,NA,21719634,6421509,NA,complete,NA,62754aafd99a0c6f7b8a3e8b,computer,Desktop or Laptop,Windows 10,Firefox 99.0,1525x858,1525x687,NA,ITT Ratings,3,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,batch7_REM,34,3,1,Screen 1,continueButton,response_rating_scale_likert_active,3718,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Freedom of movement within the EU,1,5/4/22,5/4/22,R_1gb9bkjgobMzZDf,YES,Remain (Against Brexit),Somewhat Confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,Never,A few times a year,41,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",Thank you for the opportunity.,66,1,Remain,Remain
6,1651854085105,06/05/2022 16:21:25,1651854085792,1,06/05/2022 17:21:25,87571,2,task-7ecc,NA,21719634,6421509,NA,complete,NA,62754aafd99a0c6f7b8a3e8b,computer,Desktop or Laptop,Windows 10,Firefox 99.0,1525x858,1525x687,NA,ITT Ratings,3,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,batch7_REM,53,4,1,Screen 1,continueButton,response_rating_scale_likert_active,3124,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Keep our trading relationships.,1,5/4/22,5/4/22,R_2bOEsesMKDbKzBM,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Rarely,Most months,26,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,69,2,Remain,Remain
7,1651854087062,06/05/2022 16:21:27,1651854087749,1,06/05/2022 17:21:27,87571,2,task-7ecc,NA,21719634,6421509,NA,complete,NA,62754aafd99a0c6f7b8a3e8b,computer,Desktop or Laptop,Windows 10,Firefox 99.0,1525x858,1525x687,NA,ITT Ratings,3,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,batch7_REM,43,5,1,Screen 1,continueButton,response_rating_scale_likert_active,1932,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Too much interference in UK laws,1,5/4/22,5/4/22,R_8wujUu7Z5DFFqwx,YES,Remain (Against Brexit),Very confident,NA,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once or twice a year,Most months,57,Female,NA,"Undergraduate degree (BSc, BA)",NA,67,1,Remain,Leave
8,1651854092105,06/05/2022 16:21:32,1651854092801,1,06/05/2022 17:21:32,87571,2,task-7ecc,NA,21719634,6421509,NA,complete,NA,62754aafd99a0c6f7b8a3e8b,computer,Desktop or Laptop,Windows 10,Firefox 99.0,1525x858,1525x687,NA,ITT Ratings,3,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,batch7_REM,45,6,1,Screen 1,continueButton,response_rating_scale_likert_active,5033,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Spend money going to EU in the UK,1,5/4/22,5/4/22,R_8wujUu7Z5DFFqwx,YES,Remain (Against Brexit),Very confident,NA,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once or twice a year,Most months,57,Female,NA,"Undergraduate degree (BSc, BA)",NA,67,3,Remain,Leave
9,1651854094808,06/05/2022 16:21:34,1651854095469,1,06/05/2022 17:21:35,87571,2,task-7ecc,NA,21719634,6421509,NA,complete,NA,62754aafd99a0c6f7b8a3e8b,computer,Desktop or Laptop,Windows 10,Firefox 99.0,1525x858,1525x687,NA,ITT Ratings,3,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,batch7_REM,12,7,1,Screen 1,continueButton,response_rating_scale_likert_active,2648,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Solving trade restrictions for food and other perishable.,1,5/4/22,5/4/22,R_2ZCukTyfnX83O3P,YES,Remain (Against Brexit),Very confident,NA,Strongly Disagree,NA,NA,NA,Somewhat Agree,Strongly Agree,Agree,NA,NA,NA,Somewhat Agree,Agree,Neither Agree nor Disagree,Once or twice a year,Most weeks,30,Male,NA,"Undergraduate degree (BSc, BA)",NA,62,3,Remain,Remain
10,1651854096905,06/05/2022 16:21:36,1651854097579,1,06/05/2022 17:21:37,87571,2,task-7ecc,NA,21719634,6421509,NA,complete,NA,62754aafd99a0c6f7b8a3e8b,computer,Desktop or Laptop,Windows 10,Firefox 99.0,1525x858,1525x687,NA,ITT Ratings,3,Leave,7,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,batch7_REM,batch7_REM,27,8,1,Screen 1,continueButton,response_rating_scale_likert_active,2084,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Don't want immigrants taking jobs,1,5/4/22,5/4/22,R_UyI2IKY3tWX1Lzj,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Rarely,Rarely,39,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,64,3,Remain,Leave
