Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651858847047,06/05/2022 17:40:47,1651858846902,1,06/05/2022 18:40:46,87571,2,task-au9x,NA,21721827,6422180,NA,complete,NA,62755d85c7b4846a2657d3c3,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x609,NA,ITT Ratings,3,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651858852065,06/05/2022 17:40:52,1651858851917,1,06/05/2022 18:40:51,87571,2,task-au9x,NA,21721827,6422180,NA,complete,NA,62755d85c7b4846a2657d3c3,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x609,NA,ITT Ratings,3,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,batch9_REM,1,1,1,Screen 1,advancementZone,continue_button,4952.5,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651858857794,06/05/2022 17:40:57,1651858857655,1,06/05/2022 18:40:57,87571,2,task-au9x,NA,21721827,6422180,NA,complete,NA,62755d85c7b4846a2657d3c3,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x609,NA,ITT Ratings,3,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,batch9_REM,52,1,1,Screen 1,continueButton,response_rating_scale_likert_active,5703.700000047684,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The UK benefits far more being in the EU than not,1,5/4/22,5/4/22,R_1GuWMYtd9SY3Pl0,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Agree,Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Agree,Rarely,Most days,41,Male,NA,A levels,NA,89,1,Remain,Remain
4,1651858861483,06/05/2022 17:41:01,1651858861338,1,06/05/2022 18:41:01,87571,2,task-au9x,NA,21721827,6422180,NA,complete,NA,62755d85c7b4846a2657d3c3,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x609,NA,ITT Ratings,3,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,batch9_REM,58,2,1,Screen 1,continueButton,response_rating_scale_likert_active,3661.700000047684,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Freedom of movement between EU countries,1,5/4/22,5/4/22,R_qWO1bD9HwUkNUCB,YES,Remain (Against Brexit),Very confident,NA,Strongly Disagree,NA,NA,NA,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Most months,Most months,40,Non-binary,NA,Doctorate (PhD),NA,90,1,Remain,Remain
5,1651858865912,06/05/2022 17:41:05,1651858865781,1,06/05/2022 18:41:05,87571,2,task-au9x,NA,21721827,6422180,NA,complete,NA,62755d85c7b4846a2657d3c3,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x609,NA,ITT Ratings,3,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,batch9_REM,55,3,1,Screen 1,continueButton,response_rating_scale_likert_active,4414.900000095367,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"I'm not racist but it keeps all those immigrants out, coming over here. It's my land. Take back control.",1,5/4/22,5/4/22,R_1GuWMYtd9SY3Pl0,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Agree,Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Agree,Rarely,Most days,41,Male,NA,A levels,NA,89,1,Remain,Leave
6,1651858869197,06/05/2022 17:41:09,1651858869066,1,06/05/2022 18:41:09,87571,2,task-au9x,NA,21721827,6422180,NA,complete,NA,62755d85c7b4846a2657d3c3,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x609,NA,ITT Ratings,3,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,batch9_REM,11,4,1,Screen 1,continueButton,response_rating_scale_likert_active,3263.8000000715256,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We will make trade and travel harder if we leave.,1,5/4/22,5/4/22,R_2urNYsMXwGOE6Mc,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Disagree,Neither Agree nor Disagree,Disagree,Rarely,Once or twice a year,41,Female,NA,A levels,NA,82,2,Remain,Remain
7,1651858872013,06/05/2022 17:41:12,1651858871880,1,06/05/2022 18:41:11,87571,2,task-au9x,NA,21721827,6422180,NA,complete,NA,62755d85c7b4846a2657d3c3,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x609,NA,ITT Ratings,3,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,batch9_REM,17,5,1,Screen 1,continueButton,response_rating_scale_likert_active,2796,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Can't make our own laws,1,5/4/22,5/4/22,R_1DFQwmCdxGByOvk,YES,Remain (Against Brexit),Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Never,Never,32,Male,NA,"Undergraduate degree (BSc, BA)",NA,83,2,Remain,Remain
8,1651858874215,06/05/2022 17:41:14,1651858874087,1,06/05/2022 18:41:14,87571,2,task-au9x,NA,21721827,6422180,NA,complete,NA,62755d85c7b4846a2657d3c3,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x609,NA,ITT Ratings,3,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,batch9_REM,12,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2182.400000095367,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We need immigration!,1,5/4/22,5/4/22,R_2urNYsMXwGOE6Mc,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Disagree,Neither Agree nor Disagree,Disagree,Rarely,Once or twice a year,41,Female,NA,A levels,NA,82,3,Remain,Remain
9,1651858875785,06/05/2022 17:41:15,1651858875611,1,06/05/2022 18:41:15,87571,2,task-au9x,NA,21721827,6422180,NA,complete,NA,62755d85c7b4846a2657d3c3,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x609,NA,ITT Ratings,3,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,batch9_REM,29,7,1,Screen 1,continueButton,response_rating_scale_likert_active,1501.7000000476835,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,free movement of people,1,5/4/22,5/4/22,R_2rC95kB4JfmT9CG,YES,Remain (Against Brexit),Confident,NA,Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,A few times a year,A few times a year,65,Female,NA,"Undergraduate degree (BSc, BA)",NA,85,2,Remain,Remain
10,1651858879567,06/05/2022 17:41:19,1651858879442,1,06/05/2022 18:41:19,87571,2,task-au9x,NA,21721827,6422180,NA,complete,NA,62755d85c7b4846a2657d3c3,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1280x720,1280x609,NA,ITT Ratings,3,Leave,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,batch9_REM,batch9_REM,53,8,1,Screen 1,continueButton,response_rating_scale_likert_active,3811.099999904633,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The people in positions of power who pushed for Brexit only did it for their own (probably financial) benefit.,1,5/4/22,5/4/22,R_1GuWMYtd9SY3Pl0,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Agree,Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Agree,Rarely,Most days,41,Male,NA,A levels,NA,89,2,Remain,Remain
