Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651854270242,06/05/2022 16:24:30,1651854270299,1,06/05/2022 17:24:30,87571,2,task-iytf,NA,21719749,6421555,NA,complete,NA,62754ba331c2fcc90d1e9b01,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1024x768,1024x625,NA,ITT Ratings,3,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_REM,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651854275679,06/05/2022 16:24:35,1651854275779,1,06/05/2022 17:24:35,87571,2,task-iytf,NA,21719749,6421555,NA,complete,NA,62754ba331c2fcc90d1e9b01,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1024x768,1024x625,NA,ITT Ratings,3,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_REM,batch6_REM,1,1,1,Screen 1,advancementZone,continue_button,5408.5,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651854283213,06/05/2022 16:24:43,1651854283338,1,06/05/2022 17:24:43,87571,2,task-iytf,NA,21719749,6421555,NA,complete,NA,62754ba331c2fcc90d1e9b01,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1024x768,1024x625,NA,ITT Ratings,3,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_REM,batch6_REM,45,1,1,Screen 1,continueButton,response_rating_scale_likert_active,7534.300000000745,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,More control on our own imports and exports,1,5/4/22,5/4/22,R_1HeCLXnsP7i12Oa,YES,Remain (Against Brexit),Confident,NA,Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Disagree,Rarely,Rarely,27,Male,NA,"Undergraduate degree (BSc, BA)",Many thanks!,57,3,Remain,Leave
4,1651854285900,06/05/2022 16:24:45,1651854286008,1,06/05/2022 17:24:46,87571,2,task-iytf,NA,21719749,6421555,NA,complete,NA,62754ba331c2fcc90d1e9b01,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1024x768,1024x625,NA,ITT Ratings,3,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_REM,batch6_REM,49,2,1,Screen 1,continueButton,response_rating_scale_likert_active,2648.199999999255,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Stop Immigration / free movement of people into the UK,1,5/4/22,5/4/22,R_2TQQO0UfvmNmVIS,YES,Remain (Against Brexit),Confident,NA,Strongly Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Most days,52,Male,NA,"Undergraduate degree (BSc, BA)",NA,58,1,Remain,Leave
5,1651854295897,06/05/2022 16:24:55,1651854296024,1,06/05/2022 17:24:56,87571,2,task-iytf,NA,21719749,6421555,NA,complete,NA,62754ba331c2fcc90d1e9b01,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1024x768,1024x625,NA,ITT Ratings,3,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_REM,batch6_REM,2,3,1,Screen 1,continueButton,response_rating_scale_likert_active,9999.39999999851,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Agree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check1,NA,NA
6,1651854298554,06/05/2022 16:24:58,1651854298672,1,06/05/2022 17:24:58,87571,2,task-iytf,NA,21719749,6421555,NA,complete,NA,62754ba331c2fcc90d1e9b01,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1024x768,1024x625,NA,ITT Ratings,3,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_REM,batch6_REM,32,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2632.699999999255,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We can take control of our laws without EU influence,1,5/4/22,5/4/22,R_cuOs1Iv3ZLHc5tD,YES,Remain (Against Brexit),Very confident,NA,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Most weeks,50,Female,NA,Vocational Training / Apprenticeship,NA,55,2,Remain,Leave
7,1651854304607,06/05/2022 16:25:04,1651854304727,1,06/05/2022 17:25:04,87571,2,task-iytf,NA,21719749,6421555,NA,complete,NA,62754ba331c2fcc90d1e9b01,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1024x768,1024x625,NA,ITT Ratings,3,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_REM,batch6_REM,28,5,1,Screen 1,continueButton,response_rating_scale_likert_active,6038.20000000298,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Trade - EU was The UK's biggest trading partner.,1,5/4/22,5/4/22,R_cuOs1Iv3ZLHc5tD,YES,Remain (Against Brexit),Very confident,NA,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Most weeks,50,Female,NA,Vocational Training / Apprenticeship,NA,55,1,Remain,Remain
8,1651854308959,06/05/2022 16:25:08,1651854309088,1,06/05/2022 17:25:09,87571,2,task-iytf,NA,21719749,6421555,NA,complete,NA,62754ba331c2fcc90d1e9b01,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1024x768,1024x625,NA,ITT Ratings,3,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_REM,batch6_REM,27,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4340.89999999851,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Fishing quotas were a big issue but represented a tiny part of GDP,1,5/4/22,5/4/22,R_QoErwE200T1CkJX,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Most weeks,29,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,54,3,Remain,Leave
9,1651854312732,06/05/2022 16:25:12,1651854312863,1,06/05/2022 17:25:12,87571,2,task-iytf,NA,21719749,6421555,NA,complete,NA,62754ba331c2fcc90d1e9b01,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1024x768,1024x625,NA,ITT Ratings,3,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_REM,batch6_REM,44,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3760.5,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Less immigration from other EU members,1,5/4/22,5/4/22,R_1HeCLXnsP7i12Oa,YES,Remain (Against Brexit),Confident,NA,Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Disagree,Rarely,Rarely,27,Male,NA,"Undergraduate degree (BSc, BA)",Many thanks!,57,2,Remain,Leave
10,1651854317730,06/05/2022 16:25:17,1651854317838,1,06/05/2022 17:25:17,87571,2,task-iytf,NA,21719749,6421555,NA,complete,NA,62754ba331c2fcc90d1e9b01,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1024x768,1024x625,NA,ITT Ratings,3,Leave,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,batch6_REM,batch6_REM,24,8,1,Screen 1,continueButton,response_rating_scale_likert_active,4956.10000000149,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We were part of the common market - made things easy to buy and sell and services too,1,5/4/22,5/4/22,R_QoErwE200T1CkJX,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Most weeks,29,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,54,3,Remain,Remain
