Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651853725659,06/05/2022 16:15:25,1651853725555,1,06/05/2022 17:15:25,87571,2,task-l3ey,NA,21719437,6421456,NA,complete,NA,6275495b1e93b165b3849c06,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1920x1080,1920x927,NA,ITT Ratings,3,Leave,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651853730918,06/05/2022 16:15:30,1651853730838,1,06/05/2022 17:15:30,87571,2,task-l3ey,NA,21719437,6421456,NA,complete,NA,6275495b1e93b165b3849c06,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1920x1080,1920x927,NA,ITT Ratings,3,Leave,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,batch10_REM,1,1,1,Screen 1,advancementZone,continue_button,5225,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651853735573,06/05/2022 16:15:35,1651853735498,1,06/05/2022 17:15:35,87571,2,task-l3ey,NA,21719437,6421456,NA,complete,NA,6275495b1e93b165b3849c06,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1920x1080,1920x927,NA,ITT Ratings,3,Leave,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,batch10_REM,46,1,1,Screen 1,continueButton,response_rating_scale_likert_active,4638,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Our economic situation would get worse if we left the EU,1,5/4/22,5/4/22,R_DkFtm34BTsS10dP,YES,Remain (Against Brexit),Confident,NA,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,A few times a year,Once or twice a year,25,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,98,1,Remain,Remain
4,1651853740593,06/05/2022 16:15:40,1651853740536,1,06/05/2022 17:15:40,87571,2,task-l3ey,NA,21719437,6421456,NA,complete,NA,6275495b1e93b165b3849c06,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1920x1080,1920x927,NA,ITT Ratings,3,Leave,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,batch10_REM,33,2,1,Screen 1,continueButton,response_rating_scale_likert_active,5022,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,More money sent directly back into the nhs rather than to the eu,1,5/4/22,5/4/22,R_1FzudSUEz3wVbYB,YES,Remain (Against Brexit),Somewhat Confident,NA,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Never,Once or twice a year,39,Female,NA,"Undergraduate degree (BSc, BA)",NA,95,3,Remain,Leave
5,1651853750935,06/05/2022 16:15:50,1651853750877,1,06/05/2022 17:15:50,87571,2,task-l3ey,NA,21719437,6421456,NA,complete,NA,6275495b1e93b165b3849c06,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1920x1080,1920x927,NA,ITT Ratings,3,Leave,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,batch10_REM,19,3,1,Screen 1,continueButton,response_rating_scale_likert_active,10326,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Sovereignty. Certain media and politicians have been telling us all for years that Brussels is trying to lord it over us and deprive us of our sovereignty.,1,5/4/22,5/4/22,R_3PBMe3j9V4zzDzA,YES,Remain (Against Brexit),Very confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Rarely,A few times a year,58,Female,NA,"Undergraduate degree (BSc, BA)",No specific feedback except that I wish we hadn't left but I also wish the dialogue between the two sides was less bitter.,93,1,Remain,Leave
6,1651853754850,06/05/2022 16:15:54,1651853754763,1,06/05/2022 17:15:54,87571,2,task-l3ey,NA,21719437,6421456,NA,complete,NA,6275495b1e93b165b3849c06,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1920x1080,1920x927,NA,ITT Ratings,3,Leave,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,batch10_REM,14,4,1,Screen 1,continueButton,response_rating_scale_likert_active,3873,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Â£300 mil that we spend on the EU each week will go to the NHS instead.,1,5/4/22,5/4/22,R_28CdLh75b5SHpU6,YES,Remain (Against Brexit),Very confident,NA,Strongly Disagree,NA,NA,NA,Agree,Somewhat Agree,Agree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Rarely,A few times a year,29,Female,NA,A levels,NA,92,2,Remain,Leave
7,1651853763890,06/05/2022 16:16:03,1651853763838,1,06/05/2022 17:16:03,87571,2,task-l3ey,NA,21719437,6421456,NA,complete,NA,6275495b1e93b165b3849c06,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1920x1080,1920x927,NA,ITT Ratings,3,Leave,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,batch10_REM,38,5,1,Screen 1,continueButton,response_rating_scale_likert_active,9063,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I fear the effects of immigration (or immigrants themselves) and think leaving the EU will slow or prevent immigration.,1,5/4/22,5/4/22,R_32VBarFINVzl5jr,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once or twice a year,A few times a year,31,Female,NA,"Undergraduate degree (BSc, BA)",NA,96,2,Remain,Leave
8,1651853766651,06/05/2022 16:16:06,1651853766580,1,06/05/2022 17:16:06,87571,2,task-l3ey,NA,21719437,6421456,NA,complete,NA,6275495b1e93b165b3849c06,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1920x1080,1920x927,NA,ITT Ratings,3,Leave,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,batch10_REM,28,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2731,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,UK's borrowing would increase,1,5/4/22,5/4/22,R_1FzudSUEz3wVbYB,YES,Remain (Against Brexit),Somewhat Confident,NA,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Never,Once or twice a year,39,Female,NA,"Undergraduate degree (BSc, BA)",NA,95,1,Remain,Remain
9,1651853772723,06/05/2022 16:16:12,1651853772665,1,06/05/2022 17:16:12,87571,2,task-l3ey,NA,21719437,6421456,NA,complete,NA,6275495b1e93b165b3849c06,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1920x1080,1920x927,NA,ITT Ratings,3,Leave,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,batch10_REM,29,7,1,Screen 1,continueButton,response_rating_scale_likert_active,6071,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Trade will be affected,1,5/4/22,5/4/22,R_1FzudSUEz3wVbYB,YES,Remain (Against Brexit),Somewhat Confident,NA,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,Never,Once or twice a year,39,Female,NA,"Undergraduate degree (BSc, BA)",NA,95,2,Remain,Remain
10,1651853778349,06/05/2022 16:16:18,1651853778295,1,06/05/2022 17:16:18,87571,2,task-l3ey,NA,21719437,6421456,NA,complete,NA,6275495b1e93b165b3849c06,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1920x1080,1920x927,NA,ITT Ratings,3,Leave,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,batch10_REM,batch10_REM,12,8,1,Screen 1,continueButton,response_rating_scale_likert_active,5616,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"Trading with the EU has been to our benefit, to cut ourselves off from that is going to hurt us and our economy.",1,5/4/22,5/4/22,R_28CdLh75b5SHpU6,YES,Remain (Against Brexit),Very confident,NA,Strongly Disagree,NA,NA,NA,Agree,Somewhat Agree,Agree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Rarely,A few times a year,29,Female,NA,A levels,NA,92,3,Remain,Remain
