Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651854484456,06/05/2022 16:28:04,1651854469571,1,06/05/2022 17:27:49,87571,2,task-octl,NA,21719898,6421596,NA,complete,NA,62754c6bedb6bbfb50c34905,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1920x1080,1920x937,NA,ITT Ratings,3,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651854498158,06/05/2022 16:28:18,1651854483340,1,06/05/2022 17:28:03,87571,2,task-octl,NA,21719898,6421596,NA,complete,NA,62754c6bedb6bbfb50c34905,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1920x1080,1920x937,NA,ITT Ratings,3,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,batch4_REM,1,1,1,Screen 1,advancementZone,continue_button,13688.199999999257,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651854519606,06/05/2022 16:28:39,1651854504755,1,06/05/2022 17:28:24,87571,2,task-octl,NA,21719898,6421596,NA,complete,NA,62754c6bedb6bbfb50c34905,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1920x1080,1920x937,NA,ITT Ratings,3,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,batch4_REM,35,1,1,Screen 1,continueButton,response_rating_scale_likert_active,21393.599999999627,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Sound environmental legislation and protections that aren't influenced by our politics.,1,5/4/22,5/4/22,R_2BfdwZLF2Kx4X0r,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,Rarely,Rarely,36,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,36,2,Remain,Remain
4,1651854536648,06/05/2022 16:28:56,1651854521816,1,06/05/2022 17:28:41,87571,2,task-octl,NA,21719898,6421596,NA,complete,NA,62754c6bedb6bbfb50c34905,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1920x1080,1920x937,NA,ITT Ratings,3,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,batch4_REM,2,2,1,Screen 1,continueButton,response_rating_scale_likert_active,17037.300000000745,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Agree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check1,NA,NA
5,1651854543125,06/05/2022 16:29:03,1651854528304,1,06/05/2022 17:28:48,87571,2,task-octl,NA,21719898,6421596,NA,complete,NA,62754c6bedb6bbfb50c34905,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1920x1080,1920x937,NA,ITT Ratings,3,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,batch4_REM,9,3,1,Screen 1,continueButton,response_rating_scale_likert_active,6475.5999999996275,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Thought it would be beneficial to the economy,1,5/4/22,5/4/22,R_3DhB02rzFvv9lLq,YES,Remain (Against Brexit),Confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Agree,Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Once or twice a year,Rarely,19,Female,NA,A levels,NA,31,3,Remain,Leave
6,1651854547390,06/05/2022 16:29:07,1651854532548,1,06/05/2022 17:28:52,87571,2,task-octl,NA,21719898,6421596,NA,complete,NA,62754c6bedb6bbfb50c34905,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1920x1080,1920x937,NA,ITT Ratings,3,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,batch4_REM,8,4,1,Screen 1,continueButton,response_rating_scale_likert_active,4227.300000000745,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We were promised many things by MPs,1,5/4/22,5/4/22,R_3DhB02rzFvv9lLq,YES,Remain (Against Brexit),Confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Agree,Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Once or twice a year,Rarely,19,Female,NA,A levels,NA,31,2,Remain,Leave
7,1651854550688,06/05/2022 16:29:10,1651854535852,1,06/05/2022 17:28:55,87571,2,task-octl,NA,21719898,6421596,NA,complete,NA,62754c6bedb6bbfb50c34905,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1920x1080,1920x937,NA,ITT Ratings,3,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,batch4_REM,26,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3285.0999999996275,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Uk can negotiate better trade deals,1,5/4/22,5/4/22,R_OBtcL81arozQ5gJ,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,A few times a year,46,Female,NA,A levels,NA,34,2,Remain,Leave
8,1651854555268,06/05/2022 16:29:15,1651854540438,1,06/05/2022 17:29:00,87571,2,task-octl,NA,21719898,6421596,NA,complete,NA,62754c6bedb6bbfb50c34905,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1920x1080,1920x937,NA,ITT Ratings,3,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,batch4_REM,18,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4568,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Ability to hold other countries accountable as a bloc of strength.,1,5/4/22,5/4/22,R_3QVpGNOYJ21RAkc,YES,Remain (Against Brexit),Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Rarely,A few times a year,32,Male,NA,"Undergraduate degree (BSc, BA)",NA,33,3,Remain,Remain
9,1651854560808,06/05/2022 16:29:20,1651854545985,1,06/05/2022 17:29:05,87571,2,task-octl,NA,21719898,6421596,NA,complete,NA,62754c6bedb6bbfb50c34905,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1920x1080,1920x937,NA,ITT Ratings,3,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,batch4_REM,50,7,1,Screen 1,continueButton,response_rating_scale_likert_active,5536.799999998882,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,brussels beaurocracy and laws,1,5/4/22,5/4/22,R_1CmhAL8dxAFABLS,YES,Remain (Against Brexit),Somewhat Confident,NA,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,A few times a year,Once or twice a year,48,Female,NA,"Undergraduate degree (BSc, BA)",NA,38,2,Remain,Leave
10,1651854570423,06/05/2022 16:29:30,1651854555577,1,06/05/2022 17:29:15,87571,2,task-octl,NA,21719898,6421596,NA,complete,NA,62754c6bedb6bbfb50c34905,computer,Desktop or Laptop,Windows 10,Edge 101.0.1210.32,1920x1080,1920x937,NA,ITT Ratings,3,Leave,4,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,batch4_REM,batch4_REM,54,8,1,Screen 1,continueButton,response_rating_scale_likert_active,9581.5,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"lower import taxes, now when I order from outside EU, I pay taxes which I previously did not have to pay",1,5/4/22,5/4/22,R_2yd83Do63052ES7,YES,Remain (Against Brexit),Very confident,NA,Strongly Disagree,NA,NA,NA,Agree,Agree,Strongly Agree,NA,NA,NA,Agree,Agree,Somewhat Agree,Rarely,A few times a year,25,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,39,3,Remain,Remain
