Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651853599308,06/05/2022 16:13:19,1651853598197,1,06/05/2022 17:13:18,87571,2,task-ogmx,NA,21719380,6421444,NA,complete,NA,627548f440a91dea5e2ea2cb,mobile,Samsung SM-G960F,Android 10,Chrome 101.0.4951.41,740x360,692x280,NA,ITT Ratings,3,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651853636876,06/05/2022 16:13:56,1651853635810,1,06/05/2022 17:13:55,87571,2,task-ogmx,NA,21719380,6421444,NA,complete,NA,627548f440a91dea5e2ea2cb,mobile,Samsung SM-G960F,Android 10,Chrome 101.0.4951.41,740x360,692x280,NA,ITT Ratings,3,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,batch8__REM,47,1,1,Screen 1,continueButton,response_rating_scale_likert_active,37421.90000000596,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Determine our own rules and policies,1,5/4/22,5/4/22,R_1ODjpeXZT2x8dHs,YES,Remain (Against Brexit),Confident,NA,Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Rarely,49,Other,I don't identify with a gender. I am female,"Undergraduate degree (BSc, BA)",NA,78,2,Remain,Leave
3,1651853647484,06/05/2022 16:14:07,1651853646418,1,06/05/2022 17:14:06,87571,2,task-ogmx,NA,21719380,6421444,NA,complete,NA,627548f440a91dea5e2ea2cb,mobile,Samsung SM-G960F,Android 10,Chrome 101.0.4951.41,740x360,692x280,NA,ITT Ratings,3,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,batch8__REM,54,2,1,Screen 1,continueButton,response_rating_scale_likert_active,10553.90000000596,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,issues in the UK should be dealt with in the UK not by outsiders.,1,5/4/22,5/4/22,R_3Rz6L8l6KvNvrbT,YES,Remain (Against Brexit),Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Most months,A few times a year,NA,Female,NA,"Undergraduate degree (BSc, BA)",NA,79,3,Remain,Leave
4,1651853652895,06/05/2022 16:14:12,1651853651830,1,06/05/2022 17:14:11,87571,2,task-ogmx,NA,21719380,6421444,NA,complete,NA,627548f440a91dea5e2ea2cb,mobile,Samsung SM-G960F,Android 10,Chrome 101.0.4951.41,740x360,692x280,NA,ITT Ratings,3,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,batch8__REM,43,3,1,Screen 1,continueButton,response_rating_scale_likert_active,5328.5,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Strength of union - stronger together,1,5/4/22,5/4/22,R_1ODjpeXZT2x8dHs,YES,Remain (Against Brexit),Confident,NA,Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,Rarely,49,Other,I don't identify with a gender. I am female,"Undergraduate degree (BSc, BA)",NA,78,1,Remain,Remain
5,1651853672705,06/05/2022 16:14:32,1651853671666,1,06/05/2022 17:14:31,87571,2,task-ogmx,NA,21719380,6421444,NA,complete,NA,627548f440a91dea5e2ea2cb,mobile,Samsung SM-G960F,Android 10,Chrome 101.0.4951.41,740x360,692x280,NA,ITT Ratings,3,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,batch8__REM,33,4,1,Screen 1,continueButton,response_rating_scale_likert_active,19770.59999999404,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,free movement of people,1,5/4/22,5/4/22,R_3hxZbOmrVJWCEp1,YES,Remain (Against Brexit),Confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,Rarely,A few times a year,60,Male,NA,Doctorate (PhD),NA,76,3,Remain,Remain
6,1651853676691,06/05/2022 16:14:36,1651853675066,1,06/05/2022 17:14:35,87571,2,task-ogmx,NA,21719380,6421444,NA,complete,NA,627548f440a91dea5e2ea2cb,mobile,Samsung SM-G960F,Android 10,Chrome 101.0.4951.41,740x360,692x280,NA,ITT Ratings,3,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,batch8__REM,15,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3339.70000000298,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"The ""Great"" in Great Britain stands for large, not fabulous or fantastic and therefore we won't be Great Britain in the way you think if we leave the EU.",1,5/4/22,5/4/22,R_1dzzVp5jsORg8gm,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,Most weeks,Most months,56,Female,NA,"Undergraduate degree (BSc, BA)",NA,73,3,Remain,Remain
7,1651853678419,06/05/2022 16:14:38,1651853677370,1,06/05/2022 17:14:37,87571,2,task-ogmx,NA,21719380,6421444,NA,complete,NA,627548f440a91dea5e2ea2cb,mobile,Samsung SM-G960F,Android 10,Chrome 101.0.4951.41,740x360,692x280,NA,ITT Ratings,3,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,batch8__REM,49,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2244.6000000089407,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It'll raise prices in the UK,1,5/4/22,5/4/22,R_3Rz6L8l6KvNvrbT,YES,Remain (Against Brexit),Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Most months,A few times a year,NA,Female,NA,"Undergraduate degree (BSc, BA)",NA,79,1,Remain,Remain
8,1651853681591,06/05/2022 16:14:41,1651853680550,1,06/05/2022 17:14:40,87571,2,task-ogmx,NA,21719380,6421444,NA,complete,NA,627548f440a91dea5e2ea2cb,mobile,Samsung SM-G960F,Android 10,Chrome 101.0.4951.41,740x360,692x280,NA,ITT Ratings,3,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,batch8__REM,7,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3117.79999999702,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"Free movement between countries, including being able to work and live there.",1,5/4/22,5/4/22,R_SWeN7xPGVK3qNEt,YES,Remain (Against Brexit),Confident,NA,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,Rarely,Rarely,32,Female,NA,"Postgraduate degree (MSc, MA, MPhil)","Perhaps have a reference to time on the questions about how much you talk about it/read about it - for instance, since COVID it has not really been on my radar, whereas around the referendum it was more on my mind/part of discussions.",72,1,Remain,Remain
9,1651853685843,06/05/2022 16:14:45,1651853684804,1,06/05/2022 17:14:44,87571,2,task-ogmx,NA,21719380,6421444,NA,complete,NA,627548f440a91dea5e2ea2cb,mobile,Samsung SM-G960F,Android 10,Chrome 101.0.4951.41,740x360,692x280,NA,ITT Ratings,3,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,batch8__REM,35,8,1,Screen 1,continueButton,response_rating_scale_likert_active,4199.4000000059605,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,pay less to european union,1,5/4/22,5/4/22,R_3hxZbOmrVJWCEp1,YES,Remain (Against Brexit),Confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,Rarely,A few times a year,60,Male,NA,Doctorate (PhD),NA,76,2,Remain,Leave
10,1651853698261,06/05/2022 16:14:58,1651853697204,1,06/05/2022 17:14:57,87571,2,task-ogmx,NA,21719380,6421444,NA,complete,NA,627548f440a91dea5e2ea2cb,mobile,Samsung SM-G960F,Android 10,Chrome 101.0.4951.41,740x360,692x280,NA,ITT Ratings,3,Leave,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,batch8__REM,batch8__REM,16,9,1,Screen 1,continueButton,response_rating_scale_likert_active,12342.19999998808,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We will have Â£350million to spend on the NHS each week.,1,5/4/22,5/4/22,R_1dzzVp5jsORg8gm,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,Most weeks,Most months,56,Female,NA,"Undergraduate degree (BSc, BA)",NA,73,1,Remain,Leave
