Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651861144527,06/05/2022 18:19:04,1651861144437,1,06/05/2022 19:19:04,87571,3,task-8jq2,NA,21722499,6422405,NA,complete,NA,62756679b1a65ac67f3da1be,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1920x902,NA,ITT Ratings,3,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651861151464,06/05/2022 18:19:11,1651861151439,1,06/05/2022 19:19:11,87571,3,task-8jq2,NA,21722499,6422405,NA,complete,NA,62756679b1a65ac67f3da1be,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1920x902,NA,ITT Ratings,3,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,batch3_REM,1,1,1,Screen 1,advancementZone,continue_button,6961.899999991059,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651861156243,06/05/2022 18:19:16,1651861156190,1,06/05/2022 19:19:16,87571,3,task-8jq2,NA,21722499,6422405,NA,complete,NA,62756679b1a65ac67f3da1be,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1920x902,NA,ITT Ratings,3,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,batch3_REM,35,1,1,Screen 1,continueButton,response_rating_scale_likert_active,4730.100000008941,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,More security with Europe,1,5/4/22,5/4/22,R_Td4BlQQ7SAXKNVv,YES,Remain (Against Brexit),Very Doubtful,NA,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Never,Never,35,Female,NA,A levels,NA,26,2,Remain,Remain
4,1651861162673,06/05/2022 18:19:22,1651861162644,1,06/05/2022 19:19:22,87571,3,task-8jq2,NA,21722499,6422405,NA,complete,NA,62756679b1a65ac67f3da1be,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1920x902,NA,ITT Ratings,3,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,batch3_REM,36,2,1,Screen 1,continueButton,response_rating_scale_likert_active,6423.79999999702,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Ability to have another vote to leave later down the line,1,5/4/22,5/4/22,R_Td4BlQQ7SAXKNVv,YES,Remain (Against Brexit),Very Doubtful,NA,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Never,Never,35,Female,NA,A levels,NA,26,3,Remain,Remain
5,1651861166565,06/05/2022 18:19:26,1651861166513,1,06/05/2022 19:19:26,87571,3,task-8jq2,NA,21722499,6422405,NA,complete,NA,62756679b1a65ac67f3da1be,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1920x902,NA,ITT Ratings,3,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,batch3_REM,56,3,1,Screen 1,continueButton,response_rating_scale_likert_active,3850.400000005961,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We don't have to pay lots of money to Europe,1,5/4/22,5/4/22,R_XtBrye5FUEVn9Jf,YES,Remain (Against Brexit),Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,A few times a year,26,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,29,2,Remain,Leave
6,1651861167948,06/05/2022 18:19:27,1651861167895,1,06/05/2022 19:19:27,87571,3,task-8jq2,NA,21722499,6422405,NA,complete,NA,62756679b1a65ac67f3da1be,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1920x902,NA,ITT Ratings,3,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,batch3_REM,39,4,1,Screen 1,continueButton,response_rating_scale_likert_active,1369.0999999940395,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Make our own decisions as a country,1,5/4/22,5/4/22,R_Td4BlQQ7SAXKNVv,YES,Remain (Against Brexit),Very Doubtful,NA,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Never,Never,35,Female,NA,A levels,NA,26,3,Remain,Leave
7,1651861169643,06/05/2022 18:19:29,1651861169611,1,06/05/2022 19:19:29,87571,3,task-8jq2,NA,21722499,6422405,NA,complete,NA,62756679b1a65ac67f3da1be,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1920x902,NA,ITT Ratings,3,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,batch3_REM,62,5,1,Screen 1,continueButton,response_rating_scale_likert_active,1704.0999999940395,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,The ability for us to choose our own policies.,1,5/4/22,5/4/22,R_p62SjLtAhpp9nfb,YES,Remain (Against Brexit),Confident,NA,Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Rarely,Most months,40,Male,NA,"Undergraduate degree (BSc, BA)",NA,30,2,Remain,Leave
8,1651861172759,06/05/2022 18:19:32,1651861172733,1,06/05/2022 19:19:32,87571,3,task-8jq2,NA,21722499,6422405,NA,complete,NA,62756679b1a65ac67f3da1be,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1920x902,NA,ITT Ratings,3,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,batch3_REM,43,6,1,Screen 1,continueButton,response_rating_scale_likert_active,3106.29999999702,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We will not be overruled,1,5/4/22,5/4/22,R_vrDw6MOCqqc8ead,YES,Remain (Against Brexit),Confident,NA,Agree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,Never,Rarely,52,Female,NA,A levels,NA,27,1,Remain,Leave
9,1651861176248,06/05/2022 18:19:36,1651861176218,1,06/05/2022 19:19:36,87571,3,task-8jq2,NA,21722499,6422405,NA,complete,NA,62756679b1a65ac67f3da1be,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1920x902,NA,ITT Ratings,3,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,batch3_REM,46,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3469.29999999702,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Security of being in the EU,1,5/4/22,5/4/22,R_1CKC3FxscYA8xAo,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Agree,Neither Agree nor Disagree,Agree,Rarely,Once or twice a year,34,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,28,1,Remain,Remain
10,1651861191714,06/05/2022 18:19:51,1651861191692,1,06/05/2022 19:19:51,87571,3,task-8jq2,NA,21722499,6422405,NA,complete,NA,62756679b1a65ac67f3da1be,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.54,1280x720,1920x902,NA,ITT Ratings,3,Leave,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,batch3_REM,batch3_REM,11,8,1,Screen 1,continueButton,response_rating_scale_likert_active,15460,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Trade and free movement within the european union,1,5/4/22,5/4/22,R_1fa5H717nESfsyN,YES,Remain (Against Brexit),Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Once or twice a year,Most months,29,Male,NA,A levels,NA,22,2,Remain,Remain
