Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651861171616,06/05/2022 18:19:31,1651861167721,1,06/05/2022 19:19:27,87571,3,task-t3d4,NA,21722509,6422404,NA,complete,NA,62756674b606f1f1d8ef7406,computer,Desktop or Laptop,Chromium OS 13982.82.0,Chrome 92.0.4515.157,1807x1016,1033x495,NA,ITT Ratings,3,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1651861178645,06/05/2022 18:19:38,1651861174829,1,06/05/2022 19:19:34,87571,3,task-t3d4,NA,21722509,6422404,NA,complete,NA,62756674b606f1f1d8ef7406,computer,Desktop or Laptop,Chromium OS 13982.82.0,Chrome 92.0.4515.157,1807x1016,1033x495,NA,ITT Ratings,3,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,batch2_REM,1,1,1,Screen 1,advancementZone,continue_button,6964.5,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651861190195,06/05/2022 18:19:50,1651861186391,1,06/05/2022 19:19:46,87571,3,task-t3d4,NA,21722509,6422404,NA,complete,NA,62756674b606f1f1d8ef7406,computer,Desktop or Laptop,Chromium OS 13982.82.0,Chrome 92.0.4515.157,1807x1016,1033x495,NA,ITT Ratings,3,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,batch2_REM,22,1,1,Screen 1,continueButton,response_rating_scale_likert_active,11509.5,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We benefit from exchange of ideas with the EU.,1,5/4/22,5/4/22,R_2B2uQToBOV24wnA,YES,Remain (Against Brexit),Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Rarely,Most months,46,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,14,1,Remain,Remain
4,1651861197409,06/05/2022 18:19:57,1651861193578,1,06/05/2022 19:19:53,87571,3,task-t3d4,NA,21722509,6422404,NA,complete,NA,62756674b606f1f1d8ef7406,computer,Desktop or Laptop,Chromium OS 13982.82.0,Chrome 92.0.4515.157,1807x1016,1033x495,NA,ITT Ratings,3,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,batch2_REM,24,2,1,Screen 1,continueButton,response_rating_scale_likert_active,7117.39999999851,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It will cost a huge amount to leave which could be spent on other things.,1,5/4/22,5/4/22,R_2B2uQToBOV24wnA,YES,Remain (Against Brexit),Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Rarely,Most months,46,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,14,3,Remain,Remain
5,1651861204138,06/05/2022 18:20:04,1651861200348,1,06/05/2022 19:20:00,87571,3,task-t3d4,NA,21722509,6422404,NA,complete,NA,62756674b606f1f1d8ef7406,computer,Desktop or Laptop,Chromium OS 13982.82.0,Chrome 92.0.4515.157,1807x1016,1033x495,NA,ITT Ratings,3,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,batch2_REM,48,3,1,Screen 1,continueButton,response_rating_scale_likert_active,6710.5,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Import taxes etc would remain unchanged,1,5/4/22,5/4/22,R_3iziUhb2rETabdC,YES,Remain (Against Brexit),Undecided,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Strongly Disagree,Strongly Disagree,Never,Never,39,Female,NA,"Undergraduate degree (BSc, BA)",NA,18,3,Remain,Remain
6,1651861213395,06/05/2022 18:20:13,1651861209460,1,06/05/2022 19:20:09,87571,3,task-t3d4,NA,21722509,6422404,NA,complete,NA,62756674b606f1f1d8ef7406,computer,Desktop or Laptop,Chromium OS 13982.82.0,Chrome 92.0.4515.157,1807x1016,1033x495,NA,ITT Ratings,3,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,batch2_REM,37,4,1,Screen 1,continueButton,response_rating_scale_likert_active,9065,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Kicking out all the immigrants back to their own country,1,5/4/22,5/4/22,R_2VOOKFJ3hhezRCX,YES,Remain (Against Brexit),Somewhat Confident,NA,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Rarely,Rarely,24,Female,NA,"Undergraduate degree (BSc, BA)",NA,16,1,Remain,Leave
7,1651861217817,06/05/2022 18:20:17,1651861214013,1,06/05/2022 19:20:14,87571,3,task-t3d4,NA,21722509,6422404,NA,complete,NA,62756674b606f1f1d8ef7406,computer,Desktop or Laptop,Chromium OS 13982.82.0,Chrome 92.0.4515.157,1807x1016,1033x495,NA,ITT Ratings,3,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,batch2_REM,3,5,1,Screen 1,continueButton,response_rating_scale_likert_active,4509.099999997765,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select 'Somewhat Disagree' for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check2,NA,NA
8,1651861223384,06/05/2022 18:20:23,1651861219586,1,06/05/2022 19:20:19,87571,3,task-t3d4,NA,21722509,6422404,NA,complete,NA,62756674b606f1f1d8ef7406,computer,Desktop or Laptop,Chromium OS 13982.82.0,Chrome 92.0.4515.157,1807x1016,1033x495,NA,ITT Ratings,3,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,batch2_REM,11,6,1,Screen 1,continueButton,response_rating_scale_likert_active,5533.199999999255,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Security / Defence - more secure as part of a block,1,5/4/22,5/4/22,R_2TGiUxLHyY7kCmA,YES,Remain (Against Brexit),Confident,NA,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Rarely,Rarely,37,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,12,2,Remain,Remain
9,1651861226252,06/05/2022 18:20:26,1651861222459,1,06/05/2022 19:20:22,87571,3,task-t3d4,NA,21722509,6422404,NA,complete,NA,62756674b606f1f1d8ef7406,computer,Desktop or Laptop,Chromium OS 13982.82.0,Chrome 92.0.4515.157,1807x1016,1033x495,NA,ITT Ratings,3,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,batch2_REM,52,7,1,Screen 1,continueButton,response_rating_scale_likert_active,2834,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Best to be part of something big,1,5/4/22,5/4/22,R_3hsduXX6I5GsIya,YES,Remain (Against Brexit),Confident,NA,Agree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,Never,Rarely,37,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,19,1,Remain,Remain
10,1651861232738,06/05/2022 18:20:32,1651861228947,1,06/05/2022 19:20:28,87571,3,task-t3d4,NA,21722509,6422404,NA,complete,NA,62756674b606f1f1d8ef7406,computer,Desktop or Laptop,Chromium OS 13982.82.0,Chrome 92.0.4515.157,1807x1016,1033x495,NA,ITT Ratings,3,Leave,2,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,batch2_REM,batch2_REM,4,8,1,Screen 1,continueButton,response_rating_scale_likert_active,6443.599999997765,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We have done fine this far.,1,5/4/22,5/4/22,R_3gR5fk7ij6g3xVL,YES,Remain (Against Brexit),Undecided,NA,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,Rarely,Most months,30,Female,NA,"Undergraduate degree (BSc, BA)",NA,11,1,Remain,Remain
