Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.kfqt,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,LeaveOrRemain,brex_conf,stanely_L,stanley_R,intellectual_R_1,intellectual_R_2,intellectual_R_3,intellectual_L_1,intellectual_L_2,intellectual_L_3,morality_R_1,morality_R_2,morality_R_3,morality_L_1,morality_L_2,morality_L_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1651860000000,06/05/2022 18:21,1651860000000,1,06/05/2022 19:21,87571,3,task-x1lq,NA,21722556,6422413,NA,complete,NA,6275668024e7d471cee84a04,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x663,NA,ITT Ratings,3,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1651860000000,06/05/2022 18:35,1651860000000,1,06/05/2022 19:35,87571,3,task-x1lq,NA,21722556,6422413,NA,complete,NA,6275668024e7d471cee84a04,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x663,NA,ITT Ratings,3,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1651860000000,06/05/2022 18:35,1651860000000,1,06/05/2022 19:35,87571,3,task-x1lq,NA,21722556,6422413,NA,complete,NA,6275668024e7d471cee84a04,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x663,NA,ITT Ratings,3,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,batch1_REM,1,1,1,Screen 1,advancementZone,continue_button,7309.5,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1651860000000,06/05/2022 18:35,1651860000000,1,06/05/2022 19:35,87571,3,task-x1lq,NA,21722556,6422413,NA,complete,NA,6275668024e7d471cee84a04,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x663,NA,ITT Ratings,3,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,batch1_REM,62,1,1,Screen 1,continueButton,response_rating_scale_likert_active,14916.7,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,wanted things to be like an older time,1,05/04/2022,05/04/2022,R_1C8FLCjj1lq0CNy,YES,Remain (Against Brexit),Confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,A few times a year,25,Non-binary,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,10,2,Remain,Leave
6,1651860000000,06/05/2022 18:35,1651860000000,1,06/05/2022 19:35,87571,3,task-x1lq,NA,21722556,6422413,NA,complete,NA,6275668024e7d471cee84a04,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x663,NA,ITT Ratings,3,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,batch1_REM,37,2,1,Screen 1,continueButton,response_rating_scale_likert_active,5480.2,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I think immigrants are taking our jobs,1,05/04/2022,05/04/2022,R_x5wakzsdrmP3ZN7,YES,Remain (Against Brexit),Confident,NA,Disagree,NA,NA,NA,Agree,Agree,Strongly Agree,NA,NA,NA,Agree,Agree,Agree,Rarely,Once or twice a year,24,Female,NA,"Undergraduate degree (BSc, BA)",NA,6,1,Remain,Leave
7,1651860000000,06/05/2022 18:35,1651860000000,1,06/05/2022 19:36,87571,3,task-x1lq,NA,21722556,6422413,NA,complete,NA,6275668024e7d471cee84a04,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x663,NA,ITT Ratings,3,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,batch1_REM,45,3,1,Screen 1,continueButton,response_rating_scale_likert_active,3836.2,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,'It can't get any worse',1,05/04/2022,05/04/2022,R_3M9l7lijRnlFgwS,YES,Remain (Against Brexit),Confident,NA,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Once or twice a year,Rarely,23,Female,NA,"Undergraduate degree (BSc, BA)",NA,7,3,Remain,Leave
8,1651860000000,06/05/2022 18:35,1651860000000,1,06/05/2022 19:36,87571,3,task-x1lq,NA,21722556,6422413,NA,complete,NA,6275668024e7d471cee84a04,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x663,NA,ITT Ratings,3,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,batch1_REM,28,4,1,Screen 1,continueButton,response_rating_scale_likert_active,4277.2,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I THOUGHT more money would go to the NHS,1,05/04/2022,05/04/2022,R_126dmhcRNmzGJx8,YES,Remain (Against Brexit),Very confident,NA,Neither Agree nor Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Rarely,Most months,43,Female,NA,"Undergraduate degree (BSc, BA)",NA,5,1,Remain,Remain
9,1651860000000,06/05/2022 18:36,1651860000000,1,06/05/2022 19:36,87571,3,task-x1lq,NA,21722556,6422413,NA,complete,NA,6275668024e7d471cee84a04,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x663,NA,ITT Ratings,3,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,batch1_REM,21,5,1,Screen 1,continueButton,response_rating_scale_likert_active,11121,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Can make new trade deals with other countries,1,05/04/2022,05/04/2022,R_2SdVu3xHTHwAzt6,YES,Remain (Against Brexit),Somewhat Confident,NA,Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Rarely,Rarely,29,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,3,3,Remain,Leave
10,1651860000000,06/05/2022 18:36,1651860000000,1,06/05/2022 19:36,87571,3,task-x1lq,NA,21722556,6422413,NA,complete,NA,6275668024e7d471cee84a04,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x663,NA,ITT Ratings,3,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,batch1_REM,39,6,1,Screen 1,continueButton,response_rating_scale_likert_active,16149.1,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,No idea for a third reason,1,05/04/2022,05/04/2022,R_x5wakzsdrmP3ZN7,YES,Remain (Against Brexit),Confident,NA,Disagree,NA,NA,NA,Agree,Agree,Strongly Agree,NA,NA,NA,Agree,Agree,Agree,Rarely,Once or twice a year,24,Female,NA,"Undergraduate degree (BSc, BA)",NA,6,3,Remain,Leave
11,1651860000000,06/05/2022 18:36,1651860000000,1,06/05/2022 19:36,87571,3,task-x1lq,NA,21722556,6422413,NA,complete,NA,6275668024e7d471cee84a04,computer,Desktop or Laptop,Windows 10,Chrome 100.0.4896.127,1366x768,1366x663,NA,ITT Ratings,3,Leave,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,batch1_REM,batch1_REM,33,7,1,Screen 1,continueButton,response_rating_scale_likert_active,4651.5,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We don't have control of our decision making,1,05/04/2022,05/04/2022,R_126dmhcRNmzGJx8,YES,Remain (Against Brexit),Very confident,NA,Neither Agree nor Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Rarely,Most months,43,Female,NA,"Undergraduate degree (BSc, BA)",NA,5,3,Remain,Leave
