Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1647017679244,11/03/2022 16:54:39,1647017679161,0,11/03/2022 16:54:39,82552,1,task-39lm,NA,20307101,6023523,NA,complete,NA,622b7e9dfbf89171ec8a6d6d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,1280x800,1280x655,NA,ITT Ratings,7,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1647017688515,11/03/2022 16:54:48,1647017688453,0,11/03/2022 16:54:48,82552,1,task-39lm,NA,20307101,6023523,NA,complete,NA,622b7e9dfbf89171ec8a6d6d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,1280x800,1280x655,NA,ITT Ratings,7,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_60_vegan,fiv_60_vegan,1,1,1,Screen 1,advancementZone,continue_button,9250.100000023842,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1647017693190,11/03/2022 16:54:53,1647017693147,0,11/03/2022 16:54:53,82552,1,task-39lm,NA,20307101,6023523,NA,complete,NA,622b7e9dfbf89171ec8a6d6d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,1280x800,1280x655,NA,ITT Ratings,7,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_60_vegan,fiv_60_vegan,40,1,1,Screen 1,continueButton,response_rating_scale_likert_active,4678.5,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I love bacon,1,24/02/2022 17:18,24/02/2022 17:21,R_2thDHaLQGega0ap,YES,Yes,Very confident,NA,Neither Agree nor Disagree,NA,NA,NA,Disagree,Disagree,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Disagree,Disagree,Rarely,Once or twice a year,27,Female,NA,"Undergraduate degree (BSc, BA)",NA,47,1,For,Against
4,1647017698761,11/03/2022 16:54:58,1647017698704,0,11/03/2022 16:54:58,82552,1,task-39lm,NA,20307101,6023523,NA,complete,NA,622b7e9dfbf89171ec8a6d6d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,1280x800,1280x655,NA,ITT Ratings,7,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_60_vegan,fiv_60_vegan,24,2,1,Screen 1,continueButton,response_rating_scale_likert_active,5541,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Other members of my household wouldn't like it.,1,24/02/2022 17:14,24/02/2022 17:21,R_1nMF0tJrbh4zSBp,YES,Yes,Very confident,NA,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Somewhat Agree,Disagree,Disagree,Once or twice a year,Rarely,50,Female,NA,"Undergraduate degree (BSc, BA)",NA,44,3,For,Against
5,1647017703821,11/03/2022 16:55:03,1647017703768,0,11/03/2022 16:55:03,82552,1,task-39lm,NA,20307101,6023523,NA,complete,NA,622b7e9dfbf89171ec8a6d6d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,1280x800,1280x655,NA,ITT Ratings,7,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_60_vegan,fiv_60_vegan,57,3,1,Screen 1,continueButton,response_rating_scale_likert_active,5048.799999952316,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,it is healthier to eat plant based,1,24/02/2022 17:06,24/02/2022 17:22,R_yxx6W2nSiExKFnr,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Somewhat Agree,Strongly Agree,Strongly Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Agree,A few times a year,Once or twice a year,26,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,49,3,For,For
6,1647017707931,11/03/2022 16:55:07,1647017707879,0,11/03/2022 16:55:07,82552,1,task-39lm,NA,20307101,6023523,NA,complete,NA,622b7e9dfbf89171ec8a6d6d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,1280x800,1280x655,NA,ITT Ratings,7,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_60_vegan,fiv_60_vegan,9,4,1,Screen 1,continueButton,response_rating_scale_likert_active,4099.5,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Animals want to live and have feelings.,1,24/02/2022 17:11,24/02/2022 17:20,R_3DcrI2n6nhs7ACO,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,Most months,Most weeks,36,Male,NA,"Undergraduate degree (BSc, BA)",NA,41,3,For,For
7,1647017714845,11/03/2022 16:55:14,1647017714812,0,11/03/2022 16:55:14,82552,1,task-39lm,NA,20307101,6023523,NA,complete,NA,622b7e9dfbf89171ec8a6d6d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,1280x800,1280x655,NA,ITT Ratings,7,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_60_vegan,fiv_60_vegan,14,5,1,Screen 1,continueButton,response_rating_scale_likert_active,6918.200000047684,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To help the health of the wider environment,1,24/02/2022 17:14,24/02/2022 17:20,R_3DpU6V6TKeqF4gz,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Agree,NA,NA,NA,Agree,Somewhat Disagree,Somewhat Agree,Rarely,Most weeks,36,Female,NA,A levels,"It's an interesting one, thank you!",42,2,For,For
8,1647017720268,11/03/2022 16:55:20,1647017720236,0,11/03/2022 16:55:20,82552,1,task-39lm,NA,20307101,6023523,NA,complete,NA,622b7e9dfbf89171ec8a6d6d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,1280x800,1280x655,NA,ITT Ratings,7,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_60_vegan,fiv_60_vegan,16,6,1,Screen 1,continueButton,response_rating_scale_likert_active,5408.600000023842,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,my body needs meat,1,24/02/2022 17:17,24/02/2022 17:21,R_3iz1rFVerrnQ9BL,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Disagree,Most months,Most months,28,Female,NA,A levels,NA,43,1,For,Against
9,1647017726352,11/03/2022 16:55:26,1647017726315,0,11/03/2022 16:55:26,82552,1,task-39lm,NA,20307101,6023523,NA,complete,NA,622b7e9dfbf89171ec8a6d6d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,1280x800,1280x655,NA,ITT Ratings,7,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_60_vegan,fiv_60_vegan,15,7,1,Screen 1,continueButton,response_rating_scale_likert_active,6067.099999904633,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,For their own personal health benefits,1,24/02/2022 17:14,24/02/2022 17:20,R_3DpU6V6TKeqF4gz,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Agree,NA,NA,NA,Agree,Somewhat Disagree,Somewhat Agree,Rarely,Most weeks,36,Female,NA,A levels,"It's an interesting one, thank you!",42,3,For,For
10,1647017739539,11/03/2022 16:55:39,1647017739486,0,11/03/2022 16:55:39,82552,1,task-39lm,NA,20307101,6023523,NA,complete,NA,622b7e9dfbf89171ec8a6d6d,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 95.0.4638.69,1280x800,1280x655,NA,ITT Ratings,7,not for,5,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,NA,fiv_60_vegan,fiv_60_vegan,37,8,1,Screen 1,continueButton,response_rating_scale_likert_active,13159.200000047684,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,The environmental impact it causes to be vegan vs the environmental impact it causes not being vegan,1,24/02/2022 17:05,24/02/2022 17:21,R_2aaSasoHMaHdgdw,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Disagree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Disagree,Most weeks,Most weeks,25,Female,NA,"Undergraduate degree (BSc, BA)",NA,46,1,For,For
