Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1647017723831,11/03/2022 16:55:23,1647017723812,1,11/03/2022 17:55:23,82552,1,task-8jq2,NA,20307178,6023546,NA,complete,NA,622b7ecf10ecc502b4bfd989,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1366x768,1366x643,NA,ITT Ratings,7,not for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thi_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1647017732910,11/03/2022 16:55:32,1647017732838,1,11/03/2022 17:55:32,82552,1,task-8jq2,NA,20307178,6023546,NA,complete,NA,622b7ecf10ecc502b4bfd989,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1366x768,1366x643,NA,ITT Ratings,7,not for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thi_60_vegan,thi_60_vegan,1,1,1,Screen 1,advancementZone,continue_button,8913,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1647017739617,11/03/2022 16:55:39,1647017739667,1,11/03/2022 17:55:39,82552,1,task-8jq2,NA,20307178,6023546,NA,complete,NA,622b7ecf10ecc502b4bfd989,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1366x768,1366x643,NA,ITT Ratings,7,not for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thi_60_vegan,thi_60_vegan,58,1,1,Screen 1,continueButton,response_rating_scale_likert_active,6748,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,taste - I feel like I miss something,1,24/02/2022 17:11,24/02/2022 17:17,R_1n8gujQtBvbJQGb,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Agree,Agree,Neither Agree nor Disagree,Rarely,Most months,26,Female,NA,A levels,NA,30,1,For,Against
4,1647017749778,11/03/2022 16:55:49,1647017749838,1,11/03/2022 17:55:49,82552,1,task-8jq2,NA,20307178,6023546,NA,complete,NA,622b7ecf10ecc502b4bfd989,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1366x768,1366x643,NA,ITT Ratings,7,not for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thi_60_vegan,thi_60_vegan,26,2,1,Screen 1,continueButton,response_rating_scale_likert_active,10138,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"For the ecology, to help against global warming. Intensive animal farming is one the main causes of environmental problems.",1,24/02/2022 16:54,24/02/2022 17:13,R_2zByLfvFx0V6G2B,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Strongly Disagree,Somewhat Agree,Strongly Agree,NA,NA,NA,Strongly Agree,Agree,Agree,A few times a year,A few times a year,21,Male,NA,"Undergraduate degree (BSc, BA)",NA,24,2,For,For
5,1647017753987,11/03/2022 16:55:53,1647017753950,1,11/03/2022 17:55:53,82552,1,task-8jq2,NA,20307178,6023546,NA,complete,NA,622b7ecf10ecc502b4bfd989,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1366x768,1366x643,NA,ITT Ratings,7,not for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thi_60_vegan,thi_60_vegan,18,3,1,Screen 1,continueButton,response_rating_scale_likert_active,4079,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"We evolved to consume meat, we have canines",1,24/02/2022 17:05,24/02/2022 17:12,R_25yJHfH3DhUzl1S,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Agree,Somewhat Agree,Neither Agree nor Disagree,Most months,Most weeks,36,Female,NA,A levels,NA,23,3,For,Against
6,1647017758081,11/03/2022 16:55:58,1647017758124,1,11/03/2022 17:55:58,82552,1,task-8jq2,NA,20307178,6023546,NA,complete,NA,622b7ecf10ecc502b4bfd989,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1366x768,1366x643,NA,ITT Ratings,7,not for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thi_60_vegan,thi_60_vegan,17,4,1,Screen 1,continueButton,response_rating_scale_likert_active,4146,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I couldn't give up all the foods that I love.,1,24/02/2022 17:05,24/02/2022 17:12,R_25yJHfH3DhUzl1S,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Agree,Somewhat Agree,Neither Agree nor Disagree,Most months,Most weeks,36,Female,NA,A levels,NA,23,2,For,Against
7,1647017760737,11/03/2022 16:56:00,1647017760797,1,11/03/2022 17:56:00,82552,1,task-8jq2,NA,20307178,6023546,NA,complete,NA,622b7ecf10ecc502b4bfd989,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1366x768,1366x643,NA,ITT Ratings,7,not for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thi_60_vegan,thi_60_vegan,5,5,1,Screen 1,continueButton,response_rating_scale_likert_active,2619,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't know where to start.,1,24/02/2022 17:04,24/02/2022 17:11,R_R2i1foymY36IoXD,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Strongly Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Strongly Agree,Agree,Agree,A few times a year,Most months,22,Non-binary,NA,"Undergraduate degree (BSc, BA)",NA,21,2,For,Against
8,1647017767040,11/03/2022 16:56:07,1647017767042,1,11/03/2022 17:56:07,82552,1,task-8jq2,NA,20307178,6023546,NA,complete,NA,622b7ecf10ecc502b4bfd989,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1366x768,1366x643,NA,ITT Ratings,7,not for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thi_60_vegan,thi_60_vegan,54,6,1,Screen 1,continueButton,response_rating_scale_likert_active,6216,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"People do not like vegan foods, they are not as delicious as meatless foods",1,24/02/2022 17:09,24/02/2022 17:16,R_3mmVXQMO4m9wso6,YES,Yes,Somewhat doubtful,NA,Neither Agree nor Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Neither Agree nor Disagree,A few times a year,Most months,21,Female,NA,"Undergraduate degree (BSc, BA)",NA,29,3,For,Against
9,1647017770626,11/03/2022 16:56:10,1647017770686,1,11/03/2022 17:56:10,82552,1,task-8jq2,NA,20307178,6023546,NA,complete,NA,622b7ecf10ecc502b4bfd989,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1366x768,1366x643,NA,ITT Ratings,7,not for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thi_60_vegan,thi_60_vegan,4,7,1,Screen 1,continueButton,response_rating_scale_likert_active,3614,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,A vegan lifestyle is far too expensive.,1,24/02/2022 17:04,24/02/2022 17:11,R_R2i1foymY36IoXD,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Strongly Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Strongly Agree,Agree,Agree,A few times a year,Most months,22,Non-binary,NA,"Undergraduate degree (BSc, BA)",NA,21,1,For,Against
10,1647017774735,11/03/2022 16:56:14,1647017774751,1,11/03/2022 17:56:14,82552,1,task-8jq2,NA,20307178,6023546,NA,complete,NA,622b7ecf10ecc502b4bfd989,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1366x768,1366x643,NA,ITT Ratings,7,not for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thi_60_vegan,thi_60_vegan,23,8,1,Screen 1,continueButton,response_rating_scale_likert_active,4036,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It's hard to change their eating habits.,1,24/02/2022 16:54,24/02/2022 17:13,R_2zByLfvFx0V6G2B,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Strongly Disagree,Somewhat Agree,Strongly Agree,NA,NA,NA,Strongly Agree,Agree,Agree,A few times a year,A few times a year,21,Male,NA,"Undergraduate degree (BSc, BA)",NA,24,2,For,Against
11,1647017780184,11/03/2022 16:56:20,1647017780251,1,11/03/2022 17:56:20,82552,1,task-8jq2,NA,20307178,6023546,NA,complete,NA,622b7ecf10ecc502b4bfd989,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1366x768,1366x643,NA,ITT Ratings,7,not for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thi_60_vegan,thi_60_vegan,40,9,1,Screen 1,continueButton,response_rating_scale_likert_active,5472,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Other animals like lions also eat other animals.,1,24/02/2022 17:06,24/02/2022 17:15,R_2ZCj2oSHrpOuUTg,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Agree,A few times a year,Most weeks,25,Female,NA,"Undergraduate degree (BSc, BA)",NA,27,1,For,Against
12,1647017784065,11/03/2022 16:56:24,1647017784125,1,11/03/2022 17:56:24,82552,1,task-8jq2,NA,20307178,6023546,NA,complete,NA,622b7ecf10ecc502b4bfd989,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1366x768,1366x643,NA,ITT Ratings,7,not for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thi_60_vegan,thi_60_vegan,48,10,1,Screen 1,continueButton,response_rating_scale_likert_active,3844,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I dont care enough to change,1,24/02/2022 17:12,24/02/2022 17:16,R_1N7Zjbaf2cZNQgP,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Disagree,Disagree,Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Agree,Once or twice a year,Most days,43,Female,NA,Vocational Training / Apprenticeship,NA,28,3,For,Against
13,1647017794530,11/03/2022 16:56:34,1647017794587,1,11/03/2022 17:56:34,82552,1,task-8jq2,NA,20307178,6023546,NA,complete,NA,622b7ecf10ecc502b4bfd989,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1366x768,1366x643,NA,ITT Ratings,7,not for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thi_60_vegan,thi_60_vegan,57,11,1,Screen 1,continueButton,response_rating_scale_likert_active,10436,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"Animals suffer too much, as this industry has no tact to kill them and turn them into food",1,24/02/2022 17:09,24/02/2022 17:16,R_3mmVXQMO4m9wso6,YES,Yes,Somewhat doubtful,NA,Neither Agree nor Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Neither Agree nor Disagree,A few times a year,Most months,21,Female,NA,"Undergraduate degree (BSc, BA)",NA,29,3,For,For
14,1647017799005,11/03/2022 16:56:39,1647017799041,1,11/03/2022 17:56:39,82552,1,task-8jq2,NA,20307178,6023546,NA,complete,NA,622b7ecf10ecc502b4bfd989,computer,Desktop or Laptop,Windows 10,Firefox 98.0,1366x768,1366x643,NA,ITT Ratings,7,not for,3,NA,ACCEPT,NA,NA,NA,NA,NA,NA,NA,NA,thi_60_vegan,thi_60_vegan,53,12,1,Screen 1,continueButton,response_rating_scale_likert_active,4420,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,You do not get the same nutrients with the vegan diet and you have to look for the nutrients in pills,1,24/02/2022 17:09,24/02/2022 17:16,R_3mmVXQMO4m9wso6,YES,Yes,Somewhat doubtful,NA,Neither Agree nor Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Neither Agree nor Disagree,A few times a year,Most months,21,Female,NA,"Undergraduate degree (BSc, BA)",NA,29,2,For,Against
