Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1647017677698,11/03/2022 16:54:37,1647017674722,0,11/03/2022 16:54:34,82552,1,task-au9x,NA,20307099,6023526,NA,complete,NA,622b7eaea6aed0b01bafbe58,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1536x746,NA,ITT Ratings,7,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1647017679933,11/03/2022 16:54:39,1647017677162,0,11/03/2022 16:54:37,82552,1,task-au9x,NA,20307099,6023526,NA,complete,NA,622b7eaea6aed0b01bafbe58,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x746,NA,ITT Ratings,7,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_60_vegan,nin_60_vegan,1,1,1,Screen 1,advancementZone,continue_button,2409.8000000000466,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1647017689204,11/03/2022 16:54:49,1647017686418,0,11/03/2022 16:54:46,82552,1,task-au9x,NA,20307099,6023526,NA,complete,NA,622b7eaea6aed0b01bafbe58,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x746,NA,ITT Ratings,7,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_60_vegan,nin_60_vegan,10,1,1,Screen 1,continueButton,response_rating_scale_likert_active,9243.099999999977,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Lack of information about this kind of diet,1,24/02/2022 17:26,24/02/2022 17:34,R_28TceUM0vRAaVvI,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Strongly Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Strongly Agree,Agree,Neither Agree nor Disagree,Most months,Most months,24,Female,NA,"Undergraduate degree (BSc, BA)",NA,82,1,For,Against
4,1647017695943,11/03/2022 16:54:55,1647017693148,0,11/03/2022 16:54:53,82552,1,task-au9x,NA,20307099,6023526,NA,complete,NA,622b7eaea6aed0b01bafbe58,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x746,NA,ITT Ratings,7,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_60_vegan,nin_60_vegan,40,2,1,Screen 1,continueButton,response_rating_scale_likert_active,6711.299999999988,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,non vegan food tastes a lot better than vegan food,1,24/02/2022 17:30,24/02/2022 17:36,R_3G20fRCBW0o3xSm,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Strongly Agree,NA,NA,NA,Strongly Agree,Somewhat Agree,Somewhat Agree,A few times a year,Most weeks,30,Female,NA,A levels,NA,87,1,For,Against
5,1647017708791,11/03/2022 16:55:08,1647017706009,0,11/03/2022 16:55:06,82552,1,task-au9x,NA,20307099,6023526,NA,complete,NA,622b7eaea6aed0b01bafbe58,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x746,NA,ITT Ratings,7,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_60_vegan,nin_60_vegan,26,3,1,Screen 1,continueButton,response_rating_scale_likert_active,12850.100000000037,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Meat and dairy consumption is bad for my health,1,24/02/2022 17:27,24/02/2022 17:34,R_1cTeb9VuiIZ4l61,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Somewhat Disagree,NA,NA,NA,Strongly Agree,Disagree,Disagree,Once or twice a year,Most weeks,35,Female,NA,"Undergraduate degree (BSc, BA)",NA,84,2,For,For
6,1647017715915,11/03/2022 16:55:15,1647017713113,0,11/03/2022 16:55:13,82552,1,task-au9x,NA,20307099,6023526,NA,complete,NA,622b7eaea6aed0b01bafbe58,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x746,NA,ITT Ratings,7,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_60_vegan,nin_60_vegan,24,4,1,Screen 1,continueButton,response_rating_scale_likert_active,7095.100000000035,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Animals are killed humanely so I don't feel guilty.,1,24/02/2022 17:27,24/02/2022 17:34,R_1cTeb9VuiIZ4l61,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Somewhat Disagree,NA,NA,NA,Strongly Agree,Disagree,Disagree,Once or twice a year,Most weeks,35,Female,NA,"Undergraduate degree (BSc, BA)",NA,84,3,For,Against
7,1647017729298,11/03/2022 16:55:29,1647017726516,0,11/03/2022 16:55:26,82552,1,task-au9x,NA,20307099,6023526,NA,complete,NA,622b7eaea6aed0b01bafbe58,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x746,NA,ITT Ratings,7,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_60_vegan,nin_60_vegan,39,5,1,Screen 1,continueButton,response_rating_scale_likert_active,13393.700000000012,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"I know veganism is the better option for the environment, for ecosystems and the planet",1,24/02/2022 17:29,24/02/2022 17:36,R_W0AHQF6lhZM9Qbv,YES,Yes,Somewhat Confident,NA,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Most weeks,A few times a year,31,Non-binary,NA,"Undergraduate degree (BSc, BA)",NA,86,3,For,For
8,1647017737466,11/03/2022 16:55:37,1647017734694,0,11/03/2022 16:55:34,82552,1,task-au9x,NA,20307099,6023526,NA,complete,NA,622b7eaea6aed0b01bafbe58,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x746,NA,ITT Ratings,7,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_60_vegan,nin_60_vegan,43,6,1,Screen 1,continueButton,response_rating_scale_likert_active,8168.099999999977,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"animal welfare, cruel to keep animals locked up and kill them",1,24/02/2022 17:30,24/02/2022 17:36,R_3G20fRCBW0o3xSm,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Strongly Agree,NA,NA,NA,Strongly Agree,Somewhat Agree,Somewhat Agree,A few times a year,Most weeks,30,Female,NA,A levels,NA,87,1,For,For
9,1647017743919,11/03/2022 16:55:43,1647017741151,0,11/03/2022 16:55:41,82552,1,task-au9x,NA,20307099,6023526,NA,complete,NA,622b7eaea6aed0b01bafbe58,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x746,NA,ITT Ratings,7,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_60_vegan,nin_60_vegan,9,7,1,Screen 1,continueButton,response_rating_scale_likert_active,6449.399999999965,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,healthy diet and nutrition,1,24/02/2022 17:29,24/02/2022 17:33,R_3QKr3uWaiHKzhsh,YES,Yes,Very confident,NA,Neither Agree nor Disagree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Agree,Most months,A few times a year,49,Female,NA,"Undergraduate degree (BSc, BA)",no,81,3,For,For
10,1647017747701,11/03/2022 16:55:47,1647017744924,0,11/03/2022 16:55:44,82552,1,task-au9x,NA,20307099,6023526,NA,complete,NA,622b7eaea6aed0b01bafbe58,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1536x864,1519x746,NA,ITT Ratings,7,not for,9,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,nin_60_vegan,nin_60_vegan,20,8,1,Screen 1,continueButton,response_rating_scale_likert_active,3765.700000000011,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It's better for the environment,1,24/02/2022 17:31,24/02/2022 17:34,R_3JbcKoqs47vlSOl,YES,Yes,Confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Rarely,Most weeks,42,Other,NA,"Undergraduate degree (BSc, BA)",NA,83,2,For,For
