Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1647017752801,11/03/2022 16:55:52,1647017752669,0,11/03/2022 16:55:52,82552,1,task-iytf,NA,20307243,6023566,NA,complete,NA,622b7ee27d4256a6ed16d4aa,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,1920x1080,1440x820,NA,ITT Ratings,7,not for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,six_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1647017761300,11/03/2022 16:56:01,1647017761179,0,11/03/2022 16:56:01,82552,1,task-iytf,NA,20307243,6023566,NA,complete,NA,622b7ee27d4256a6ed16d4aa,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,1920x1080,1440x820,NA,ITT Ratings,7,not for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,six_60_vegan,six_60_vegan,1,1,1,Screen 1,advancementZone,continue_button,8476,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1647017768668,11/03/2022 16:56:08,1647017768578,0,11/03/2022 16:56:08,82552,1,task-iytf,NA,20307243,6023566,NA,complete,NA,622b7ee27d4256a6ed16d4aa,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,1920x1080,1440x820,NA,ITT Ratings,7,not for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,six_60_vegan,six_60_vegan,52,1,1,Screen 1,continueButton,response_rating_scale_likert_active,7379,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I like the taste of meat/cheese and could not give it up,1,24/02/2022 17:21,24/02/2022 17:25,R_1dHoxQwmo1z2XBI,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,A few times a year,Most months,33,Male,NA,"Undergraduate degree (BSc, BA)",NA,59,1,For,Against
4,1647017772874,11/03/2022 16:56:12,1647017772760,0,11/03/2022 16:56:12,82552,1,task-iytf,NA,20307243,6023566,NA,complete,NA,622b7ee27d4256a6ed16d4aa,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,1920x1080,1440x820,NA,ITT Ratings,7,not for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,six_60_vegan,six_60_vegan,29,2,1,Screen 1,continueButton,response_rating_scale_likert_active,4164,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Difficulty in living vegan lifestyle.,1,24/02/2022 17:13,24/02/2022 17:23,R_WprIpA7ezJENV1T,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Disagree,A few times a year,Once or twice a year,42,Male,NA,"Undergraduate degree (BSc, BA)",NA,55,2,For,Against
5,1647017787601,11/03/2022 16:56:27,1647017787491,0,11/03/2022 16:56:27,82552,1,task-iytf,NA,20307243,6023566,NA,complete,NA,622b7ee27d4256a6ed16d4aa,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,1920x1080,1440x820,NA,ITT Ratings,7,not for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,six_60_vegan,six_60_vegan,43,3,1,Screen 1,continueButton,response_rating_scale_likert_active,14711,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It is morally wrong to eat animals,1,24/02/2022 17:14,24/02/2022 17:24,R_Qc5ezRlOMOkYi8p,YES,Yes,Confident,NA,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,Most months,42,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,57,1,For,For
6,1647017791645,11/03/2022 16:56:31,1647017791522,0,11/03/2022 16:56:31,82552,1,task-iytf,NA,20307243,6023566,NA,complete,NA,622b7ee27d4256a6ed16d4aa,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,1920x1080,1440x820,NA,ITT Ratings,7,not for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,six_60_vegan,six_60_vegan,21,4,1,Screen 1,continueButton,response_rating_scale_likert_active,4019,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"Reduce water and air pollution, fight global warming",1,24/02/2022 17:17,24/02/2022 17:23,R_r6nyEiyS9n8agaR,YES,Yes,Confident,NA,Neither Agree nor Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Most months,Most weeks,19,Male,NA,"Undergraduate degree (BSc, BA)",NA,53,3,For,For
7,1647017799225,11/03/2022 16:56:39,1647017799140,0,11/03/2022 16:56:39,82552,1,task-iytf,NA,20307243,6023566,NA,complete,NA,622b7ee27d4256a6ed16d4aa,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,1920x1080,1440x820,NA,ITT Ratings,7,not for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,six_60_vegan,six_60_vegan,36,5,1,Screen 1,continueButton,response_rating_scale_likert_active,7605,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't think I could get all the necessary nutrients,1,24/02/2022 17:19,24/02/2022 17:23,R_1QawN5ZuKrZKU9c,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Disagree,A few times a year,Most months,25,Male,NA,"Undergraduate degree (BSc, BA)",NA,56,3,For,Against
8,1647017801719,11/03/2022 16:56:41,1647017801624,0,11/03/2022 16:56:41,82552,1,task-iytf,NA,20307243,6023566,NA,complete,NA,622b7ee27d4256a6ed16d4aa,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,1920x1080,1440x820,NA,ITT Ratings,7,not for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,six_60_vegan,six_60_vegan,19,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2467,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Stop killing animals,1,24/02/2022 17:17,24/02/2022 17:23,R_r6nyEiyS9n8agaR,YES,Yes,Confident,NA,Neither Agree nor Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Most months,Most weeks,19,Male,NA,"Undergraduate degree (BSc, BA)",NA,53,1,For,For
9,1647017803751,11/03/2022 16:56:43,1647017803657,0,11/03/2022 16:56:43,82552,1,task-iytf,NA,20307243,6023566,NA,complete,NA,622b7ee27d4256a6ed16d4aa,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,1920x1080,1440x820,NA,ITT Ratings,7,not for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,six_60_vegan,six_60_vegan,26,7,1,Screen 1,continueButton,response_rating_scale_likert_active,2010,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It's better for the environment,1,24/02/2022 17:16,24/02/2022 17:23,R_4ZQwkA65ieSm4yR,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Strongly Disagree,Neither Agree nor Disagree,Agree,NA,NA,NA,Agree,Agree,Agree,Most months,A few times a year,28,Male,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,54,2,For,For
10,1647017807314,11/03/2022 16:56:47,1647017806956,0,11/03/2022 16:56:46,82552,1,task-iytf,NA,20307243,6023566,NA,complete,NA,622b7ee27d4256a6ed16d4aa,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,1920x1080,1440x820,NA,ITT Ratings,7,not for,6,NA,NA,NA,NA,ACCEPT,NA,NA,NA,NA,NA,six_60_vegan,six_60_vegan,37,8,1,Screen 1,continueButton,response_rating_scale_likert_active,3280,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Animal welfare - not treating animals as resources,1,24/02/2022 17:19,24/02/2022 17:23,R_1QawN5ZuKrZKU9c,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Disagree,A few times a year,Most months,25,Male,NA,"Undergraduate degree (BSc, BA)",NA,56,1,For,For
