Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1647017685302,11/03/2022 16:54:45,1647017686950,1,11/03/2022 17:54:46,82552,1,task-l3ey,NA,20307116,6023535,NA,complete,NA,622b7eb71fa6971a5f39ec44,computer,Desktop or Laptop,Windows 10,Edge 99.0.1150.36,1536x864,1536x722,NA,ITT Ratings,7,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1647017691836,11/03/2022 16:54:51,1647017693496,1,11/03/2022 17:54:53,82552,1,task-l3ey,NA,20307116,6023535,NA,complete,NA,622b7eb71fa6971a5f39ec44,computer,Desktop or Laptop,Windows 10,Edge 99.0.1150.36,1536x864,1519x722,NA,ITT Ratings,7,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_60_vegan,ten_60_vegan,1,1,1,Screen 1,advancementZone,continue_button,6510.599999999977,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1647017700711,11/03/2022 16:55:00,1647017702377,1,11/03/2022 17:55:02,82552,1,task-l3ey,NA,20307116,6023535,NA,complete,NA,622b7eb71fa6971a5f39ec44,computer,Desktop or Laptop,Windows 10,Edge 99.0.1150.36,1536x864,1519x722,NA,ITT Ratings,7,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_60_vegan,ten_60_vegan,46,1,1,Screen 1,continueButton,response_rating_scale_likert_active,8861.900000000023,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,because I like the taste and don't know how to cook other things,1,24/02/2022 17:00,24/02/2022 17:09,R_10Bp4CWOeR1VPqo,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,NA,NA,NA,Strongly Agree,Strongly Agree,Strongly Agree,Most weeks,Most days,28,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,98,1,For,Against
4,1647017705604,11/03/2022 16:55:05,1647017707272,1,11/03/2022 17:55:07,82552,1,task-l3ey,NA,20307116,6023535,NA,complete,NA,622b7eb71fa6971a5f39ec44,computer,Desktop or Laptop,Windows 10,Edge 99.0.1150.36,1536x864,1519x722,NA,ITT Ratings,7,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_60_vegan,ten_60_vegan,62,2,1,Screen 1,continueButton,response_rating_scale_likert_active,4874.29999999993,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,being vegan is good for the planet.,1,24/02/2022 22:15,24/02/2022 22:21,R_zYYO4V5kq22dIQN,YES,Yes,Confident,NA,Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Never,Once or twice a year,30,Female,NA,"Undergraduate degree (BSc, BA)",n/a,100,2,For,For
5,1647017709026,11/03/2022 16:55:09,1647017710696,1,11/03/2022 17:55:10,82552,1,task-l3ey,NA,20307116,6023535,NA,complete,NA,622b7eb71fa6971a5f39ec44,computer,Desktop or Laptop,Windows 10,Edge 99.0.1150.36,1536x864,1519x722,NA,ITT Ratings,7,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_60_vegan,ten_60_vegan,2,3,1,Screen 1,continueButton,response_rating_scale_likert_active,3407.3000000000466,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select “Somewhat Agree” for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check1,NA,NA
6,1647017711918,11/03/2022 16:55:11,1647017713585,1,11/03/2022 17:55:13,82552,1,task-l3ey,NA,20307116,6023535,NA,complete,NA,622b7eb71fa6971a5f39ec44,computer,Desktop or Laptop,Windows 10,Edge 99.0.1150.36,1536x864,1519x722,NA,ITT Ratings,7,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_60_vegan,ten_60_vegan,7,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2873.0999999999767,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Veganism saves more life of the animals,1,24/02/2022 17:27,24/02/2022 17:39,R_2fHvwS5fuvg0u2i,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Agree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Agree,Somewhat Agree,A few times a year,A few times a year,28,Male,NA,GCSEs,NA,91,1,For,For
7,1647017720329,11/03/2022 16:55:20,1647017721896,1,11/03/2022 17:55:21,82552,1,task-l3ey,NA,20307116,6023535,NA,complete,NA,622b7eb71fa6971a5f39ec44,computer,Desktop or Laptop,Windows 10,Edge 99.0.1150.36,1536x864,1519x722,NA,ITT Ratings,7,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_60_vegan,ten_60_vegan,47,5,1,Screen 1,continueButton,response_rating_scale_likert_active,8299.199999999953,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,because I don't believe we can get the same nutrients by eating plants,1,24/02/2022 17:00,24/02/2022 17:09,R_10Bp4CWOeR1VPqo,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,NA,NA,NA,Strongly Agree,Strongly Agree,Strongly Agree,Most weeks,Most days,28,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,98,2,For,Against
8,1647017722634,11/03/2022 16:55:22,1647017724320,1,11/03/2022 17:55:24,82552,1,task-l3ey,NA,20307116,6023535,NA,complete,NA,622b7eb71fa6971a5f39ec44,computer,Desktop or Laptop,Windows 10,Edge 99.0.1150.36,1536x864,1519x722,NA,ITT Ratings,7,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_60_vegan,ten_60_vegan,15,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2407.5,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Environmental concerns,1,24/02/2022 17:31,24/02/2022 17:40,R_1ltMTNYEw6Aat9z,YES,Yes,Confident,NA,Agree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Disagree,Most weeks,Rarely,29,Male,NA,"Undergraduate degree (BSc, BA)",NA,92,3,For,For
9,1647017726805,11/03/2022 16:55:26,1647017728488,1,11/03/2022 17:55:28,82552,1,task-l3ey,NA,20307116,6023535,NA,complete,NA,622b7eb71fa6971a5f39ec44,computer,Desktop or Laptop,Windows 10,Edge 99.0.1150.36,1536x864,1519x722,NA,ITT Ratings,7,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_60_vegan,ten_60_vegan,28,7,1,Screen 1,continueButton,response_rating_scale_likert_active,4157.800000000047,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I enjoy eating meat or dairy products too much,1,24/02/2022 17:30,24/02/2022 17:47,R_3lzAYVDLP8glMHq,YES,Yes,Very confident,NA,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Disagree,Strongly Disagree,Strongly Disagree,Most months,A few times a year,45,Female,NA,"GCSEs,Vocational Training / Apprenticeship",NA,95,1,For,Against
10,1647017733735,11/03/2022 16:55:33,1647017735400,1,11/03/2022 17:55:35,82552,1,task-l3ey,NA,20307116,6023535,NA,complete,NA,622b7eb71fa6971a5f39ec44,computer,Desktop or Laptop,Windows 10,Edge 99.0.1150.36,1536x864,1519x722,NA,ITT Ratings,7,not for,10,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,NA,ten_60_vegan,ten_60_vegan,57,8,1,Screen 1,continueButton,response_rating_scale_likert_active,6902,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,to not take part in animal pain and suffering.  Even though animals reactions to pain and suffering are different to humans they still feel,1,24/02/2022 17:01,24/02/2022 17:29,R_1msk4PkUjw8HPjr,YES,Yes,Somewhat Confident,NA,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,Rarely,Once or twice a year,48,Female,NA,A levels,NA,99,3,For,For
