Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1647017724103,11/03/2022 16:55:24,1647017727648,0,11/03/2022 16:55:27,82552,1,task-ogmx,NA,20307184,6023548,NA,complete,NA,622b7edd6cb69a56146a738e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1280x720,1280x569,NA,ITT Ratings,7,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1647017730018,11/03/2022 16:55:30,1647017733604,0,11/03/2022 16:55:33,82552,1,task-ogmx,NA,20307184,6023548,NA,complete,NA,622b7edd6cb69a56146a738e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1280x720,1280x569,NA,ITT Ratings,7,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_60_vegan,eig_60_vegan,1,1,1,Screen 1,advancementZone,continue_button,5931.4000000059605,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1647017736169,11/03/2022 16:55:36,1647017739741,0,11/03/2022 16:55:39,82552,1,task-ogmx,NA,20307184,6023548,NA,complete,NA,622b7edd6cb69a56146a738e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1280x720,1280x569,NA,ITT Ratings,7,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_60_vegan,eig_60_vegan,52,1,1,Screen 1,continueButton,response_rating_scale_likert_active,6124.70000000298,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Like the taste of meat,1,24/02/2022 17:29,24/02/2022 17:33,R_2aLgVs0bTGQm6HJ,YES,Yes,Very confident,NA,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,A few times a year,A few times a year,37,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,79,1,For,Against
4,1647017742044,11/03/2022 16:55:42,1647017745626,0,11/03/2022 16:55:45,82552,1,task-ogmx,NA,20307184,6023548,NA,complete,NA,622b7edd6cb69a56146a738e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1280x720,1280x569,NA,ITT Ratings,7,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_60_vegan,eig_60_vegan,48,2,1,Screen 1,continueButton,response_rating_scale_likert_active,5869.5,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Don't want to be restricted when choosing food,1,24/02/2022 17:29,24/02/2022 17:33,R_rrJ93cdqUwvxVnj,YES,Yes,Very confident,NA,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Disagree,A few times a year,Most months,32,Female,NA,"Undergraduate degree (BSc, BA)",NA,78,3,For,Against
5,1647017747435,11/03/2022 16:55:47,1647017751023,0,11/03/2022 16:55:51,82552,1,task-ogmx,NA,20307184,6023548,NA,complete,NA,622b7edd6cb69a56146a738e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1280x720,1280x569,NA,ITT Ratings,7,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_60_vegan,eig_60_vegan,16,3,1,Screen 1,continueButton,response_rating_scale_likert_active,5387.800000011921,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,diet with meat is more healthy than without it,1,24/02/2022 17:12,24/02/2022 17:31,R_3JfS9F9piBEtSlM,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Agree,Neither Agree nor Disagree,Somewhat Agree,A few times a year,A few times a year,19,Male,NA,Vocational Training / Apprenticeship,NA,73,1,For,Against
6,1647017751654,11/03/2022 16:55:51,1647017755232,0,11/03/2022 16:55:55,82552,1,task-ogmx,NA,20307184,6023548,NA,complete,NA,622b7edd6cb69a56146a738e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1280x720,1280x569,NA,ITT Ratings,7,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_60_vegan,eig_60_vegan,2,4,1,Screen 1,continueButton,response_rating_scale_likert_active,4199.600000008941,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select “Somewhat Agree” for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check1,NA,NA
7,1647017754744,11/03/2022 16:55:54,1647017758317,0,11/03/2022 16:55:58,82552,1,task-ogmx,NA,20307184,6023548,NA,complete,NA,622b7edd6cb69a56146a738e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1280x720,1280x569,NA,ITT Ratings,7,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_60_vegan,eig_60_vegan,23,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3077.199999988079,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I can't live without bacon,1,24/02/2022 17:27,24/02/2022 17:31,R_1fkgE6DeIADJJvL,YES,Yes,Somewhat Confident,NA,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Disagree,Most months,Most weeks,21,Female,NA,A levels,NA,74,2,For,Against
8,1647017759495,11/03/2022 16:55:59,1647017763074,0,11/03/2022 16:56:03,82552,1,task-ogmx,NA,20307184,6023548,NA,complete,NA,622b7edd6cb69a56146a738e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1280x720,1280x569,NA,ITT Ratings,7,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_60_vegan,eig_60_vegan,33,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4746.79999999702,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Feel I eat healthier and more varied meals,1,24/02/2022 17:25,24/02/2022 17:31,R_23qotrIvp37qR6F,YES,Yes,Very confident,NA,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,Most weeks,33,Female,NA,"Undergraduate degree (BSc, BA)",NA,75,3,For,For
9,1647017768470,11/03/2022 16:56:08,1647017772054,0,11/03/2022 16:56:12,82552,1,task-ogmx,NA,20307184,6023548,NA,complete,NA,622b7edd6cb69a56146a738e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1280x720,1280x569,NA,ITT Ratings,7,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_60_vegan,eig_60_vegan,8,7,1,Screen 1,continueButton,response_rating_scale_likert_active,8972.70000000298,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Sustainability - animal farming wastes resources and contributes to climate change,1,24/02/2022 17:23,24/02/2022 17:29,R_1o6WMLpLKiiGSBj,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Somewhat Agree,Agree,Strongly Agree,NA,NA,NA,Strongly Agree,Agree,Agree,A few times a year,Most weeks,38,Female,NA,"Undergraduate degree (BSc, BA)",NA,71,2,For,For
10,1647017774477,11/03/2022 16:56:14,1647017778062,0,11/03/2022 16:56:18,82552,1,task-ogmx,NA,20307184,6023548,NA,complete,NA,622b7edd6cb69a56146a738e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1280x720,1280x569,NA,ITT Ratings,7,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_60_vegan,eig_60_vegan,28,8,1,Screen 1,continueButton,response_rating_scale_likert_active,5999.5999999940395,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't eat that much meat anyway,1,24/02/2022 17:25,24/02/2022 17:31,R_23qotrIvp37qR6F,YES,Yes,Very confident,NA,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a year,Most weeks,33,Female,NA,"Undergraduate degree (BSc, BA)",NA,75,1,For,Against
11,1647017785194,11/03/2022 16:56:25,1647017788782,0,11/03/2022 16:56:28,82552,1,task-ogmx,NA,20307184,6023548,NA,complete,NA,622b7edd6cb69a56146a738e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1280x720,1280x569,NA,ITT Ratings,7,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_60_vegan,eig_60_vegan,14,9,1,Screen 1,continueButton,response_rating_scale_likert_active,10711.79999999702,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,For the well-being of the animals in a world where apparently is okay to have animal (including human) cruelty as long as there is profit,1,24/02/2022 17:18,24/02/2022 17:30,R_RDG1c1L5vAMIweJ,YES,Yes,Doubtful,NA,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Most months,Most weeks,22,Female,NA,"Undergraduate degree (BSc, BA)",NA,72,2,For,For
12,1647017787616,11/03/2022 16:56:27,1647017791199,0,11/03/2022 16:56:31,82552,1,task-ogmx,NA,20307184,6023548,NA,complete,NA,622b7edd6cb69a56146a738e,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1280x720,1280x569,NA,ITT Ratings,7,not for,8,NA,NA,NA,NA,NA,NA,ACCEPT,NA,NA,NA,eig_60_vegan,eig_60_vegan,46,10,1,Screen 1,continueButton,response_rating_scale_likert_active,2411.4000000059605,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I enjoy meat too much,1,24/02/2022 17:29,24/02/2022 17:33,R_rrJ93cdqUwvxVnj,YES,Yes,Very confident,NA,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Disagree,A few times a year,Most months,32,Female,NA,"Undergraduate degree (BSc, BA)",NA,78,1,For,Against
