Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,quota.bqtt,quota.rycs,quota.wtfi,quota.usve,quota.zgic,quota.f3yz,quota.r9vy,quota.tfqq,quota.3dga,quota.dtj6,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1647017700617,11/03/2022 16:55:00,1647017700690,0,11/03/2022 16:55:00,82552,1,task-qiak,NA,20307144,6023543,NA,complete,NA,622b7ecb4714780380386670,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1920x1080,1920x969,NA,ITT Ratings,7,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1647017702091,11/03/2022 16:55:02,1647017702209,0,11/03/2022 16:55:02,82552,1,task-qiak,NA,20307144,6023543,NA,complete,NA,622b7ecb4714780380386670,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1920x1080,1920x969,NA,ITT Ratings,7,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_60_vegan,first_60_vegan,1,1,1,Screen 1,advancementZone,continue_button,1487.9000000059605,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1647017713276,11/03/2022 16:55:13,1647017713386,0,11/03/2022 16:55:13,82552,1,task-qiak,NA,20307144,6023543,NA,complete,NA,622b7ecb4714780380386670,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1920x1080,1920x969,NA,ITT Ratings,7,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_60_vegan,first_60_vegan,3,1,1,Screen 1,continueButton,response_rating_scale_likert_active,11161.59999999404,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"We would like to check that you are reading each argument carefully. Please select ""Somewhat Disgree"" for this answer",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check2,NA,NA
4,1647017724821,11/03/2022 16:55:24,1647017724943,0,11/03/2022 16:55:24,82552,1,task-qiak,NA,20307144,6023543,NA,complete,NA,622b7ecb4714780380386670,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1920x1080,1920x969,NA,ITT Ratings,7,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_60_vegan,first_60_vegan,45,2,1,Screen 1,continueButton,response_rating_scale_likert_active,11539.39999999106,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Veganism is very easy in modern times. If you care for animals and the environment it might be something worth doing.,1,24/02/2022 16:54,24/02/2022 17:03,R_3Ofgy4rEZ8ZwHB1,YES,Yes,Confident,NA,Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Rarely,Most months,19,Female,NA,No formal qualifications,NA,7,3,For,For
5,1647017730956,11/03/2022 16:55:30,1647017731062,0,11/03/2022 16:55:31,82552,1,task-qiak,NA,20307144,6023543,NA,complete,NA,622b7ecb4714780380386670,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1920x1080,1920x969,NA,ITT Ratings,7,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_60_vegan,first_60_vegan,21,3,1,Screen 1,continueButton,response_rating_scale_likert_active,6098.9000000059605,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I am vegan because I am doing my part at trying to save the world.,1,24/02/2022 16:48,24/02/2022 16:59,R_2Wx4CW5Ir4FULQt,YES,Yes,Somewhat Confident,NA,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,A few times a year,23,Female,NA,"Undergraduate degree (BSc, BA)",I really enjoyed this study. It was quite thought provoking and made me realise that I do not try to shove veganism down people's throat.,3,3,For,For
6,1647017738648,11/03/2022 16:55:38,1647017738757,0,11/03/2022 16:55:38,82552,1,task-qiak,NA,20307144,6023543,NA,complete,NA,622b7ecb4714780380386670,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1920x1080,1920x969,NA,ITT Ratings,7,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_60_vegan,first_60_vegan,20,4,1,Screen 1,continueButton,response_rating_scale_likert_active,7683.90000000596,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I am vegan because I am doing it for my health.,1,24/02/2022 16:48,24/02/2022 16:59,R_2Wx4CW5Ir4FULQt,YES,Yes,Somewhat Confident,NA,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,A few times a year,23,Female,NA,"Undergraduate degree (BSc, BA)",I really enjoyed this study. It was quite thought provoking and made me realise that I do not try to shove veganism down people's throat.,3,2,For,For
7,1647017742684,11/03/2022 16:55:42,1647017742806,0,11/03/2022 16:55:42,82552,1,task-qiak,NA,20307144,6023543,NA,complete,NA,622b7ecb4714780380386670,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1920x1080,1920x969,NA,ITT Ratings,7,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_60_vegan,first_60_vegan,17,5,1,Screen 1,continueButton,response_rating_scale_likert_active,4032.6000000089407,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I eat meat because it is the easiest way to get protein in my diet.,1,24/02/2022 16:48,24/02/2022 16:59,R_2Wx4CW5Ir4FULQt,YES,Yes,Somewhat Confident,NA,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,A few times a year,23,Female,NA,"Undergraduate degree (BSc, BA)",I really enjoyed this study. It was quite thought provoking and made me realise that I do not try to shove veganism down people's throat.,3,2,For,Against
8,1647017745645,11/03/2022 16:55:45,1647017745773,0,11/03/2022 16:55:45,82552,1,task-qiak,NA,20307144,6023543,NA,complete,NA,622b7ecb4714780380386670,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1920x1080,1920x969,NA,ITT Ratings,7,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_60_vegan,first_60_vegan,22,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2958.29999999702,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Is not the same taste as meat and dairy,1,24/02/2022 16:53,24/02/2022 17:01,R_3kb6UAVBbutvyD6,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once or twice a year,Most weeks,22,Female,NA,"Undergraduate degree (BSc, BA)",NA,4,1,For,Against
9,1647017749561,11/03/2022 16:55:49,1647017748557,0,11/03/2022 16:55:48,82552,1,task-qiak,NA,20307144,6023543,NA,complete,NA,622b7ecb4714780380386670,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1920x1080,1920x969,NA,ITT Ratings,7,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_60_vegan,first_60_vegan,23,7,1,Screen 1,continueButton,response_rating_scale_likert_active,2774.70000000298,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't care or not believe in global warming,1,24/02/2022 16:53,24/02/2022 17:01,R_3kb6UAVBbutvyD6,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once or twice a year,Most weeks,22,Female,NA,"Undergraduate degree (BSc, BA)",NA,4,2,For,Against
10,1647017754440,11/03/2022 16:55:54,1647017754553,0,11/03/2022 16:55:54,82552,1,task-qiak,NA,20307144,6023543,NA,complete,NA,622b7ecb4714780380386670,computer,Desktop or Laptop,Windows 10,Chrome 99.0.4844.51,1920x1080,1920x969,NA,ITT Ratings,7,not for,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ACCEPT,first_60_vegan,first_60_vegan,14,8,1,Screen 1,continueButton,response_rating_scale_likert_active,5988.600000008941,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"I do not want to contribute to the agricultural industry. I do not agree with the overconsumption of meat, I find it unnecessary and the mass production is just cruel. (disagree with mass production)",1,24/02/2022 16:50,24/02/2022 16:58,R_2a8LTgFff8HGwLo,YES,Yes,Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Strongly Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Disagree,Rarely,A few times a year,23,Female,NA,"Undergraduate degree (BSc, BA)",NA,2,2,For,For
