Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1646244344747,02/03/2022 18:05:44,1646244344642,0,02/03/2022 18:05:44,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1646244349107,02/03/2022 18:05:49,1646244349062,0,02/03/2022 18:05:49,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,1,1,1,Screen 1,advancementZone,continue_button,4363,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1646244354466,02/03/2022 18:05:54,1646244354397,0,02/03/2022 18:05:54,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,27,1,1,Screen 1,continueButton,response_rating_scale_likert_active,5311.999999999999,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Protection of animal life,24/02/2022 16:53,24/02/2022 17:01,R_3kb6UAVBbutvyD6,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once or twice a year,Most weeks,22,Female,NA,"Undergraduate degree (BSc, BA)",NA,4,3,For,For
4,1646244360093,02/03/2022 18:06:00,1646244360060,0,02/03/2022 18:06:00,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,45,2,1,Screen 1,continueButton,response_rating_scale_likert_active,5634,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Veganism is very easy in modern times. If you care for animals and the environment it might be something worth doing.,24/02/2022 16:54,24/02/2022 17:03,R_3Ofgy4rEZ8ZwHB1,YES,Yes,Confident,NA,Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Rarely,Most months,19,Female,NA,No formal qualifications,NA,7,3,For,For
5,1646244362483,02/03/2022 18:06:02,1646244362445,0,02/03/2022 18:06:02,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,8,3,1,Screen 1,continueButton,response_rating_scale_likert_active,2363,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Because I want to reduce their environmental impact and carbon footprint.,24/02/2022 16:50,24/02/2022 16:54,R_2rv9z4vLZcwvFZX,YES,Yes,Confident,NA,Strongly Disagree,NA,NA,NA,Somewhat Disagree,Agree,Strongly Agree,NA,NA,NA,Strongly Agree,Agree,Agree,Most weeks,Most weeks,23,Female,NA,"Undergraduate degree (BSc, BA)",NA,1,2,For,For
6,1646244365131,02/03/2022 18:06:05,1646244365085,0,02/03/2022 18:06:05,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,17,4,1,Screen 1,continueButton,response_rating_scale_likert_active,2617,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I eat meat because it is the easiest way to get protein in my diet.,24/02/2022 16:48,24/02/2022 16:59,R_2Wx4CW5Ir4FULQt,YES,Yes,Somewhat Confident,NA,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,A few times a year,23,Female,NA,"Undergraduate degree (BSc, BA)",I really enjoyed this study. It was quite thought provoking and made me realise that I do not try to shove veganism down people's throat.,3,2,For,Against
7,1646244374332,02/03/2022 18:06:14,1646244374288,0,02/03/2022 18:06:14,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,15,5,1,Screen 1,continueButton,response_rating_scale_likert_active,9180,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I do not feel right about the way animals are bread and then killed. It is a privilege of the rich and that is harming the environment. (environment),24/02/2022 16:50,24/02/2022 16:58,R_2a8LTgFff8HGwLo,YES,Yes,Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Strongly Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Disagree,Rarely,A few times a year,23,Female,NA,"Undergraduate degree (BSc, BA)",NA,2,3,For,For
8,1646244377479,02/03/2022 18:06:17,1646244377437,0,02/03/2022 18:06:17,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,25,6,1,Screen 1,continueButton,response_rating_scale_likert_active,3125,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,For ethical reasons and believes,24/02/2022 16:53,24/02/2022 17:01,R_3kb6UAVBbutvyD6,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Agree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once or twice a year,Most weeks,22,Female,NA,"Undergraduate degree (BSc, BA)",NA,4,1,For,For
9,1646244383160,02/03/2022 18:06:23,1646244383120,0,02/03/2022 18:06:23,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,19,7,1,Screen 1,continueButton,response_rating_scale_likert_active,5659,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I am vegan because I am against human cruelty.,24/02/2022 16:48,24/02/2022 16:59,R_2Wx4CW5Ir4FULQt,YES,Yes,Somewhat Confident,NA,Strongly Agree,NA,NA,NA,Neither Agree nor Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,A few times a year,23,Female,NA,"Undergraduate degree (BSc, BA)",I really enjoyed this study. It was quite thought provoking and made me realise that I do not try to shove veganism down people's throat.,3,1,For,For
10,1646244388473,02/03/2022 18:06:28,1646244388435,0,02/03/2022 18:06:28,81174,6,task-t3d4,NA,19994452,5923157,NA,complete,NA,621fb1babfe358e9a497251d,mobile,Apple iPhone,iOS 15.2.1,Safari undefined,414x896,800x339,NA,ITT Ratings,4,for,first_60_vegan,first_60_vegan,39,8,1,Screen 1,continueButton,response_rating_scale_likert_active,5291.000000000007,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I am vegan because my family is also vegan,24/02/2022 16:58,24/02/2022 17:03,R_12SwVlFWhtN72N2,YES,Yes,Somewhat Confident,NA,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Rarely,Once or twice a year,24,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,6,3,For,For
