Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1646330000000,03/03/2022 17:43,1646330000000,0,03/03/2022 17:43,81174,8,task-7ecc,NA,20031357,5933328,NA,complete,NA,6220fe39c3a168eb754d27e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.71,1440x900,1440x635,NA,ITT Ratings,7,for,7,sev_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1646330000000,03/03/2022 17:43,1646330000000,0,03/03/2022 17:43,81174,8,task-7ecc,NA,20031357,5933328,NA,complete,NA,6220fe39c3a168eb754d27e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.71,1440x900,1440x635,NA,ITT Ratings,7,for,7,sev_60_vegan,sev_60_vegan,1,1,1,Screen 1,advancementZone,continue_button,2758.9,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1646330000000,03/03/2022 17:44,1646330000000,0,03/03/2022 17:44,81174,8,task-7ecc,NA,20031357,5933328,NA,complete,NA,6220fe39c3a168eb754d27e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.71,1440x900,1440x635,NA,ITT Ratings,7,for,7,sev_60_vegan,sev_60_vegan,45,1,1,Screen 1,continueButton,response_rating_scale_likert_active,7577.5,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"Care for climate, global warming which is affected by meat industry",1,24/02/2022 17:25,24/02/2022 17:28,R_24INs2xClzxiedu,YES,Yes,Confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,A few times a year,A few times a year,23,Female,NA,GCSEs,NA,67,3,For,For
4,1646330000000,03/03/2022 17:44,1646330000000,0,03/03/2022 17:44,81174,8,task-7ecc,NA,20031357,5933328,NA,complete,NA,6220fe39c3a168eb754d27e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.71,1440x900,1440x635,NA,ITT Ratings,7,for,7,sev_60_vegan,sev_60_vegan,15,2,1,Screen 1,continueButton,response_rating_scale_likert_active,2795.8,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,helps prevent disease,1,24/02/2022 17:18,24/02/2022 17:26,R_1KwHwwFQyfXw82W,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Strongly Disagree,Somewhat Disagree,Strongly Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,A few times a year,A few times a year,29,Male,NA,"Undergraduate degree (BSc, BA)",NA,62,3,For,For
5,1646330000000,03/03/2022 17:44,1646330000000,0,03/03/2022 17:44,81174,8,task-7ecc,NA,20031357,5933328,NA,complete,NA,6220fe39c3a168eb754d27e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.71,1440x900,1440x635,NA,ITT Ratings,7,for,7,sev_60_vegan,sev_60_vegan,61,3,1,Screen 1,continueButton,response_rating_scale_likert_active,3466.4,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"For the empathy on the animals, put yourself in their situation and what they live.",1,24/02/2022 17:22,24/02/2022 17:29,R_1myjcwpx629ZgSE,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Agree,Agree,Somewhat Agree,Rarely,Most weeks,24,Male,NA,"Undergraduate degree (BSc, BA)",NA,70,1,For,For
6,1646330000000,03/03/2022 17:44,1646330000000,0,03/03/2022 17:44,81174,8,task-7ecc,NA,20031357,5933328,NA,complete,NA,6220fe39c3a168eb754d27e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.71,1440x900,1440x635,NA,ITT Ratings,7,for,7,sev_60_vegan,sev_60_vegan,56,4,1,Screen 1,continueButton,response_rating_scale_likert_active,4154.6,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,You can live healthily without consuming animals who are sentient beings capable of pain & suffering so why eat them?,1,24/02/2022 17:19,24/02/2022 17:29,R_1LANX49wzEhjk1L,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Strongly Agree,Strongly Agree,Somewhat Agree,A few times a year,Rarely,57,Male,NA,"Undergraduate degree (BSc, BA)",NA,69,2,For,For
7,1646330000000,03/03/2022 17:44,1646330000000,0,03/03/2022 17:44,81174,8,task-7ecc,NA,20031357,5933328,NA,complete,NA,6220fe39c3a168eb754d27e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.71,1440x900,1440x635,NA,ITT Ratings,7,for,7,sev_60_vegan,sev_60_vegan,60,5,1,Screen 1,continueButton,response_rating_scale_likert_active,2258.6,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,don't want to,1,24/02/2022 17:22,24/02/2022 17:29,R_1myjcwpx629ZgSE,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Agree,Agree,Somewhat Agree,Rarely,Most weeks,24,Male,NA,"Undergraduate degree (BSc, BA)",NA,70,3,For,Against
8,1646330000000,03/03/2022 17:44,1646330000000,0,03/03/2022 17:44,81174,8,task-7ecc,NA,20031357,5933328,NA,complete,NA,6220fe39c3a168eb754d27e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.71,1440x900,1440x635,NA,ITT Ratings,7,for,7,sev_60_vegan,sev_60_vegan,62,6,1,Screen 1,continueButton,response_rating_scale_likert_active,5072.5,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"Ambient, how much the agriculture and animal farming destroy the ambient, from co2, to deforestation etc.",1,24/02/2022 17:22,24/02/2022 17:29,R_1myjcwpx629ZgSE,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Agree,Agree,Somewhat Agree,Rarely,Most weeks,24,Male,NA,"Undergraduate degree (BSc, BA)",NA,70,2,For,For
9,1646330000000,03/03/2022 17:44,1646330000000,0,03/03/2022 17:44,81174,8,task-7ecc,NA,20031357,5933328,NA,complete,NA,6220fe39c3a168eb754d27e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.71,1440x900,1440x635,NA,ITT Ratings,7,for,7,sev_60_vegan,sev_60_vegan,50,7,1,Screen 1,continueButton,response_rating_scale_likert_active,7176.3,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Meat and animal products are unhealthy and do not have any nutritional value as they man made and not from nature,1,24/02/2022 17:07,24/02/2022 17:28,R_3M5c9iE5E9TfIuB,YES,Yes,Very confident,NA,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Most days,Most days,32,Female,NA,"Undergraduate degree (BSc, BA)",I just want to mention that I have been on an alkaline vegan diet for almost 4 years now and it has been an amazing journey so far. I'm happy to have taken this study.,68,2,For,For
10,1646330000000,03/03/2022 17:44,1646330000000,0,03/03/2022 17:44,81174,8,task-7ecc,NA,20031357,5933328,NA,complete,NA,6220fe39c3a168eb754d27e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 97.0.4692.71,1440x900,1440x635,NA,ITT Ratings,7,for,7,sev_60_vegan,sev_60_vegan,37,8,1,Screen 1,continueButton,response_rating_scale_likert_active,2003.4,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,ethics- do not want to contribute to the suffering of animals,1,24/02/2022 17:22,24/02/2022 17:27,R_UKnDt4Xno14ZKFj,YES,Yes,Very confident,NA,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Once or twice a year,Once or twice a year,24,Female,NA,"Undergraduate degree (BSc, BA)",NA,66,1,For,For
