Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1646330000000,03/03/2022 17:47,1646330000000,0,03/03/2022 17:47,81174,8,task-au9x,NA,20031550,5933395,NA,complete,NA,6220ff1250f24439414103b9,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.62,1280x720,1280x609,NA,ITT Ratings,7,for,9,nin_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1646330000000,03/03/2022 17:47,1646330000000,0,03/03/2022 17:47,81174,8,task-au9x,NA,20031550,5933395,NA,complete,NA,6220ff1250f24439414103b9,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.62,1280x720,1280x609,NA,ITT Ratings,7,for,9,nin_60_vegan,nin_60_vegan,1,1,1,Screen 1,advancementZone,continue_button,8837.9,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1646330000000,03/03/2022 17:48,1646330000000,0,03/03/2022 17:48,81174,8,task-au9x,NA,20031550,5933395,NA,complete,NA,6220ff1250f24439414103b9,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.62,1280x720,1280x609,NA,ITT Ratings,7,for,9,nin_60_vegan,nin_60_vegan,43,1,1,Screen 1,continueButton,response_rating_scale_likert_active,6154.2,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"animal welfare, cruel to keep animals locked up and kill them",1,24/02/2022 17:30,24/02/2022 17:36,R_3G20fRCBW0o3xSm,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Strongly Agree,NA,NA,NA,Strongly Agree,Somewhat Agree,Somewhat Agree,A few times a year,Most weeks,30,Female,NA,A levels,NA,87,1,For,For
4,1646330000000,03/03/2022 17:48,1646330000000,0,03/03/2022 17:48,81174,8,task-au9x,NA,20031550,5933395,NA,complete,NA,6220ff1250f24439414103b9,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.62,1280x720,1280x609,NA,ITT Ratings,7,for,9,nin_60_vegan,nin_60_vegan,63,2,1,Screen 1,continueButton,response_rating_scale_likert_active,5454.8,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"It will make your life better, you will be more healthy!",1,24/02/2022 17:33,24/02/2022 17:39,R_1OiAUEfuDwfN0ES,YES,Yes,Confident,NA,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Most months,Most weeks,36,Male,NA,"Undergraduate degree (BSc, BA)","I'm always interested in taking part in study about be Vegan, and everything around it. Thank you!",90,3,For,For
5,1646330000000,03/03/2022 17:48,1646330000000,0,03/03/2022 17:48,81174,8,task-au9x,NA,20031550,5933395,NA,complete,NA,6220ff1250f24439414103b9,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.62,1280x720,1280x609,NA,ITT Ratings,7,for,9,nin_60_vegan,nin_60_vegan,2,3,1,Screen 1,continueButton,response_rating_scale_likert_active,4635.3,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select “Somewhat Agree” for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check1,NA,NA
6,1646330000000,03/03/2022 17:48,1646330000000,0,03/03/2022 17:48,81174,8,task-au9x,NA,20031550,5933395,NA,complete,NA,6220ff1250f24439414103b9,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.62,1280x720,1280x609,NA,ITT Ratings,7,for,9,nin_60_vegan,nin_60_vegan,49,4,1,Screen 1,continueButton,response_rating_scale_likert_active,4984.3,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I don't believe that animals are for human consumption and do not want to cause harm to another sentient being.,1,24/02/2022 17:24,24/02/2022 17:37,R_1n1PiVEhIpOFVNk,YES,Yes,Confident,NA,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,NA,NA,NA,Agree,Somewhat Agree,Neither Agree nor Disagree,Most weeks,Most months,45,Female,NA,"Undergraduate degree (BSc, BA)",NA,88,1,For,For
7,1646330000000,03/03/2022 17:48,1646330000000,0,03/03/2022 17:48,81174,8,task-au9x,NA,20031550,5933395,NA,complete,NA,6220ff1250f24439414103b9,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.62,1280x720,1280x609,NA,ITT Ratings,7,for,9,nin_60_vegan,nin_60_vegan,48,5,1,Screen 1,continueButton,response_rating_scale_likert_active,5668.5,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I'm not worried that an animal has to die for me to eat a burger,1,24/02/2022 17:24,24/02/2022 17:37,R_1n1PiVEhIpOFVNk,YES,Yes,Confident,NA,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,NA,NA,NA,Agree,Somewhat Agree,Neither Agree nor Disagree,Most weeks,Most months,45,Female,NA,"Undergraduate degree (BSc, BA)",NA,88,3,For,Against
8,1646330000000,03/03/2022 17:48,1646330000000,0,03/03/2022 17:48,81174,8,task-au9x,NA,20031550,5933395,NA,complete,NA,6220ff1250f24439414103b9,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.62,1280x720,1280x609,NA,ITT Ratings,7,for,9,nin_60_vegan,nin_60_vegan,52,6,1,Screen 1,continueButton,response_rating_scale_likert_active,12565.1,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,You do not get enough protein and you will become deficient in B12 and maybe folates/iron. It is not healthy to fully omit a food group from your diet and meat/eggs are great sources of protein.,1,24/02/2022 17:25,24/02/2022 17:38,R_8jHCaehiPsjcVTH,YES,Yes,Confident,NA,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Agree,NA,NA,NA,Agree,Agree,Agree,Most weeks,Most weeks,50,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,89,1,For,Against
9,1646330000000,03/03/2022 17:48,1646330000000,0,03/03/2022 17:48,81174,8,task-au9x,NA,20031550,5933395,NA,complete,NA,6220ff1250f24439414103b9,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.62,1280x720,1280x609,NA,ITT Ratings,7,for,9,nin_60_vegan,nin_60_vegan,31,7,1,Screen 1,continueButton,response_rating_scale_likert_active,2081.3,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It's good for a healthy life,1,24/02/2022 17:29,24/02/2022 17:35,R_3EAcrcrWmtirugX,YES,Yes,Confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Once or twice a year,Most months,28,Male,NA,"Undergraduate degree (BSc, BA)",NA,85,1,For,For
10,1646330000000,03/03/2022 17:48,1646330000000,0,03/03/2022 17:48,81174,8,task-au9x,NA,20031550,5933395,NA,complete,NA,6220ff1250f24439414103b9,computer,Desktop or Laptop,Windows 10,Edge 98.0.1108.62,1280x720,1280x609,NA,ITT Ratings,7,for,9,nin_60_vegan,nin_60_vegan,60,8,1,Screen 1,continueButton,response_rating_scale_likert_active,3918.5,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Be Vegan is not healthy.... No proteins!,1,24/02/2022 17:33,24/02/2022 17:39,R_1OiAUEfuDwfN0ES,YES,Yes,Confident,NA,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Most months,Most weeks,36,Male,NA,"Undergraduate degree (BSc, BA)","I'm always interested in taking part in study about be Vegan, and everything around it. Thank you!",90,3,For,Against
