Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1646330000000,03/03/2022 19:03,1646330000000,0,03/03/2022 19:03,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1646330000000,03/03/2022 19:03,1646330000000,0,03/03/2022 19:03,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,1,1,1,Screen 1,advancementZone,continue_button,14425,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1646330000000,03/03/2022 19:03,1646330000000,0,03/03/2022 19:03,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,57,1,1,Screen 1,continueButton,response_rating_scale_likert_active,7090,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I do not like the taste of meat or dairy products.,1,24/02/2022 17:21,24/02/2022 17:25,R_1dHoxQwmo1z2XBI,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,A few times a year,Most months,33,Male,NA,"Undergraduate degree (BSc, BA)",NA,59,3,For,For
4,1646330000000,03/03/2022 19:03,1646330000000,0,03/03/2022 19:03,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,59,2,1,Screen 1,continueButton,response_rating_scale_likert_active,10721,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I am working out and need to get loads of protein,1,24/02/2022 17:16,24/02/2022 17:25,R_bBNHubc5786f5df,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Agree,Rarely,Most months,66,Male,NA,Vocational Training / Apprenticeship,NA,60,2,For,Against
5,1646330000000,03/03/2022 19:03,1646330000000,0,03/03/2022 19:03,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,16,3,1,Screen 1,continueButton,response_rating_scale_likert_active,5433,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Killing animals is part of food chain,1,24/02/2022 17:17,24/02/2022 17:23,R_r6nyEiyS9n8agaR,YES,Yes,Confident,NA,Neither Agree nor Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Most months,Most weeks,19,Male,NA,"Undergraduate degree (BSc, BA)",NA,53,1,For,Against
6,1646330000000,03/03/2022 19:03,1646330000000,0,03/03/2022 19:03,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,38,4,1,Screen 1,continueButton,response_rating_scale_likert_active,9788,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Protecting wildlife - ensuring that habitats and ecosystems are not destroyed in the process of extensive farming,1,24/02/2022 17:19,24/02/2022 17:23,R_1QawN5ZuKrZKU9c,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Disagree,A few times a year,Most months,25,Male,NA,"Undergraduate degree (BSc, BA)",NA,56,2,For,For
7,1646330000000,03/03/2022 19:04,1646330000000,0,03/03/2022 19:04,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,53,5,1,Screen 1,continueButton,response_rating_scale_likert_active,5759,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"I do not consider the act of eating meat/dairy as unethical, I believe it is natural/human nature.",1,24/02/2022 17:21,24/02/2022 17:25,R_1dHoxQwmo1z2XBI,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,A few times a year,Most months,33,Male,NA,"Undergraduate degree (BSc, BA)",NA,59,2,For,Against
8,1646330000000,03/03/2022 19:04,1646330000000,0,03/03/2022 19:04,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,6,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2791,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,God created animals for us to eat them,1,24/02/2022 17:18,24/02/2022 17:22,R_3DumFhPRhK42LLi,YES,Yes,Somewhat Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,Rarely,Once or twice a year,31,Male,NA,A levels,NA,51,3,For,Against
9,1646330000000,03/03/2022 19:04,1646330000000,0,03/03/2022 19:04,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,32,7,1,Screen 1,continueButton,response_rating_scale_likert_active,6807,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Attempt to tackle Climate change,1,24/02/2022 17:13,24/02/2022 17:23,R_WprIpA7ezJENV1T,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Disagree,A few times a year,Once or twice a year,42,Male,NA,"Undergraduate degree (BSc, BA)",NA,55,2,For,For
10,1646330000000,03/03/2022 19:04,1646330000000,0,03/03/2022 19:04,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,55,8,1,Screen 1,continueButton,response_rating_scale_likert_active,4125,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I am against harming/killing animals for food/clothes/cosmetics etc.,1,24/02/2022 17:21,24/02/2022 17:25,R_1dHoxQwmo1z2XBI,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,A few times a year,Most months,33,Male,NA,"Undergraduate degree (BSc, BA)",NA,59,1,For,For
11,1646330000000,03/03/2022 19:04,1646330000000,0,03/03/2022 19:04,81174,8,task-iytf,NA,20034376,5934182,NA,complete,NA,6221109dc11e48679826beda,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.3,2560x1440,2560x1282,NA,ITT Ratings,7,for,6,six_60_vegan,six_60_vegan,61,9,1,Screen 1,continueButton,response_rating_scale_likert_active,5210,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It is part of my heritage and culture of where I grew up,1,24/02/2022 17:16,24/02/2022 17:25,R_bBNHubc5786f5df,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Agree,Rarely,Most months,66,Male,NA,Vocational Training / Apprenticeship,NA,60,1,For,For
