Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1646330000000,03/03/2022 17:57,1646330000000,0,03/03/2022 17:57,81174,8,task-l3ey,NA,20031985,5933541,NA,complete,NA,622101646e084c3abcfb4287,mobile,Apple iPhone,iOS 15.3,Chrome 98.0.4758.97,414x896,896x358,NA,ITT Ratings,7,for,10,ten_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1646330000000,03/03/2022 17:57,1646330000000,0,03/03/2022 17:57,81174,8,task-l3ey,NA,20031985,5933541,NA,complete,NA,622101646e084c3abcfb4287,mobile,Apple iPhone,iOS 15.3,Chrome 98.0.4758.97,414x896,808x358,NA,ITT Ratings,7,for,10,ten_60_vegan,ten_60_vegan,1,1,1,Screen 1,advancementZone,continue_button,5239,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1646330000000,03/03/2022 17:58,1646330000000,0,03/03/2022 17:58,81174,8,task-l3ey,NA,20031985,5933541,NA,complete,NA,622101646e084c3abcfb4287,mobile,Apple iPhone,iOS 15.3,Chrome 98.0.4758.97,414x896,808x358,NA,ITT Ratings,7,for,10,ten_60_vegan,ten_60_vegan,26,1,1,Screen 1,continueButton,response_rating_scale_likert_active,5360,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,its sustainable/kinder to the planet,1,24/02/2022 17:29,24/02/2022 17:44,R_3JDlzhb83Viqk2g,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Somewhat Agree,Agree,Agree,NA,NA,NA,Strongly Agree,Strongly Agree,Somewhat Agree,Never,Most months,34,Non-binary,NA,GCSEs,NA,94,2,For,For
4,1646330000000,03/03/2022 17:58,1646330000000,0,03/03/2022 17:58,81174,8,task-l3ey,NA,20031985,5933541,NA,complete,NA,622101646e084c3abcfb4287,mobile,Apple iPhone,iOS 15.3,Chrome 98.0.4758.97,414x896,808x358,NA,ITT Ratings,7,for,10,ten_60_vegan,ten_60_vegan,21,2,1,Screen 1,continueButton,response_rating_scale_likert_active,11132,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,To be healthier and more energetic overall in the short term as well as the long term.,1,24/02/2022 17:28,24/02/2022 17:41,R_3L280PW7dpB5NW2,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,A few times a year,Most weeks,22,Male,NA,GCSEs,NA,93,3,For,For
5,1646330000000,03/03/2022 17:58,1646330000000,0,03/03/2022 17:58,81174,8,task-l3ey,NA,20031985,5933541,NA,complete,NA,622101646e084c3abcfb4287,mobile,Apple iPhone,iOS 15.3,Chrome 98.0.4758.97,414x896,808x358,NA,ITT Ratings,7,for,10,ten_60_vegan,ten_60_vegan,2,3,1,Screen 1,continueButton,response_rating_scale_likert_active,3749,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select “Somewhat Agree” for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check1,NA,NA
6,1646330000000,03/03/2022 17:58,1646330000000,0,03/03/2022 17:58,81174,8,task-l3ey,NA,20031985,5933541,NA,complete,NA,622101646e084c3abcfb4287,mobile,Apple iPhone,iOS 15.3,Chrome 98.0.4758.97,414x896,808x358,NA,ITT Ratings,7,for,10,ten_60_vegan,ten_60_vegan,17,4,1,Screen 1,continueButton,response_rating_scale_likert_active,9194,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Going vegan wouldn't stop the rest of the world from eating animal products.,1,24/02/2022 17:28,24/02/2022 17:41,R_3L280PW7dpB5NW2,YES,Yes,Very confident,NA,Disagree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Agree,A few times a year,Most weeks,22,Male,NA,GCSEs,NA,93,2,For,Against
7,1646330000000,03/03/2022 17:58,1646330000000,0,03/03/2022 17:58,81174,8,task-l3ey,NA,20031985,5933541,NA,complete,NA,622101646e084c3abcfb4287,mobile,Apple iPhone,iOS 15.3,Chrome 98.0.4758.97,414x896,808x358,NA,ITT Ratings,7,for,10,ten_60_vegan,ten_60_vegan,47,5,1,Screen 1,continueButton,response_rating_scale_likert_active,4570,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,because I don't believe we can get the same nutrients by eating plants,1,24/02/2022 17:00,24/02/2022 17:09,R_10Bp4CWOeR1VPqo,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,NA,NA,NA,Strongly Agree,Strongly Agree,Strongly Agree,Most weeks,Most days,28,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,98,2,For,Against
8,1646330000000,03/03/2022 17:58,1646330000000,0,03/03/2022 17:58,81174,8,task-l3ey,NA,20031985,5933541,NA,complete,NA,622101646e084c3abcfb4287,mobile,Apple iPhone,iOS 15.3,Chrome 98.0.4758.97,414x896,808x358,NA,ITT Ratings,7,for,10,ten_60_vegan,ten_60_vegan,27,6,1,Screen 1,continueButton,response_rating_scale_likert_active,3037,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,its immoral to eat animals,1,24/02/2022 17:29,24/02/2022 17:44,R_3JDlzhb83Viqk2g,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Somewhat Agree,Agree,Agree,NA,NA,NA,Strongly Agree,Strongly Agree,Somewhat Agree,Never,Most months,34,Non-binary,NA,GCSEs,NA,94,3,For,For
9,1646330000000,03/03/2022 17:58,1646330000000,0,03/03/2022 17:58,81174,8,task-l3ey,NA,20031985,5933541,NA,complete,NA,622101646e084c3abcfb4287,mobile,Apple iPhone,iOS 15.3,Chrome 98.0.4758.97,414x896,808x358,NA,ITT Ratings,7,for,10,ten_60_vegan,ten_60_vegan,54,7,1,Screen 1,continueButton,response_rating_scale_likert_active,2799,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I think that veganism is too expensive and I'd have to spend alot of money on meat and dairy alternatives,1,24/02/2022 17:01,24/02/2022 17:29,R_1msk4PkUjw8HPjr,YES,Yes,Somewhat Confident,NA,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Disagree,Disagree,Disagree,Rarely,Once or twice a year,48,Female,NA,A levels,NA,99,3,For,Against
10,1646330000000,03/03/2022 17:58,1646330000000,0,03/03/2022 17:58,81174,8,task-l3ey,NA,20031985,5933541,NA,complete,NA,622101646e084c3abcfb4287,mobile,Apple iPhone,iOS 15.3,Chrome 98.0.4758.97,414x896,808x358,NA,ITT Ratings,7,for,10,ten_60_vegan,ten_60_vegan,51,8,1,Screen 1,continueButton,response_rating_scale_likert_active,3204,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,because there's no need for us to harm animals if we can get the same and better nutrients by eating plants,1,24/02/2022 17:00,24/02/2022 17:09,R_10Bp4CWOeR1VPqo,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,NA,NA,NA,Strongly Agree,Strongly Agree,Strongly Agree,Most weeks,Most days,28,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,98,3,For,For
