Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1646340000000,03/03/2022 19:18,1646340000000,1,03/03/2022 20:18,81174,8,task-octl,NA,20034907,5934349,NA,complete,NA,62211430a0878fc3afba53ce,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1360x768,1360x615,NA,ITT Ratings,7,for,4,fou_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1646340000000,03/03/2022 19:18,1646340000000,1,03/03/2022 20:18,81174,8,task-octl,NA,20034907,5934349,NA,complete,NA,62211430a0878fc3afba53ce,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1360x768,1360x615,NA,ITT Ratings,7,for,4,fou_60_vegan,fou_60_vegan,1,1,1,Screen 1,advancementZone,continue_button,5789,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1646340000000,03/03/2022 19:18,1646340000000,1,03/03/2022 20:18,81174,8,task-octl,NA,20034907,5934349,NA,complete,NA,62211430a0878fc3afba53ce,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1360x768,1360x615,NA,ITT Ratings,7,for,4,fou_60_vegan,fou_60_vegan,3,1,1,Screen 1,continueButton,response_rating_scale_likert_active,11035,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,We would like to check you are reading each argument carefully. Please select “Somewhat Disagree” for this answer,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,check2,NA,NA
4,1646340000000,03/03/2022 19:18,1646340000000,1,03/03/2022 20:18,81174,8,task-octl,NA,20034907,5934349,NA,complete,NA,62211430a0878fc3afba53ce,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1360x768,1360x615,NA,ITT Ratings,7,for,4,fou_60_vegan,fou_60_vegan,43,2,1,Screen 1,continueButton,response_rating_scale_likert_active,7944,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"It is great for your health since you normally have to prepare your own food from ""scratch"", and you get to know what is in them as well as how much effort",1,24/02/2022 17:05,24/02/2022 17:19,R_3kNjhO6b7eqWLm9,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Agree,Rarely,Most days,21,Female,NA,"Undergraduate degree (BSc, BA)","Great topic, I wonder what the answers of non-vegan people were...?",37,1,For,For
5,1646340000000,03/03/2022 19:18,1646340000000,1,03/03/2022 20:18,81174,8,task-octl,NA,20034907,5934349,NA,complete,NA,62211430a0878fc3afba53ce,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1360x768,1360x615,NA,ITT Ratings,7,for,4,fou_60_vegan,fou_60_vegan,47,3,1,Screen 1,continueButton,response_rating_scale_likert_active,4129,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,"More convenient, can eat anywhere, doesn't have to worry too much.",1,24/02/2022 17:10,24/02/2022 17:19,R_2YKsjZWWvEOnlp8,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Agree,Agree,Strongly Agree,NA,NA,NA,Strongly Agree,Strongly Agree,Strongly Agree,Rarely,Most months,25,Male,NA,"Undergraduate degree (BSc, BA)",NA,38,2,For,Against
6,1646340000000,03/03/2022 19:18,1646340000000,1,03/03/2022 20:18,81174,8,task-octl,NA,20034907,5934349,NA,complete,NA,62211430a0878fc3afba53ce,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1360x768,1360x615,NA,ITT Ratings,7,for,4,fou_60_vegan,fou_60_vegan,41,4,1,Screen 1,continueButton,response_rating_scale_likert_active,3154,NA,NA,Somewhat Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Where will I get my protein from????,1,24/02/2022 17:05,24/02/2022 17:19,R_3kNjhO6b7eqWLm9,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Agree,Agree,NA,NA,NA,Agree,Somewhat Agree,Somewhat Agree,Rarely,Most days,21,Female,NA,"Undergraduate degree (BSc, BA)","Great topic, I wonder what the answers of non-vegan people were...?",37,2,For,Against
7,1646340000000,03/03/2022 19:18,1646340000000,1,03/03/2022 20:18,81174,8,task-octl,NA,20034907,5934349,NA,complete,NA,62211430a0878fc3afba53ce,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1360x768,1360x615,NA,ITT Ratings,7,for,4,fou_60_vegan,fou_60_vegan,10,5,1,Screen 1,continueButton,response_rating_scale_likert_active,5474,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Humans evolved to eat meat - animals eat meat too,1,24/02/2022 17:12,24/02/2022 17:17,R_2xMfvhbEG1RYzCa,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,Once or twice a year,Most months,26,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,32,1,For,Against
8,1646340000000,03/03/2022 19:18,1646340000000,1,03/03/2022 20:18,81174,8,task-octl,NA,20034907,5934349,NA,complete,NA,62211430a0878fc3afba53ce,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1360x768,1360x615,NA,ITT Ratings,7,for,4,fou_60_vegan,fou_60_vegan,20,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2123,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I want to be healthier,1,24/02/2022 17:10,24/02/2022 17:17,R_bdYSy4aF3jV9BUB,YES,Yes,Very confident,NA,Neither Agree nor Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Somewhat Disagree,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Disagree,Rarely,Most weeks,44,Female,NA,"Undergraduate degree (BSc, BA)",NA,33,2,For,For
9,1646340000000,03/03/2022 19:18,1646340000000,1,03/03/2022 20:18,81174,8,task-octl,NA,20034907,5934349,NA,complete,NA,62211430a0878fc3afba53ce,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1360x768,1360x615,NA,ITT Ratings,7,for,4,fou_60_vegan,fou_60_vegan,24,7,1,Screen 1,continueButton,response_rating_scale_likert_active,5632,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I think it's too much trouble and it's easier to eat meat,1,24/02/2022 17:12,24/02/2022 17:17,R_6Mya9GUG6Y5VeYF,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Strongly Disagree,Once or twice a year,Rarely,60,Non-binary,NA,"Undergraduate degree (BSc, BA)",NA,34,3,For,Against
10,1646340000000,03/03/2022 19:18,1646340000000,1,03/03/2022 20:18,81174,8,task-octl,NA,20034907,5934349,NA,complete,NA,62211430a0878fc3afba53ce,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1360x768,1360x615,NA,ITT Ratings,7,for,4,fou_60_vegan,fou_60_vegan,28,8,1,Screen 1,continueButton,response_rating_scale_likert_active,3640,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I like a certain food too much (cheese),1,24/02/2022 17:15,24/02/2022 17:18,R_3IaxXYAwxdOmeN0,YES,Yes,Confident,NA,Agree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Disagree,Disagree,Disagree,Most weeks,Most weeks,23,Female,NA,"Undergraduate degree (BSc, BA)",NA,35,1,For,Against
