Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1650000000000,03/03/2022 18:00,1650000000000,0,03/03/2022 18:00,81174,8,task-ogmx,NA,20032098,5933561,NA,complete,NA,622101decf84398682be6691,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x969,NA,ITT Ratings,7,for,8,eig_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1650000000000,03/03/2022 18:00,1650000000000,0,03/03/2022 18:00,81174,8,task-ogmx,NA,20032098,5933561,NA,complete,NA,622101decf84398682be6691,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x969,NA,ITT Ratings,7,for,8,eig_60_vegan,eig_60_vegan,1,1,1,Screen 1,advancementZone,continue_button,7580.1,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1650000000000,03/03/2022 18:01,1650000000000,0,03/03/2022 18:01,81174,8,task-ogmx,NA,20032098,5933561,NA,complete,NA,622101decf84398682be6691,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x969,NA,ITT Ratings,7,for,8,eig_60_vegan,eig_60_vegan,10,1,1,Screen 1,continueButton,response_rating_scale_likert_active,52430.3,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Not being able to make my own choices about my diet and lifestyle because I depend on others and others depend on me,1,24/02/2022 17:18,24/02/2022 17:30,R_RDG1c1L5vAMIweJ,YES,Yes,Doubtful,NA,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Somewhat Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Most months,Most weeks,22,Female,NA,"Undergraduate degree (BSc, BA)",NA,72,1,For,Against
4,1650000000000,03/03/2022 18:01,1650000000000,0,03/03/2022 18:01,81174,8,task-ogmx,NA,20032098,5933561,NA,complete,NA,622101decf84398682be6691,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x969,NA,ITT Ratings,7,for,8,eig_60_vegan,eig_60_vegan,53,2,1,Screen 1,continueButton,response_rating_scale_likert_active,5341.4,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Couldn't give up cheese,1,24/02/2022 17:29,24/02/2022 17:33,R_2aLgVs0bTGQm6HJ,YES,Yes,Very confident,NA,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,A few times a year,A few times a year,37,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,79,2,For,Against
5,1650000000000,03/03/2022 18:01,1650000000000,0,03/03/2022 18:01,81174,8,task-ogmx,NA,20032098,5933561,NA,complete,NA,622101decf84398682be6691,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x969,NA,ITT Ratings,7,for,8,eig_60_vegan,eig_60_vegan,38,3,1,Screen 1,continueButton,response_rating_scale_likert_active,19092.7,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"Going vegan is a great opportunity to learn more about nutrition and cooking, and improve your diet. Getting your nutrients from plant foods allows more room in your diet for health-promoting options",1,24/02/2022 17:18,24/02/2022 17:31,R_2BqvWFBXdGLRrK8,YES,Yes,Very confident,NA,Neither Agree nor Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Once or twice a year,Most months,28,Non-binary,NA,Vocational Training / Apprenticeship,NA,76,2,For,For
6,1650000000000,03/03/2022 18:01,1650000000000,0,03/03/2022 18:01,81174,8,task-ogmx,NA,20032098,5933561,NA,complete,NA,622101decf84398682be6691,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x969,NA,ITT Ratings,7,for,8,eig_60_vegan,eig_60_vegan,54,4,1,Screen 1,continueButton,response_rating_scale_likert_active,3688,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Animals exist for humans to eat them,1,24/02/2022 17:29,24/02/2022 17:33,R_2aLgVs0bTGQm6HJ,YES,Yes,Very confident,NA,Neither Agree nor Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,A few times a year,A few times a year,37,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,79,3,For,Against
7,1650000000000,03/03/2022 18:01,1650000000000,0,03/03/2022 18:01,81174,8,task-ogmx,NA,20032098,5933561,NA,complete,NA,622101decf84398682be6691,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x969,NA,ITT Ratings,7,for,8,eig_60_vegan,eig_60_vegan,27,5,1,Screen 1,continueButton,response_rating_scale_likert_active,3262,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"vegan diet has health benefits
",1,24/02/2022 17:27,24/02/2022 17:31,R_1fkgE6DeIADJJvL,YES,Yes,Somewhat Confident,NA,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Disagree,Most months,Most weeks,21,Female,NA,A levels,NA,74,3,For,For
8,1650000000000,03/03/2022 18:01,1650000000000,0,03/03/2022 18:01,81174,8,task-ogmx,NA,20032098,5933561,NA,complete,NA,622101decf84398682be6691,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x969,NA,ITT Ratings,7,for,8,eig_60_vegan,eig_60_vegan,43,6,1,Screen 1,continueButton,response_rating_scale_likert_active,4841.8,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I prefer the taste.,1,24/02/2022 17:30,24/02/2022 17:32,R_4H0wMPqXLrMB4vD,YES,Yes,Confident,NA,Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Disagree,Once or twice a year,A few times a year,30,Male,NA,"Undergraduate degree (BSc, BA)",NA,77,1,For,For
9,1650000000000,03/03/2022 18:01,1650000000000,0,03/03/2022 18:01,81174,8,task-ogmx,NA,20032098,5933561,NA,complete,NA,622101decf84398682be6691,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x969,NA,ITT Ratings,7,for,8,eig_60_vegan,eig_60_vegan,49,7,1,Screen 1,continueButton,response_rating_scale_likert_active,6924.6,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,As it is viewed as a more healthy option,1,24/02/2022 17:29,24/02/2022 17:33,R_rrJ93cdqUwvxVnj,YES,Yes,Very confident,NA,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Disagree,A few times a year,Most months,32,Female,NA,"Undergraduate degree (BSc, BA)",NA,78,1,For,For
10,1650000000000,03/03/2022 18:01,1650000000000,0,03/03/2022 18:01,81174,8,task-ogmx,NA,20032098,5933561,NA,complete,NA,622101decf84398682be6691,computer,Desktop or Laptop,Windows 10,Chrome 98.0.4758.102,1920x1080,1920x969,NA,ITT Ratings,7,for,8,eig_60_vegan,eig_60_vegan,50,8,1,Screen 1,continueButton,response_rating_scale_likert_active,3518.4,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,For the animals well-being,1,24/02/2022 17:29,24/02/2022 17:33,R_rrJ93cdqUwvxVnj,YES,Yes,Very confident,NA,Somewhat Agree,NA,NA,NA,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Disagree,A few times a year,Most months,32,Female,NA,"Undergraduate degree (BSc, BA)",NA,78,2,For,For
