Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1646420000000,04/03/2022 19:03,1646420000000,0,04/03/2022 19:03,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1646420000000,04/03/2022 19:03,1646420000000,0,04/03/2022 19:03,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,thi_60_vegan,1,1,1,Screen 1,advancementZone,continue_button,5915,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1646420000000,04/03/2022 19:03,1646420000000,0,04/03/2022 19:03,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,thi_60_vegan,45,1,1,Screen 1,continueButton,response_rating_scale_likert_active,4558,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To be a more healthy person.,1,24/02/2022 17:06,24/02/2022 17:15,R_2ZCj2oSHrpOuUTg,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Agree,A few times a year,Most weeks,25,Female,NA,"Undergraduate degree (BSc, BA)",NA,27,3,For,For
4,1646420000000,04/03/2022 19:03,1646420000000,0,04/03/2022 19:03,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1646420000000,04/03/2022 19:03,1646420000000,0,04/03/2022 19:03,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,thi_60_vegan,34,2,1,Screen 1,continueButton,response_rating_scale_likert_active,6850,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,I like the taste of meat.,1,24/02/2022 17:12,24/02/2022 17:15,R_1rk0PnHcDfXIQK2,YES,Yes,Somewhat Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,A few times a year,24,Non-binary,NA,"Undergraduate degree (BSc, BA)",NA,26,1,For,Against
6,1646420000000,04/03/2022 19:03,1646420000000,0,04/03/2022 19:03,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,thi_60_vegan,22,3,1,Screen 1,continueButton,response_rating_scale_likert_active,6774,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,For the taste of their food.,1,24/02/2022 16:54,24/02/2022 17:13,R_2zByLfvFx0V6G2B,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Strongly Disagree,Somewhat Agree,Strongly Agree,NA,NA,NA,Strongly Agree,Agree,Agree,A few times a year,A few times a year,21,Male,NA,"Undergraduate degree (BSc, BA)",NA,24,1,For,Against
7,1646420000000,04/03/2022 19:04,1646420000000,0,04/03/2022 19:04,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1646420000000,04/03/2022 19:04,1646420000000,0,04/03/2022 19:04,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,thi_60_vegan,25,4,1,Screen 1,continueButton,response_rating_scale_likert_active,8969,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"Against the animal exploitation, because more than 70 billion land animals are killed for food every year. Cows are raped repeatedly for milk until exhaustion and death, and separated from their calfs",1,24/02/2022 16:54,24/02/2022 17:13,R_2zByLfvFx0V6G2B,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Strongly Disagree,Somewhat Agree,Strongly Agree,NA,NA,NA,Strongly Agree,Agree,Agree,A few times a year,A few times a year,21,Male,NA,"Undergraduate degree (BSc, BA)",NA,24,1,For,For
9,1646420000000,04/03/2022 19:04,1646420000000,0,04/03/2022 19:04,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,thi_60_vegan,36,5,1,Screen 1,continueButton,response_rating_scale_likert_active,2476,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I want more natural nutrition.,1,24/02/2022 17:12,24/02/2022 17:15,R_1rk0PnHcDfXIQK2,YES,Yes,Somewhat Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Rarely,A few times a year,24,Non-binary,NA,"Undergraduate degree (BSc, BA)",NA,26,3,For,Against
10,1646420000000,04/03/2022 19:05,1646420000000,0,04/03/2022 19:05,81174,9,task-8jq2,NA,20083748,5947588,NA,complete,NA,622262469ba63e2f5cad93d4,mobile,Apple iPhone,iOS 15.3.1,Mobile Safari 15.3,375x812,712x292,NA,ITT Ratings,7,for,3,thi_60_vegan,thi_60_vegan,10,6,1,Screen 1,continueButton,response_rating_scale_likert_active,2433,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,It is easier to cook non-vegan.,1,24/02/2022 17:06,24/02/2022 17:12,R_2aRytINljELWwFe,YES,Yes,Very confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Somewhat Disagree,Somewhat Agree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Most months,Most weeks,24,Male,NA,Vocational Training / Apprenticeship,NA,22,1,For,Against
