Event.Index,UTC.Timestamp,UTC.Date,Local.Timestamp,Local.Timezone,Local.Date,Experiment.ID,Experiment.Version,Tree.Node.Key,Repeat.Key,Schedule.ID,Participant.Private.ID,Participant.Starting.Group,Participant.Status,Participant.Completion.Code,Participant.External.Session.ID,Participant.Device.Type,Participant.Device,Participant.OS,Participant.Browser,Participant.Monitor.Size,Participant.Viewport.Size,Checkpoint,Task.Name,Task.Version,branch.69an,randomiser.8vg2,Spreadsheet,Spreadsheet.Name,Spreadsheet.Row,Trial.Number,Screen.Number,Screen.Name,Zone.Name,Zone.Type,Reaction.Time,Reaction.Onset,Response.Type,Response,Attempt,Correct,Incorrect,Dishonest,X.Coordinate,Y.Coordinate,Timed.Out,randomise_blocks,randomise_trials,display,Arguments,ShowProgressBar,StartDate,EndDate,ResponseId,CONSENT,Vegan,veg_conf,stanely_V,stanley_Nv,intellectual_v_1,intellectual_v_2,intellectual_v_3,intellectual_Nv_1,intellectual_Nv_2,intellectual_Nv_3,morality_v_1,morality_v_2,morality_v_3,morality_Nv_1,morality_Nv_2,morality_Nv_3,discuss_1,read_1,age,gender,gender_4_TEXT,edu,anything_else,ID,arg_ID,Position,Arg_Position
1,1646420000000,04/03/2022 19:20,1646420000000,1,04/03/2022 20:20,81174,9,task-t3d4,NA,20084401,5947868,NA,complete,NA,62226622ee872248688f55a3,computer,Desktop or Laptop,Windows 10,Firefox 56.0,1366x768,1366x643,NA,ITT Ratings,7,for,2,sec_60_vegan,NA,NA,BEGIN TASK,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1646420000000,04/03/2022 19:20,1646420000000,1,04/03/2022 20:20,81174,9,task-t3d4,NA,20084401,5947868,NA,complete,NA,62226622ee872248688f55a3,computer,Desktop or Laptop,Windows 10,Firefox 56.0,1366x768,1366x643,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,1,1,1,Screen 1,advancementZone,continue_button,12284,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1646420000000,04/03/2022 19:20,1646420000000,1,04/03/2022 20:20,81174,9,task-t3d4,NA,20084401,5947868,NA,complete,NA,62226622ee872248688f55a3,computer,Desktop or Laptop,Windows 10,Firefox 56.0,1366x768,1366x643,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,57,1,1,Screen 1,continueButton,response_rating_scale_likert_active,10289,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,To have a better planet,1,24/02/2022 17:07,24/02/2022 17:10,R_3IbLSeYKb4fpYKT,YES,Yes,Confident,NA,Disagree,NA,NA,NA,Neither Agree nor Disagree,Agree,Agree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Disagree,A few times a year,Most weeks,23,Male,NA,"Undergraduate degree (BSc, BA)",NA,19,3,For,For
4,1646420000000,04/03/2022 19:20,1646420000000,1,04/03/2022 20:20,81174,9,task-t3d4,NA,20084401,5947868,NA,complete,NA,62226622ee872248688f55a3,computer,Desktop or Laptop,Windows 10,Firefox 56.0,1366x768,1366x643,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,14,2,1,Screen 1,continueButton,response_rating_scale_likert_active,10742,NA,NA,Strongly Agree,1,0,1,0,NA,NA,NA,NA,1,statements,"To extend moral consideration to animals, acknowledging their right to bodily autonomy and freedom",1,24/02/2022 16:56,24/02/2022 17:06,R_2s1KxDHP9zZECjS,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,NA,NA,NA,Agree,Somewhat Agree,Strongly Agree,Most days,Most weeks,27,Female,NA,Doctorate (PhD),"The only ""argument"" I usually accept from NON-vegans is the ""I don't care about animals enough to stop eating/abusing them"". If they can acknowledge that it is an irrational preference, that they value their pleasure more than the lives of these animals, I can respect that position as the only one that is consistent.

Most of the non-vegans I have encountered however don't come to this ""argument"" from the start, they get to it much later in the discussion.

I don't hold anyone that cannot be vegan for (diagnosed) medical reasons or for food availability accountable. All others have a choice, they are just lazy about their ethics and their efforts.",12,2,For,For
5,1646420000000,04/03/2022 19:21,1646420000000,1,04/03/2022 20:21,81174,9,task-t3d4,NA,20084401,5947868,NA,complete,NA,62226622ee872248688f55a3,computer,Desktop or Laptop,Windows 10,Firefox 56.0,1366x768,1366x643,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,18,3,1,Screen 1,continueButton,response_rating_scale_likert_active,12112,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,Meals with meat tast better,1,24/02/2022 17:02,24/02/2022 17:07,R_9oH1L7D9SSVrKEh,YES,Yes,Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,Most months,28,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,13,3,For,Against
6,1646420000000,04/03/2022 19:21,1646420000000,1,04/03/2022 20:21,81174,9,task-t3d4,NA,20084401,5947868,NA,complete,NA,62226622ee872248688f55a3,computer,Desktop or Laptop,Windows 10,Firefox 56.0,1366x768,1366x643,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,50,4,1,Screen 1,continueButton,response_rating_scale_likert_active,4112,NA,NA,Somewhat Agree,1,0,1,0,NA,NA,NA,NA,1,statements,Care for the environment and climat change.,1,24/02/2022 17:01,24/02/2022 17:10,R_3PLl88vhtROEyhl,YES,Yes,Very confident,NA,Somewhat Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Agree,NA,NA,NA,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,A few times a year,A few times a year,21,Female,NA,NA,NA,18,2,For,For
7,1646420000000,04/03/2022 19:21,1646420000000,1,04/03/2022 20:21,81174,9,task-t3d4,NA,20084401,5947868,NA,complete,NA,62226622ee872248688f55a3,computer,Desktop or Laptop,Windows 10,Firefox 56.0,1366x768,1366x643,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,58,5,1,Screen 1,continueButton,response_rating_scale_likert_active,9007,NA,NA,Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,I'm not vegan because I've always eaten meat. It's part of my culture and who I am.,1,24/02/2022 17:00,24/02/2022 17:10,R_3gR7Vq0rqf4GlTd,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Disagree,Somewhat Disagree,Neither Agree nor Disagree,NA,NA,NA,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,A few times a year,Most days,29,Male,NA,"Undergraduate degree (BSc, BA)",NA,20,1,For,Against
8,1646420000000,04/03/2022 19:21,1646420000000,1,04/03/2022 20:21,81174,9,task-t3d4,NA,20084401,5947868,NA,complete,NA,62226622ee872248688f55a3,computer,Desktop or Laptop,Windows 10,Firefox 56.0,1366x768,1366x643,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,27,6,1,Screen 1,continueButton,response_rating_scale_likert_active,13189,NA,NA,Neither Agree nor Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,A well-planned vegan diet can be significantly less costly than one based on animal products,1,24/02/2022 17:00,24/02/2022 17:07,R_2rMlvuMRzJ7y54z,YES,Yes,Very confident,NA,Strongly Disagree,NA,NA,NA,Neither Agree nor Disagree,Agree,Strongly Agree,NA,NA,NA,Agree,Agree,Neither Agree nor Disagree,Never,Most days,24,Non-binary,NA,"Undergraduate degree (BSc, BA)",NA,14,3,For,For
9,1646420000000,04/03/2022 19:21,1646420000000,1,04/03/2022 20:21,81174,9,task-t3d4,NA,20084401,5947868,NA,complete,NA,62226622ee872248688f55a3,computer,Desktop or Laptop,Windows 10,Firefox 56.0,1366x768,1366x643,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,44,7,1,Screen 1,continueButton,response_rating_scale_likert_active,4268,NA,NA,Agree,1,0,1,0,NA,NA,NA,NA,1,statements,It prevents cruelty to animals.,1,24/02/2022 17:04,24/02/2022 17:09,R_tJMKHXj067CzFwB,YES,Yes,Confident,NA,Somewhat Agree,NA,NA,NA,Strongly Disagree,Strongly Disagree,Disagree,NA,NA,NA,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Rarely,Most months,38,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,17,2,For,For
10,1646420000000,04/03/2022 19:21,1646420000000,1,04/03/2022 20:21,81174,9,task-t3d4,NA,20084401,5947868,NA,complete,NA,62226622ee872248688f55a3,computer,Desktop or Laptop,Windows 10,Firefox 56.0,1366x768,1366x643,NA,ITT Ratings,7,for,2,sec_60_vegan,sec_60_vegan,17,8,1,Screen 1,continueButton,response_rating_scale_likert_active,9075,NA,NA,Strongly Disagree,1,0,1,0,NA,NA,NA,NA,1,statements,people have always eaten meat. There is no reason to eliminate them,1,24/02/2022 17:02,24/02/2022 17:07,R_9oH1L7D9SSVrKEh,YES,Yes,Confident,NA,Somewhat Agree,NA,NA,NA,Disagree,Disagree,Disagree,NA,NA,NA,Disagree,Disagree,Disagree,A few times a year,Most months,28,Female,NA,"Postgraduate degree (MSc, MA, MPhil)",NA,13,2,For,Against
