Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ARGUER_ID,discuss_1,read_1,age,gender,edu,argument_ID,Arg_Position,Arguments,rater_position,response_ratings,Arguer_Position,argument_index,Rater_ID,argument_Position,reasoning_stan,intellectual_stan_1,intellectual_stan_2,intellectual_stan_3,morality_stan_1,morality_stan_2,morality_stan_3,condition,ITT_cond,passedITT
4,1651663778220,04/05/2022 11:29:38,6404832,4,2,Somewhat Agree,statements,43,Rarely,A few times a year,28,Male,"Undergraduate degree (BSc, BA)",1,Leave,immigration control- being part of EU has made the country over crowded,Pro,5,PRO,253,96,For,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Baseline,0,NA
6,1651663783345,04/05/2022 11:29:43,6404832,4,4,Somewhat Agree,statements,44,Rarely,Rarely,40,Female,"Undergraduate degree (BSc, BA)",3,Leave,To help control our own economy and create more job opportunites for our people,Pro,5,PRO,261,96,For,Somewhat Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
7,1651663786517,04/05/2022 11:29:46,6404832,4,5,Strongly Agree,statements,41,Never,Never,26,Female,Vocational Training / Apprenticeship,2,Leave,To work on Britain and focus on our country,Pro,7,PRO,242,96,For,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Baseline,0,NA
9,1651663790954,04/05/2022 11:29:50,6404832,4,7,Somewhat Agree,statements,45,Never,Rarely,35,Female,"Undergraduate degree (BSc, BA)",3,Leave,Less immigration or controlled immigration,Pro,5,PRO,267,96,For,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
11,1651663798847,04/05/2022 11:29:58,6404832,4,9,Strongly Agree,statements,42,Rarely,Most months,59,Male,GCSEs,1,Leave,Our own laws which had been eroded,Pro,7,PRO,247,96,For,Neither Agree nor Disagree,Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
12,1651663801268,04/05/2022 11:30:01,6404832,4,10,Strongly Agree,statements,41,Never,Never,26,Female,Vocational Training / Apprenticeship,3,Leave,'-To have more control of our laws and regulations and the security of Britain,Pro,7,PRO,243,96,For,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Baseline,0,NA
14,1651663808828,04/05/2022 11:30:08,6404832,4,12,Somewhat Agree,statements,43,Rarely,A few times a year,28,Male,"Undergraduate degree (BSc, BA)",3,Leave,Interest of British People,Pro,5,PRO,255,96,For,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Baseline,0,NA
15,1651663946330,04/05/2022 11:32:26,6404832,4,13,Somewhat Agree,statements,49,Rarely,Rarely,22,Female,A levels,1,Leave,Voting leave will mean that some products will be cheaper as we will not be importing them from other countries.,Pro,5,PRO,289,96,For,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
16,1651663947826,04/05/2022 11:32:27,6404832,4,14,Somewhat Agree,statements,47,Rarely,Rarely,31,Female,"Undergraduate degree (BSc, BA)",2,Leave,"They always change the goal posts for agreements, e.g. an agreement needs to be made negotiated but they didn't allow any concessions, not budging on any points and saying 'time is running out'",Pro,5,PRO,278,96,For,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
17,1651663958493,04/05/2022 11:32:38,6404832,4,15,Agree,statements,50,Rarely,A few times a year,70,Male,A levels,2,Leave,"The financial benefits of not having to pay huge sums of money into a governing body who are not accountable for their funds and have not had their accounts passed for audit in over twenty years,",Pro,6,PRO,296,96,For,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
18,1651663964938,04/05/2022 11:32:44,6404832,4,16,Strongly Agree,statements,45,Never,Rarely,35,Female,"Undergraduate degree (BSc, BA)",2,Leave,Less interference from the EU.,Pro,7,PRO,266,96,For,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Baseline,0,NA
22,1651663974643,04/05/2022 11:32:54,6404832,4,20,Somewhat Agree,statements,42,Rarely,Most months,59,Male,GCSEs,2,Leave,restriction of trade,Pro,5,PRO,248,96,For,Neither Agree nor Disagree,Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
25,1651664002000,04/05/2022 11:33:22,6404832,4,23,Strongly Agree,statements,46,Rarely,Never,65,Female,"Undergraduate degree (BSc, BA)",2,Leave,Too many rules being imposed,Pro,7,PRO,272,96,For,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
31,1651664015125,04/05/2022 11:33:35,6404832,4,29,Strongly Agree,statements,42,Rarely,Most months,59,Male,GCSEs,3,Leave,uncontrolled immigration,Pro,7,PRO,249,96,For,Neither Agree nor Disagree,Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
32,1651664020559,04/05/2022 11:33:40,6404832,4,30,Strongly Agree,statements,44,Rarely,Rarely,40,Female,"Undergraduate degree (BSc, BA)",2,Leave,To help us control our own money and  support UK based businesses,Pro,7,PRO,260,96,For,Somewhat Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Baseline,0,NA
