Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ARGUER_ID,discuss_1,read_1,age,gender,edu,argument_ID,Arg_Position,Arguments,rater_position,response_ratings,Arguer_Position,argument_index,Rater_ID,argument_Position,reasoning_stan,intellectual_stan_1,intellectual_stan_2,intellectual_stan_3,morality_stan_1,morality_stan_2,morality_stan_3,condition,ITT_cond,passedITT
4,1652108527600,09/05/2022 15:02:07,6435173,5,2,Disagree,statements,93,Rarely,Rarely,39,Female,Vocational Training / Apprenticeship,5,Remain,To ensure laws and standards were protected,Anti,2,PRO,557,191,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,0
6,1652108546400,09/05/2022 15:02:26,6435173,5,4,Neither Agree nor Disagree,statements,92,Never,Never,67,Male,A levels,5,Remain,Better alignment with the rest of Europe's statutory regulations,Anti,4,PRO,551,191,Against,Strongly agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,ITT,1,0
12,1652108572673,09/05/2022 15:02:52,6435173,5,10,Somewhat Agree,statements,96,Rarely,Rarely,47,Male,GCSEs,6,Remain,The EU is one of the most successful peace projects,Anti,5,PRO,576,191,Against,Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,ITT,1,0
13,1652108580997,09/05/2022 15:03:00,6435173,5,11,Agree,statements,97,Never,Never,24,Female,A levels,6,Remain,To let everyone have the same chance of studying across the EU,Anti,6,PRO,582,191,Against,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,1
14,1652108584193,09/05/2022 15:03:04,6435173,5,12,Disagree,statements,96,Rarely,Rarely,47,Male,GCSEs,5,Remain,Better for smaller businesses less tax to pay,Anti,2,PRO,575,191,Against,Disagree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,ITT,1,0
17,1652108604107,09/05/2022 15:03:24,6435173,5,15,Somewhat Agree,statements,97,Never,Never,24,Female,A levels,4,Remain,To make sure that we still have a good friendship with the EU and trades can still take place in a good deal,Anti,5,PRO,580,191,Against,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,0
18,1652108609299,09/05/2022 15:03:29,6435173,5,16,Agree,statements,98,Rarely,Rarely,31,Female,GCSEs,6,Remain,It was the direction I wanted the country to go in,Anti,6,PRO,588,191,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,ITT,1,1
20,1652108617946,09/05/2022 15:03:37,6435173,5,18,Agree,statements,91,Rarely,Rarely,37,Female,"GCSEs,A levels",5,Remain,Easy to travel to other EU countries,Anti,6,PRO,545,191,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,ITT,1,1
23,1652108626907,09/05/2022 15:03:46,6435173,5,21,Disagree,statements,91,Rarely,Rarely,37,Female,"GCSEs,A levels",6,Remain,Stability of the Â£ against the euro,Anti,2,PRO,546,191,Against,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,ITT,1,0
25,1652108639346,09/05/2022 15:03:59,6435173,5,23,Neither Agree nor Disagree,statements,100,Rarely,Most weeks,49,Female,GCSEs,6,Remain,weak minded and think uk needs other country's to survive,Anti,4,PRO,600,191,Against,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,ITT,1,0
