Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ARGUER_ID,discuss_1,read_1,age,gender,edu,argument_ID,Arg_Position,Arguments,rater_position,response_ratings,Arguer_Position,argument_index,Rater_ID,argument_Position,condition,ITT_cond,passedITT
7,1658857872884,26/07/2022 17:51:12,6842664,3,4,Strongly Agree,statements,6,Most weeks,Most days,32,Female,A levels,5,Against,The vaccine hasn't been tested for long enough to ensure its safety and effectiveness,Anti,7,ANTI,635,206,Against,Baseline,0,NA
8,1658857875748,26/07/2022 17:51:15,6842664,3,5,Strongly Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,6,Against,It will have serious consequences on peoples health.,Anti,7,ANTI,624,206,Against,Baseline,0,NA
9,1658857884972,26/07/2022 17:51:24,6842664,3,6,Neither Agree nor Disagree,statements,5,A few times a year,A few times a year,32,Female,A levels,6,Against,I don't even know anyone who has had Covid never mind anyone who has been hospitalised or died from it.,Anti,4,ANTI,630,206,Against,Baseline,0,NA
10,1658857887682,26/07/2022 17:51:27,6842664,3,7,Strongly Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,6,Against,The vaccine was man made,Anti,7,ANTI,660,206,Against,Baseline,0,NA
11,1658857892087,26/07/2022 17:51:32,6842664,3,8,Strongly Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,4,Against,The vaccine is not safe to receive.,Anti,7,ANTI,622,206,Against,Baseline,0,NA
14,1658857902553,26/07/2022 17:51:42,6842664,3,11,Strongly Agree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,5,Against,I believe one of the vaccine companies is been taken to court in the USA because of people getting cancer from one it's other products.,Anti,7,ANTI,641,206,Against,Baseline,0,NA
16,1658857907592,26/07/2022 17:51:47,6842664,3,13,Strongly Agree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,4,Against,It hasnt been tested for long enough,Anti,7,ANTI,616,206,Against,Baseline,0,NA
19,1658857922083,26/07/2022 17:52:02,6842664,3,16,Somewhat Agree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,6,Against,Im unsure of the long term affects,Anti,5,ANTI,618,206,Against,Baseline,0,NA
21,1658857930146,26/07/2022 17:52:10,6842664,3,18,Strongly Agree,statements,6,Most weeks,Most days,32,Female,A levels,4,Against,The rate of death from covid-19 is very low and a vaccine isn't needed,Anti,7,ANTI,634,206,Against,Baseline,0,NA
22,1658857936076,26/07/2022 17:52:16,6842664,3,19,Neither Agree nor Disagree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",5,Against,I am living in a country where the outbreak has been managed well/practically non-existent,Anti,4,ANTI,653,206,Against,Baseline,0,NA
23,1658857944062,26/07/2022 17:52:24,6842664,3,20,Somewhat Agree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",4,Against,"If enough people get a vaccine, whether I do or not is inconsequential",Anti,5,ANTI,652,206,Against,Baseline,0,NA
26,1658857959536,26/07/2022 17:52:39,6842664,3,23,Strongly Agree,statements,5,A few times a year,A few times a year,32,Female,A levels,5,Against,I am unsure about any long-term side effects that might arise from the vaccine in years to come due to how quickly the testing phase was carried out.,Anti,7,ANTI,629,206,Against,Baseline,0,NA
28,1658857968759,26/07/2022 17:52:48,6842664,3,25,Strongly Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",4,Against,I'm worried about the side effects from the vaccine especially if I have underlying health conditions that can be affected through the vaccine.,Anti,7,ANTI,610,206,Against,Baseline,0,NA
30,1658857978491,26/07/2022 17:52:58,6842664,3,27,Strongly Agree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,4,Against,I don't think have taken enough time to test the vaccine properly.,Anti,7,ANTI,640,206,Against,Baseline,0,NA
33,1658857997836,26/07/2022 17:53:17,6842664,3,30,Strongly Agree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,6,Against,I might be the one who gets the blood clots.,Anti,7,ANTI,642,206,Against,Baseline,0,NA
37,1658858011642,26/07/2022 17:53:31,6842664,3,34,Strongly Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",6,Against,"Theories about how the vaccine has been produced, the ingredients of it, seems suspicious and doesn't seem to be effective either.",Anti,7,ANTI,612,206,Against,Baseline,0,NA
38,1658858015527,26/07/2022 17:53:35,6842664,3,35,Strongly Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,5,Against,Its not been developed for long enough.,Anti,7,ANTI,623,206,Against,Baseline,0,NA
39,1658858022395,26/07/2022 17:53:42,6842664,3,36,Strongly Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",5,Against,Doesn't seem trustworthy as the process to make the vaccine has been rushed in order to keep up with demands from the world to release a vaccine out soon.,Anti,7,ANTI,611,206,Against,Baseline,0,NA
41,1658858036209,26/07/2022 17:53:56,6842664,3,38,Strongly Agree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,5,Against,"I would like to see the figures for people who have died within 28 days of having a vaccine, not just the number of deaths after having a positive test",Anti,7,ANTI,647,206,Against,Baseline,0,NA
42,1658858040113,26/07/2022 17:54:00,6842664,3,39,Strongly Disagree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,6,Against,I am undergoing treatment for cancer,Anti,1,ANTI,648,206,Against,Baseline,0,NA
44,1658858047972,26/07/2022 17:54:07,6842664,3,41,Strongly Agree,statements,5,A few times a year,A few times a year,32,Female,A levels,4,Against,The risk of dying from Covid is only 0.03% unless you have an underlying health problem.,Anti,7,ANTI,628,206,Against,Baseline,0,NA
46,1658858056903,26/07/2022 17:54:16,6842664,3,43,Strongly Agree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,4,Against,I would rather wait to see if there are any negative effect in people who have had the vaccine before I make up my mind,Anti,7,ANTI,646,206,Against,Baseline,0,NA
