Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ARGUER_ID,discuss_1,read_1,age,gender,edu,argument_ID,Arg_Position,Arguments,rater_position,response_ratings,Arguer_Position,argument_index,Rater_ID,argument_Position,condition,ITT_cond,passedITT
6,1658935730422,27/07/2022 15:28:50,6847612,3,4,Strongly Disagree,statements,5,A few times a year,A few times a year,32,Female,A levels,3,For,I want to be able to fly for holidays this summer.,Pro,1,ANTI,627,305,For,ITT,1,0
7,1658935734448,27/07/2022 15:28:54,6847612,3,5,Strongly Agree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,1,For,Its the only way to stop the spread of the virus,Pro,7,ANTI,613,305,For,ITT,1,1
9,1658935742563,27/07/2022 15:29:02,6847612,3,7,Strongly Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,3,For,We must have the vaccine in order to return to normality.,Pro,7,ANTI,621,305,For,ITT,1,1
10,1658935748616,27/07/2022 15:29:08,6847612,3,8,Somewhat Agree,statements,1,Most days,Most months,32,Female,A levels,1,For,i was fine are a few days.,Pro,5,ANTI,601,305,For,ITT,1,0
14,1658935760692,27/07/2022 15:29:20,6847612,3,12,Strongly Agree,statements,1,Most days,Most months,32,Female,A levels,3,For,it will help you protect yourself.,Pro,7,ANTI,603,305,For,ITT,1,1
15,1658935765491,27/07/2022 15:29:25,6847612,3,13,Strongly Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",1,For,Protects you against the virus so that you have immunity against it,Pro,7,ANTI,607,305,For,ITT,1,1
16,1658935767240,27/07/2022 15:29:27,6847612,3,14,Strongly Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,3,For,Im doing my bit to help,Pro,7,ANTI,657,305,For,ITT,1,1
17,1658935770229,27/07/2022 15:29:30,6847612,3,15,Strongly Agree,statements,8,Most days,Most days,54,Male,Vocational Training / Apprenticeship,1,For,To protect me from becoming seriously ill if I caught Covid,Pro,7,ANTI,643,305,For,ITT,1,1
23,1658935792138,27/07/2022 15:29:52,6847612,3,21,Strongly Agree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,3,For,It will stop me from getting covid.,Pro,7,ANTI,639,305,For,ITT,1,1
24,1658935797543,27/07/2022 15:29:57,6847612,3,22,Strongly Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,1,For,The vaccine is perfectly safe and better versions have already been produced.,Pro,7,ANTI,619,305,For,ITT,1,1
26,1658935803447,27/07/2022 15:30:03,6847612,3,24,Strongly Agree,statements,5,A few times a year,A few times a year,32,Female,A levels,2,For,Everyone else is getting vaccinated.,Pro,7,ANTI,626,305,For,ITT,1,1
27,1658935805575,27/07/2022 15:30:05,6847612,3,25,Strongly Agree,statements,6,Most weeks,Most days,32,Female,A levels,3,For,To be able to go on holiday,Pro,7,ANTI,633,305,For,ITT,1,1
28,1658935806772,27/07/2022 15:30:06,6847612,3,26,Strongly Agree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,3,For,It protects everyone,Pro,7,ANTI,615,305,For,ITT,1,1
29,1658935810510,27/07/2022 15:30:10,6847612,3,27,Strongly Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",3,For,Protects others around you from catching the virus?,Pro,7,ANTI,609,305,For,ITT,1,1
31,1658935819250,27/07/2022 15:30:19,6847612,3,29,Strongly Agree,statements,4,Most days,Most weeks,31,Female,GCSEs,2,For,It is important to receive the vaccine to protect your health and the health of others.,Pro,7,ANTI,620,305,For,ITT,1,1
32,1658935823439,27/07/2022 15:30:23,6847612,3,30,Strongly Agree,statements,6,Most weeks,Most days,32,Female,A levels,2,For,Everyone has to have one so life can go back to normal,Pro,7,ANTI,632,305,For,ITT,1,1
33,1658935825439,27/07/2022 15:30:25,6847612,3,31,Strongly Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,1,For,The government said it safe,Pro,7,ANTI,655,305,For,ITT,1,1
36,1658935834211,27/07/2022 15:30:34,6847612,3,34,Strongly Agree,statements,2,Most days,Most weeks,24,Female,"Undergraduate degree (BSc, BA)",2,For,Prevents you from catching the virus or getting severe symptoms.,Pro,7,ANTI,608,305,For,ITT,1,1
37,1658935835936,27/07/2022 15:30:35,6847612,3,35,Strongly Agree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",2,For,better for travelling abroad,Pro,7,ANTI,650,305,For,ITT,1,1
38,1658935838230,27/07/2022 15:30:38,6847612,3,36,Strongly Disagree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,2,For,Only a few people have died from it.,Pro,1,ANTI,638,305,For,ITT,1,0
39,1658935840514,27/07/2022 15:30:40,6847612,3,37,Strongly Agree,statements,10,Once or twice a year,Most months,34,Male,GCSEs,2,For,The news said its effective,Pro,7,ANTI,656,305,For,ITT,1,1
42,1658935849178,27/07/2022 15:30:49,6847612,3,40,Strongly Agree,statements,9,Rarely,Most months,27,Male,"Undergraduate degree (BSc, BA)",1,For,better for everyone else,Pro,7,ANTI,649,305,For,ITT,1,1
43,1658935851191,27/07/2022 15:30:51,6847612,3,41,Strongly Agree,statements,7,Most months,Most months,49,Male,Vocational Training / Apprenticeship,1,For,It's safe the government said so.,Pro,7,ANTI,637,305,For,ITT,1,1
45,1658935857911,27/07/2022 15:30:57,6847612,3,43,Agree,statements,3,Most weeks,Most weeks,49,Female,GCSEs,2,For,It has been thoroughly tested,Pro,6,ANTI,614,305,For,ITT,1,1
