Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ARGUER_ID,discuss_1,read_1,age,gender,edu,argument_ID,Arg_Position,Arguments,rater_position,response_ratings,Arguer_Position,argument_index,Rater_ID,argument_Position,reasoning_stan,intellectual_stan_1,intellectual_stan_2,intellectual_stan_3,morality_stan_1,morality_stan_2,morality_stan_3,condition,ITT_cond,passedITT
4,1647360000000,15/03/2022 15:51,6054643,7,2,Disagree,statements,26,Rarely,A few times a year,24,Non-binary,"Undergraduate degree (BSc, BA)",3,For,I want to stay fit and healthy.,Pro,2,PRO,153,195,For,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
7,1647360000000,15/03/2022 15:51,6054643,7,5,Agree,statements,29,A few times a year,Most months,21,Female,"Undergraduate degree (BSc, BA)",3,For,"Animals suffer too much, as this industry has no tact to kill them and turn them into food",Pro,6,PRO,171,195,For,Neither Agree nor Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Baseline,0,NA
11,1647360000000,15/03/2022 15:51,6054643,7,9,Strongly Disagree,statements,29,A few times a year,Most months,21,Female,"Undergraduate degree (BSc, BA)",2,For,I believe that an animal-based diet harms our health in the long run,Pro,1,PRO,170,195,For,Neither Agree nor Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Baseline,0,NA
14,1647360000000,15/03/2022 15:52,6054643,7,12,Agree,statements,24,A few times a year,A few times a year,21,Male,"Undergraduate degree (BSc, BA)",3,For,"And for Health purposes, a lot of studies showed time after time that having a vegan diet is beneficial for your overall health",Pro,6,PRO,141,195,For,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree,Baseline,0,NA
15,1647360000000,15/03/2022 15:52,6054643,7,13,Agree,statements,24,A few times a year,A few times a year,21,Male,"Undergraduate degree (BSc, BA)",2,For,"For the ecology, to help against global warming. Intensive animal farming is one the main causes of environmental problems.",Pro,6,PRO,140,195,For,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree,Baseline,0,NA
18,1647360000000,15/03/2022 15:52,6054643,7,16,Agree,statements,30,Rarely,Most months,26,Female,A levels,2,For,you contribute less to climate change,Pro,6,PRO,176,195,For,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree,Neither Agree nor Disagree,Baseline,0,NA
21,1647360000000,15/03/2022 15:52,6054643,7,19,Strongly Agree,statements,25,Most months,A few times a year,25,Female,"Postgraduate degree (MSc, MA, MPhil)",2,For,"For the environment, a vegan diet has a much smaller impact on the planet than a non-vegan one",Pro,7,PRO,146,195,For,Disagree,Neither Agree nor Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Baseline,0,NA
25,1647360000000,15/03/2022 15:52,6054643,7,23,Somewhat Agree,statements,27,A few times a year,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",3,For,To be a more healthy person.,Pro,5,PRO,159,195,For,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Agree,Baseline,0,NA
26,1647360000000,15/03/2022 15:52,6054643,7,24,Somewhat Agree,statements,22,Most months,Most weeks,24,Male,Vocational Training / Apprenticeship,3,For,For health reasons and staying healthy.,Pro,5,PRO,129,195,For,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Baseline,0,NA
28,1647360000000,15/03/2022 15:52,6054643,7,26,Somewhat Agree,statements,27,A few times a year,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",2,For,To stop destroying the planet.,Pro,5,PRO,158,195,For,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Agree,Baseline,0,NA
33,1647360000000,15/03/2022 15:53,6054643,7,31,Agree,statements,27,A few times a year,Most weeks,25,Female,"Undergraduate degree (BSc, BA)",1,For,For the weel being of animals.,Pro,6,PRO,157,195,For,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Agree,Baseline,0,NA
35,1647360000000,15/03/2022 15:53,6054643,7,33,Strongly Agree,statements,21,A few times a year,Most months,22,Non-binary,"Undergraduate degree (BSc, BA)",3,For,It's often better for the environment to follow a vegan diet rather than an omnivore one.,Pro,7,PRO,123,195,For,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Baseline,0,NA
40,1647360000000,15/03/2022 15:53,6054643,7,38,Strongly Agree,statements,29,A few times a year,Most months,21,Female,"Undergraduate degree (BSc, BA)",1,For,The most important reason is the meat industry is the most polluting industry in the world.,Pro,7,PRO,169,195,For,Neither Agree nor Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Baseline,0,NA
41,1647360000000,15/03/2022 15:53,6054643,7,39,Neither Agree nor Disagree,statements,26,Rarely,A few times a year,24,Non-binary,"Undergraduate degree (BSc, BA)",2,For,I do not like the taste of meat.,Pro,4,PRO,152,195,For,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Baseline,0,NA
