Event.Index,UTC.Timestamp,UTC.Date,Participant.Private.ID,Task.Version,Trial.Number,Response,display,ARGUER_ID,discuss_1,read_1,age,gender,edu,argument_ID,Arg_Position,Arguments,rater_position,response_ratings,Arguer_Position,argument_index,Rater_ID,argument_Position,reasoning_stan,intellectual_stan_1,intellectual_stan_2,intellectual_stan_3,morality_stan_1,morality_stan_2,morality_stan_3,condition,ITT_cond,passedITT
3,1647017693190,11/03/2022 16:54:53,6023523,7,1,Strongly Agree,statements,47,Rarely,Once or twice a year,27,Female,"Undergraduate degree (BSc, BA)",4,Against,I love bacon,Anti,7,PRO,280,96,Against,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,ITT,1,1
4,1647017698761,11/03/2022 16:54:58,6023523,7,2,Neither Agree nor Disagree,statements,44,Once or twice a year,Rarely,50,Female,"Undergraduate degree (BSc, BA)",6,Against,Other members of my household wouldn't like it.,Anti,4,PRO,264,96,Against,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,ITT,1,0
8,1647017720268,11/03/2022 16:55:20,6023523,7,6,Agree,statements,43,Most months,Most months,28,Female,A levels,4,Against,my body needs meat,Anti,6,PRO,256,96,Against,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,ITT,1,1
12,1647017746021,11/03/2022 16:55:46,6023523,7,10,Somewhat Agree,statements,41,Most months,Most weeks,36,Male,"Undergraduate degree (BSc, BA)",5,Against,I don't want to eat only grass.,Anti,5,PRO,245,96,Against,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,ITT,1,0
13,1647017820523,11/03/2022 16:57:00,6023523,7,11,Strongly Agree,statements,45,A few times a year,A few times a year,21,Non-binary,"Undergraduate degree (BSc, BA)",6,Against,it's easier to eat at a restaurant or buy ready-to-eat food when you are not vegan,Anti,7,PRO,270,96,Against,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,ITT,1,1
14,1647017829167,11/03/2022 16:57:09,6023523,7,12,Somewhat Agree,statements,44,Once or twice a year,Rarely,50,Female,"Undergraduate degree (BSc, BA)",5,Against,I don't have my food cupboards set up to be vegan.,Anti,5,PRO,263,96,Against,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Disagree,ITT,1,0
15,1647017832449,11/03/2022 16:57:12,6023523,7,13,Neither Agree nor Disagree,statements,41,Most months,Most weeks,36,Male,"Undergraduate degree (BSc, BA)",6,Against,A vegan diet is tasteless.,Anti,4,PRO,246,96,Against,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,ITT,1,0
18,1647017847478,11/03/2022 16:57:27,6023523,7,16,Agree,statements,41,Most months,Most weeks,36,Male,"Undergraduate degree (BSc, BA)",4,Against,Meat is important for us and people have been eating it for years.,Anti,6,PRO,244,96,Against,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,ITT,1,1
19,1647017852009,11/03/2022 16:57:32,6023523,7,17,Agree,statements,49,A few times a year,Once or twice a year,26,Female,"Postgraduate degree (MSc, MA, MPhil)",5,Against,but chicken (I like meat),Anti,6,PRO,293,96,Against,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,ITT,1,1
24,1647017915209,11/03/2022 16:58:35,6023523,7,22,Somewhat Agree,statements,45,A few times a year,A few times a year,21,Non-binary,"Undergraduate degree (BSc, BA)",4,Against,I think I can't get enough protein on a vegan diet,Anti,5,PRO,268,96,Against,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree,ITT,1,0
